Date,Open,High,Low,Close
20151127,236.12,237.34,234.84,237.21
20151130,236.93,237.35,234.19,234.63
20151201,235.57,238.42,235.15,238.22
20151202,237.70,238.51,235.71,236.40
20151203,237.43,238.36,233.38,234.39
20151204,234.98,238.04,233.51,238.01
20151207,237.91,238.49,235.51,237.14
20151208,234.70,237.04,231.20,232.67
20151209,231.76,234.06,228.41,230.24
20151210,231.00,231.97,228.92,230.72
20151211,231.10,231.11,222.40,223.36
20151214,223.33,224.79,216.34,218.08
20151215,219.38,219.99,216.57,217.68
20151216,217.79,222.41,213.95,221.34
20151217,221.63,223.00,218.83,219.68
20151218,219.25,220.92,218.00,219.90
20151221,221.40,226.64,220.33,226.03
20151222,227.03,227.68,223.33,226.17
20151223,226.95,228.16,226.13,227.53
20151224,227.25,227.97,225.99,226.79
20151228,226.37,226.37,223.46,225.22
20151229,226.12,228.87,226.12,228.37
20151230,228.36,229.29,227.14,227.88
20151231,226.76,229.32,226.76,228.45
20160104,228.20,230.87,224.12,229.86
20160105,230.35,232.42,226.30,227.59
20160106,227.31,230.11,224.92,230.10
20160107,226.48,229.51,226.48,227.28
20160108,228.86,229.51,221.12,221.49
20160111,223.89,230.64,222.83,228.55
20160112,230.15,231.43,226.82,229.31
20160113,230.10,230.58,221.00,221.08
20160114,221.26,227.57,218.26,226.55
20160115,221.90,222.81,213.12,218.26
20160119,219.96,222.58,217.87,220.82
20160120,218.22,222.06,210.20,217.70
20160121,218.26,219.99,215.00,216.46
20160122,219.16,223.07,218.48,222.83
20160125,223.09,223.24,219.85,220.13
20160126,220.88,226.10,220.51,225.50
20160127,223.82,223.82,219.29,221.14
20160128,221.73,224.03,218.31,219.29
20160129,220.97,224.73,219.32,224.73
20160201,223.48,230.00,221.75,228.69
20160202,226.33,226.33,220.20,220.63
20160203,221.90,223.98,217.73,223.49
20160204,222.68,227.59,222.28,227.35
20160205,227.09,227.35,220.06,221.47
20160208,217.97,220.84,211.11,214.63
20160209,197.00,206.56,180.76,187.29
20160210,189.18,200.35,189.18,192.91
20160211,188.44,190.72,184.70,190.20
20160212,192.54,196.16,190.55,195.10
20160216,197.04,205.54,195.26,205.24
20160217,207.89,211.38,206.54,207.43
20160218,209.28,210.63,207.72,208.84
20160219,208.00,209.75,205.19,207.41
20160222,210.56,212.45,208.75,209.66
20160223,209.22,212.68,208.00,211.53
20160224,209.30,215.27,207.48,214.26
20160225,215.11,218.60,213.12,215.25
20160226,215.05,218.48,214.71,217.25
20160229,216.75,219.17,213.56,213.58
20160301,215.16,217.60,212.69,216.31
20160302,216.33,218.47,213.29,218.31
20160303,218.61,222.20,216.15,219.63
20160304,221.31,223.19,219.14,222.68
20160307,220.18,222.44,220.08,222.16
20160308,221.60,221.79,218.24,218.28
20160309,219.00,221.59,218.29,219.96
20160310,220.80,221.10,215.69,218.39
20160311,219.42,221.43,218.52,221.17
20160314,219.60,220.65,217.36,218.87
20160315,217.35,219.79,216.58,219.09
20160316,218.76,221.77,218.15,220.00
20160317,219.14,230.00,218.50,226.80
20160318,227.51,228.56,224.92,225.07
20160321,224.69,225.69,223.15,223.86
20160322,222.99,224.97,220.80,223.58
20160323,223.48,224.66,220.83,220.95
20160324,219.71,220.38,215.87,219.68
20160328,219.55,220.20,217.22,219.63
20160329,218.82,224.00,217.95,223.49
20160330,224.28,225.12,220.95,221.20
20160331,220.93,221.63,218.69,220.34
20160401,218.41,221.84,217.04,221.42
20160404,220.98,221.51,219.07,220.10
20160405,219.65,220.64,218.74,219.30
20160406,219.30,224.20,219.00,223.36
20160407,221.26,224.83,221.26,224.22
20160408,226.44,227.50,223.38,224.14
20160411,225.78,227.10,223.04,224.50
20160412,223.97,226.63,222.11,225.16
20160413,222.69,226.98,218.56,225.23
20160414,225.23,226.15,223.15,225.14
20160415,225.14,226.87,224.56,226.39
20160418,225.76,226.99,224.78,225.09
20160419,226.42,227.14,224.53,227.05
20160420,227.05,232.44,224.11,229.50
20160421,229.88,230.53,228.09,228.46
20160422,228.12,229.93,223.81,226.79
20160425,226.83,227.32,223.57,224.43
20160426,225.51,231.44,225.06,230.90
20160427,230.00,233.77,229.31,232.64
20160428,231.46,233.18,229.65,229.91
20160429,228.50,229.83,226.17,227.87
20160502,228.11,230.01,225.41,225.50
20160503,223.23,227.54,223.11,226.49
20160504,225.30,227.24,224.94,226.55
20160505,227.37,228.44,226.26,227.41
20160506,226.01,227.91,223.66,224.06
20160509,221.50,227.47,220.11,225.67
20160510,236.50,250.77,236.50,249.50
20160511,249.49,250.50,246.43,247.11
20160512,248.80,249.97,244.49,247.00
20160513,246.05,249.62,246.05,248.87
20160516,248.51,250.99,247.57,249.59
20160517,248.96,251.48,247.37,248.90
20160518,248.50,250.14,246.56,248.03
20160519,247.55,248.64,244.36,247.73
20160520,249.64,251.24,247.95,249.89
20160523,249.79,249.97,247.87,248.74
20160524,250.00,255.57,244.93,254.65
20160525,254.58,257.30,253.96,255.67
20160526,256.25,256.25,253.35,254.78
20160527,255.07,256.24,253.89,255.97
20160531,265.41,265.87,262.62,263.54
20160601,261.74,267.39,261.16,266.09
20160602,266.37,267.31,263.31,265.84
20160603,265.01,265.70,262.10,264.38
20160606,265.00,266.36,262.80,265.30
20160607,265.75,267.15,263.98,266.67
20160608,266.31,268.00,264.55,264.98
20160609,264.10,266.54,263.95,266.23
20160610,267.17,267.17,260.30,261.10
20160613,260.80,262.71,256.29,258.83
20160614,258.22,260.13,257.24,259.37
20160615,260.37,261.12,258.50,259.65
20160616,259.46,259.82,255.86,259.44
20160617,259.70,259.73,256.74,259.46
20160620,262.50,263.37,261.14,261.47
20160621,260.99,263.66,259.81,262.74
20160622,262.29,263.83,260.04,261.87
20160623,263.06,265.58,261.87,265.35
20160624,258.01,264.26,257.11,257.65
20160627,255.67,256.19,249.54,251.86
20160628,253.85,257.52,253.46,257.13
20160629,260.82,261.77,258.87,260.90
20160630,260.90,263.89,259.94,263.69
20160701,263.60,266.38,261.42,262.72
20160705,261.07,262.00,257.28,259.81
20160706,258.50,262.71,258.24,262.32
20160707,262.53,264.91,261.57,262.46
20160708,264.91,270.08,264.23,269.81
20160711,269.41,269.86,267.74,268.31
20160712,270.56,272.32,268.56,269.51
20160713,270.00,272.12,269.51,271.09
20160714,273.60,273.60,270.67,272.74
20160715,273.34,273.34,270.29,271.45
20160718,272.03,272.10,270.84,271.94
20160719,271.12,276.14,271.12,274.22
20160720,274.87,275.73,273.58,274.05
20160721,273.96,274.39,269.90,270.91
20160722,271.20,274.47,269.64,274.16
20160725,273.09,274.16,271.94,273.86
20160726,274.22,277.52,274.15,277.30
20160727,278.51,279.18,276.69,278.15
20160728,278.01,279.52,276.75,278.99
20160729,277.00,280.28,276.78,279.52
20160801,278.53,280.19,277.78,279.02
20160802,278.75,279.70,276.49,277.15
20160803,277.02,278.69,276.12,277.95
20160804,278.57,279.77,276.55,277.79
20160805,278.35,280.75,278.10,280.61
20160808,281.64,281.64,276.83,279.04
20160809,280.06,287.16,277.37,287.04
20160810,287.50,288.71,283.50,287.60
20160811,288.49,289.67,285.95,286.01
20160812,284.47,284.49,282.56,283.10
20160815,284.29,285.73,283.17,285.25
20160816,284.06,285.21,283.33,283.62
20160817,284.17,284.44,282.38,283.93
20160818,284.31,286.21,283.67,285.16
20160819,284.40,285.97,283.40,285.41
20160822,285.17,287.45,284.64,285.87
20160823,286.75,287.28,285.11,286.76
20160824,285.63,286.90,283.69,284.29
20160825,283.98,286.35,283.62,284.42
20160826,285.20,286.82,282.04,284.72
20160829,285.15,289.63,285.15,289.17
20160830,289.23,289.96,285.41,287.22
20160831,287.13,287.32,284.20,285.19
20160901,285.44,287.85,284.10,287.41
20160902,288.82,290.85,287.33,288.36
20160906,288.52,290.82,287.98,290.08
20160907,290.08,294.38,289.51,291.81
20160908,290.15,291.33,287.54,288.49
20160909,286.25,286.69,283.18,283.41
20160912,281.73,287.22,280.55,286.46
20160913,284.52,285.30,280.60,281.74
20160914,281.88,285.07,280.41,281.35
20160915,281.40,285.38,280.33,284.32
20160916,283.23,286.17,281.04,281.97
20160919,283.66,285.16,280.95,282.50
20160920,283.81,283.81,278.52,279.71
20160921,280.00,282.69,279.00,282.69
20160922,286.30,288.69,285.64,286.85
20160923,286.17,289.61,285.96,288.16
20160926,287.40,291.80,287.12,290.18
20160927,290.76,292.40,288.20,290.57
20160928,291.02,292.57,288.35,291.34
20160929,290.37,290.83,286.38,287.09
20160930,289.04,290.27,286.91,289.12
20161003,287.85,290.20,287.75,289.86
20161004,292.24,293.19,282.41,283.13
20161005,283.12,284.83,282.21,283.80
20161006,283.80,286.00,282.33,285.50
20161007,284.36,284.36,279.28,280.90
20161010,281.80,284.44,280.46,283.26
20161011,281.61,282.79,275.87,276.70
20161012,276.39,278.06,275.00,277.43
20161013,275.68,279.48,275.14,278.67
20161014,280.39,280.69,277.50,277.52
20161017,279.26,280.50,278.03,280.03
20161018,282.96,282.97,280.78,282.08
20161019,281.51,282.96,280.23,281.66
20161020,256.56,260.31,256.13,260.19
20161021,258.40,263.26,257.89,262.86
20161024,265.01,267.21,264.29,266.95
20161025,266.86,269.13,265.82,268.12
20161026,267.71,271.27,267.57,271.08
20161027,271.83,273.04,269.04,269.62
20161028,270.11,273.22,269.40,271.66
20161031,272.90,273.99,270.94,272.46
20161101,273.41,274.44,268.59,270.16
20161102,270.12,271.50,265.76,265.82
20161103,266.63,267.10,264.43,266.47
20161104,266.59,271.36,266.59,267.45
20161107,271.57,271.57,266.01,270.45
20161108,270.48,274.29,270.09,272.75
20161109,270.55,273.30,269.80,272.00
20161110,274.15,277.33,266.35,269.42
20161111,268.28,272.95,266.98,272.29
20161114,273.43,274.00,251.95,252.94
20161115,251.89,262.47,251.89,258.92
20161116,257.78,259.36,253.54,255.79
20161117,255.86,259.15,255.86,258.82
20161118,257.49,257.49,249.28,250.03
20161121,250.67,252.27,250.58,251.38
20161122,251.52,252.76,251.07,252.50
20161123,252.87,260.12,252.87,259.03
20161125,260.47,261.06,257.73,260.03
20161128,259.28,260.99,257.67,258.48
20161129,259.25,261.83,257.98,258.67
20161130,258.80,260.12,250.05,251.43
20161201,251.12,251.30,244.72,244.98
20161202,244.34,246.41,235.14,245.27
20161205,247.58,250.90,245.97,247.40
20161206,247.29,250.84,246.42,250.81
20161207,252.31,257.22,249.81,256.09
20161208,257.26,257.49,249.31,249.73
20161209,249.09,250.56,247.81,249.46
20161212,248.53,248.81,244.36,246.99
20161213,248.48,250.62,245.75,250.08
20161214,250.18,253.73,250.05,250.79
20161215,250.95,256.56,250.19,253.98
20161216,253.95,254.84,250.44,251.48
20161219,250.80,253.02,250.32,251.09
20161220,251.23,252.35,249.36,249.75
20161221,250.41,251.15,247.58,248.96
20161222,249.25,250.54,248.44,248.95
20161223,249.62,250.44,248.25,250.10
20161227,251.21,251.47,249.58,250.90
20161228,250.50,250.74,248.19,249.50
20161229,249.71,251.48,249.11,249.82
20161230,250.35,250.35,247.50,248.96
20170103,251.35,254.07,248.66,250.54
20170104,251.61,252.19,248.94,252.05
20170105,252.22,252.69,249.79,251.73
20170106,251.99,257.38,251.11,256.11
20170109,256.01,256.38,253.01,255.33
20170110,255.42,256.15,253.27,253.27
20170111,253.27,255.45,251.87,252.38
20170112,252.53,255.27,250.23,253.61
20170113,253.60,253.61,249.79,252.24
20170117,251.49,251.72,247.32,249.70
20170118,250.24,253.44,250.09,250.89
20170119,250.00,252.55,248.18,251.76
20170120,250.00,250.85,218.60,226.90
20170123,230.00,230.36,217.35,223.80
20170124,224.68,227.46,223.79,225.21
20170125,225.87,227.00,221.45,221.67
20170126,222.15,223.00,218.94,219.90
20170127,221.75,222.42,218.28,219.00
20170130,219.00,219.25,214.65,216.61
20170131,216.97,219.53,215.01,216.40
20170201,217.13,220.04,216.31,219.68
20170202,219.41,221.87,217.01,221.77
20170203,222.00,226.28,222.00,225.16
20170206,225.94,231.65,224.10,230.94
20170207,238.98,246.16,238.20,245.88
20170208,246.31,248.79,244.29,247.43
20170209,247.43,253.47,247.43,251.61
20170210,251.48,254.16,250.40,253.12
20170213,253.73,254.79,251.18,252.21
20170214,251.05,252.72,249.30,250.20
20170215,249.64,251.81,249.56,251.01
20170216,250.74,252.53,249.59,252.45
20170217,251.57,251.57,249.07,249.74
20170221,249.31,254.74,248.95,254.60
20170222,255.14,257.07,253.54,255.46
20170223,255.47,256.43,252.18,254.62
20170224,253.22,254.12,250.28,250.99
20170227,250.37,255.07,248.63,253.29
20170228,253.05,255.57,251.19,254.20
20170301,254.36,259.57,253.56,253.67
20170302,253.47,253.71,248.02,248.61
20170303,247.69,249.98,246.36,248.85
20170306,247.62,248.44,245.13,247.19
20170307,247.61,248.34,233.75,242.56
20170308,241.41,243.86,239.51,240.93
20170309,240.81,242.43,235.06,241.63
20170310,239.53,240.83,229.77,231.37
20170313,230.89,234.86,229.22,234.75
20170314,235.73,235.73,230.20,231.72
20170315,231.78,232.92,228.53,231.76
20170316,238.86,241.05,235.45,237.16
20170317,237.25,243.10,234.45,240.05
20170320,240.50,241.01,237.79,237.94
20170321,238.97,239.45,214.99,224.79
20170322,220.40,221.30,213.87,214.85
20170323,214.85,216.88,211.33,211.53
20170324,211.21,213.19,203.72,210.04
20170327,207.44,214.68,207.44,214.54
20170328,213.81,217.84,211.03,217.56
20170329,216.51,219.18,214.93,218.93
20170330,218.94,223.11,218.75,220.03
20170331,220.81,221.47,219.34,220.16
20170403,219.20,221.28,217.41,218.76
20170404,219.00,224.72,219.00,223.42
20170405,223.42,226.77,223.42,224.44
20170406,224.76,227.90,224.38,226.46
20170407,228.00,229.39,224.29,228.71
20170410,228.13,233.81,228.13,233.00
20170411,232.21,236.94,230.92,236.48
20170412,237.05,237.12,233.78,235.65
20170413,234.09,236.57,233.01,233.76
20170417,234.56,239.41,234.12,239.23
20170418,238.97,240.54,229.59,236.46
20170419,236.45,238.67,235.92,237.41
20170420,238.02,240.19,236.69,239.95
20170421,240.47,241.95,239.70,240.21
20170424,243.28,249.19,241.36,248.33
20170425,248.41,249.91,245.99,248.17
20170426,248.18,251.52,247.36,250.73
20170427,250.78,252.12,249.01,250.89
20170428,250.74,250.74,246.60,246.73
20170501,247.44,250.71,246.05,249.88
20170502,249.90,251.02,248.76,250.84
20170503,250.33,250.33,245.80,247.62
20170504,247.32,250.18,247.32,250.04
20170505,250.00,255.53,249.64,254.98
20170508,254.47,255.55,250.74,255.03
20170509,245.48,247.50,238.32,242.42
20170510,242.43,245.41,239.73,244.94
20170511,245.55,245.55,241.20,243.15
20170512,242.84,243.64,240.24,243.30
20170515,242.92,248.58,242.92,248.44
20170516,248.79,250.61,247.15,248.96
20170517,248.96,248.96,242.02,242.81
20170518,241.86,248.24,237.54,247.80
20170519,249.46,258.93,247.87,255.56
20170522,257.03,258.04,251.79,257.40
20170523,258.61,263.86,256.97,263.28
20170524,263.28,265.90,262.22,265.44
20170525,266.33,268.34,264.49,267.03
20170526,267.06,267.83,262.74,264.41
20170530,264.08,266.60,263.03,266.39
20170531,267.23,268.26,264.13,268.08
20170601,267.71,271.66,267.32,269.14
20170602,269.53,272.08,268.26,271.67
20170605,271.91,272.17,269.99,270.59
20170606,269.64,272.30,268.55,270.17
20170607,270.09,271.86,267.77,270.04
20170608,270.04,273.71,268.72,273.25
20170609,274.26,274.99,267.24,269.93
20170612,269.12,270.39,262.78,262.78
20170613,262.20,269.92,262.05,269.29
20170614,270.00,273.69,268.94,270.59
20170615,268.16,272.45,267.44,271.32
20170616,270.89,272.29,269.69,270.26
20170619,271.42,272.97,269.74,271.12
20170620,269.41,270.67,265.86,266.00
20170621,267.18,270.89,265.66,267.95
20170622,267.98,269.79,266.96,267.50
20170623,267.61,270.34,266.24,268.12
20170626,268.50,273.24,268.04,268.25
20170627,267.63,269.79,261.49,265.38
20170628,267.60,268.40,265.67,267.48
20170629,267.14,268.40,263.60,265.01
20170630,266.36,269.94,265.24,268.87
20170703,268.91,270.98,265.07,265.09
20170705,265.26,269.93,265.26,268.31
20170706,267.15,268.44,263.05,263.60
20170707,263.72,267.85,263.72,266.66
20170710,267.55,272.48,266.96,270.61
20170711,270.61,271.96,268.81,270.63
20170712,272.94,276.05,271.33,274.60
20170713,273.93,275.39,272.08,275.29
20170714,276.06,284.12,276.06,282.14
20170717,282.14,283.29,280.80,282.20
20170718,282.75,282.75,279.28,280.55
20170719,282.73,287.34,281.25,286.44
20170720,285.55,286.25,283.17,283.86
20170721,283.43,286.51,283.43,286.50
20170724,286.23,287.45,284.64,287.02
20170725,287.76,289.22,285.07,287.60
20170726,288.55,289.65,285.10,286.05
20170727,286.86,288.20,281.31,282.49
20170728,282.14,283.88,281.00,282.66
20170731,283.00,284.75,280.61,282.14
20170801,283.33,284.16,281.71,283.08
20170802,282.42,283.94,280.43,282.45
20170803,279.59,283.35,276.09,280.13
20170804,281.30,281.30,278.75,280.60
20170807,281.16,285.63,281.05,284.39
20170808,285.00,295.00,283.50,285.70
20170809,285.02,286.26,276.46,277.72
20170810,277.00,279.82,272.85,273.38
20170811,273.21,275.71,272.18,274.36
20170814,277.26,279.87,275.54,278.73
20170815,278.42,279.18,275.37,278.92
20170816,279.24,281.30,278.99,280.36
20170817,279.24,281.00,274.49,274.69
20170818,273.41,275.80,272.76,273.11
20170821,273.06,273.58,270.54,271.43
20170822,272.35,275.40,270.98,275.34
20170823,274.30,275.19,271.66,271.82
20170824,275.01,277.51,270.83,271.43
20170825,272.78,273.81,270.51,270.65
20170828,271.12,272.83,270.95,271.08
20170829,269.38,275.70,267.37,274.75
20170830,274.81,277.04,272.96,276.51
20170831,255.12,262.94,254.93,260.66
20170901,261.25,262.45,256.79,256.86
20170905,256.44,256.52,253.54,254.10
20170906,254.49,254.49,249.57,250.43
20170907,251.91,253.90,249.73,253.75
20170908,253.22,254.61,252.27,254.02
20170911,255.51,258.70,254.61,255.00
20170912,255.35,256.35,252.32,254.18
20170913,254.00,255.13,251.54,252.40
20170914,252.01,255.84,252.01,254.72
20170915,255.00,256.21,252.71,256.15
20170918,256.89,265.04,256.86,264.64
20170919,263.94,267.41,258.75,265.20
20170920,257.50,262.83,255.14,259.25
20170921,258.47,265.20,256.51,264.27
20170922,263.98,264.66,259.65,260.40
20170925,260.28,260.40,255.21,258.22
20170926,258.43,259.54,255.78,256.55
20170927,256.49,257.59,254.13,254.47
20170928,253.44,255.34,252.79,253.55
20170929,253.24,255.87,252.35,255.65
20171002,256.64,258.21,254.94,258.18
20171003,258.13,262.35,256.05,262.33
20171004,261.54,263.58,261.35,262.88
20171005,263.15,269.34,262.69,268.25
20171006,267.75,268.78,263.65,264.97
20171009,264.97,266.58,263.93,266.40
20171010,267.11,267.11,265.19,266.53
20171011,266.79,267.03,262.49,264.56
20171012,264.36,266.47,264.26,266.16
20171013,266.31,267.12,265.39,265.49
20171016,266.40,267.41,261.94,263.62
20171017,263.42,266.58,262.17,266.00
20171018,266.38,266.52,264.36,265.70
20171019,265.14,265.83,262.57,264.50
20171020,265.78,268.62,263.54,268.60
20171023,268.99,269.86,267.07,267.58
20171024,266.83,268.48,265.75,267.82
20171025,267.42,273.71,267.42,272.62
20171026,273.45,273.68,269.88,273.00
20171027,272.81,277.50,270.73,277.50
20171030,275.99,278.28,275.13,277.20
20171031,277.60,278.77,276.22,277.50
20171101,279.64,282.87,278.93,280.95
20171102,279.84,283.63,279.84,282.55
20171103,281.90,285.15,280.49,282.52
20171106,282.23,284.38,281.38,283.00
20171107,283.58,283.58,279.75,283.33
20171108,282.17,285.57,281.56,284.97
20171109,264.03,275.70,260.83,265.58
20171110,267.13,270.67,262.50,267.00
20171113,266.09,266.24,261.61,262.00
20171114,262.17,268.37,261.78,268.02
20171115,267.02,267.02,262.75,265.15
20171116,266.51,271.81,266.26,268.40
20171117,267.08,267.54,262.72,263.08
20171120,263.29,267.82,263.18,266.64
20171121,267.73,268.60,265.70,267.15
20171122,268.07,269.50,266.65,268.99
