Date,Open,High,Low,Close
20151127,38.52,38.69,38.30,38.66
20151130,38.73,38.82,38.42,38.62
20151201,38.93,39.05,38.57,38.97
20151202,39.02,39.09,38.41,38.49
20151203,38.63,38.77,37.76,37.88
20151204,38.08,39.06,37.85,38.95
20151207,39.26,39.28,38.37,38.70
20151208,38.35,38.53,37.78,37.90
20151209,37.72,38.04,37.01,37.24
20151210,37.22,38.08,37.05,37.56
20151211,37.03,37.27,36.57,36.81
20151214,36.98,37.33,36.49,36.91
20151215,37.37,38.03,37.37,37.68
20151216,38.02,38.40,37.52,38.33
20151217,38.53,38.61,37.82,37.83
20151218,37.61,37.74,37.17,37.23
20151221,37.64,37.72,36.84,37.28
20151222,37.54,37.67,36.83,37.64
20151223,37.84,38.28,37.66,38.24
20151224,38.17,38.45,38.06,38.27
20151228,38.05,38.15,37.60,38.09
20151229,38.35,38.63,38.19,38.54
20151230,38.47,38.53,38.10,38.17
20151231,37.92,38.21,37.74,37.81
20160104,36.92,37.03,36.28,36.65
20160105,36.61,36.94,36.36,36.66
20160106,36.06,36.59,35.86,36.15
20160107,35.38,35.78,34.88,35.12
20160108,35.42,35.44,34.29,34.36
20160111,34.65,34.84,34.29,34.68
20160112,35.10,35.18,34.37,34.90
20160113,35.14,35.24,33.61,33.72
20160114,33.84,34.25,33.40,34.02
20160115,32.90,33.36,32.73,33.14
20160119,33.70,33.70,32.58,32.92
20160120,32.15,33.29,31.78,32.86
20160121,32.67,32.76,31.71,31.78
20160122,32.19,32.51,31.56,31.95
20160125,31.80,31.88,31.08,31.11
20160126,31.22,31.59,30.99,31.47
20160127,31.43,32.37,31.31,31.65
20160128,31.86,32.28,31.72,31.91
20160129,32.16,32.69,32.01,32.66
20160201,32.53,32.63,32.05,32.29
20160202,31.80,31.84,31.40,31.58
20160203,31.72,31.89,30.72,31.78
20160204,31.70,32.25,31.68,32.16
20160205,32.17,32.54,31.87,32.06
20160208,31.57,31.61,30.90,31.33
20160209,30.79,31.78,30.74,31.60
20160210,31.67,31.95,31.24,31.27
20160211,30.40,30.74,29.95,30.28
20160212,31.06,31.60,30.75,31.58
20160216,32.05,32.82,31.75,32.58
20160217,32.84,33.12,32.77,32.92
20160218,32.92,33.05,32.10,32.26
20160219,32.05,32.41,31.93,32.38
20160222,32.66,32.98,32.64,32.97
20160223,32.77,32.98,31.88,32.10
20160224,31.62,32.04,31.27,32.00
20160225,32.10,32.50,32.02,32.49
20160226,32.83,33.53,32.62,33.30
20160229,33.21,33.29,32.15,32.16
20160301,32.49,33.45,32.32,33.45
20160302,33.53,33.91,33.35,33.81
20160303,33.81,34.28,33.66,34.27
20160304,34.44,34.80,34.27,34.49
20160307,34.18,34.40,34.01,34.35
20160308,34.25,34.25,33.48,33.66
20160309,33.92,34.06,33.32,33.46
20160310,33.76,34.21,33.21,33.66
20160311,34.01,34.50,33.83,34.45
20160314,34.41,34.55,34.13,34.38
20160315,34.01,34.26,33.98,34.25
20160316,34.07,34.45,33.83,33.96
20160317,33.83,34.22,33.45,34.15
20160318,34.38,34.84,34.30,34.67
20160321,34.71,34.94,34.31,34.63
20160322,34.34,34.58,34.20,34.40
20160323,34.44,34.51,34.07,34.14
20160324,33.92,33.92,33.43,33.69
20160328,33.44,33.75,33.44,33.56
20160329,33.49,33.49,32.94,33.32
20160330,33.52,33.87,33.39,33.53
20160331,33.52,33.68,33.19,33.27
20160401,33.08,33.53,32.80,33.51
20160404,33.47,33.83,33.34,33.69
20160405,33.32,33.46,33.01,33.06
20160406,33.14,33.37,32.98,33.13
20160407,32.78,32.99,32.22,32.44
20160408,32.73,33.09,32.40,32.49
20160411,32.71,33.11,32.59,32.62
20160412,32.70,33.15,32.56,33.05
20160413,33.41,34.22,33.33,34.21
20160414,34.13,34.84,34.00,34.50
20160415,34.53,34.61,34.00,34.03
20160418,33.99,34.40,33.82,34.25
20160419,34.34,34.80,34.23,34.71
20160420,34.87,35.23,34.68,35.21
20160421,35.25,35.64,34.94,35.14
20160422,35.36,35.90,35.26,35.83
20160425,35.54,35.76,35.24,35.46
20160426,35.59,36.22,35.47,36.16
20160427,36.17,36.50,35.86,36.15
20160428,35.79,36.11,35.47,35.60
20160429,35.35,35.65,35.10,35.38
20160502,35.40,35.58,35.08,35.41
20160503,34.95,35.15,34.63,34.83
20160504,34.50,34.67,33.80,34.11
20160505,34.10,34.26,33.88,34.00
20160506,33.73,34.06,33.66,34.02
20160509,33.72,34.05,33.51,33.73
20160510,34.06,34.48,33.92,34.38
20160511,34.01,34.29,33.79,33.93
20160512,34.07,34.27,33.56,33.73
20160513,33.67,33.97,33.01,33.12
20160516,33.35,33.67,33.12,33.53
20160517,33.39,33.98,33.24,33.62
20160518,33.60,34.93,33.58,34.82
20160519,34.65,35.15,34.57,35.01
20160520,35.12,35.42,34.99,35.08
20160523,35.05,35.26,34.71,34.98
20160524,35.24,35.71,35.14,35.54
20160525,35.82,36.55,35.80,36.37
20160526,36.31,36.34,35.86,36.13
20160527,36.19,36.36,36.01,36.35
20160531,36.59,36.63,36.17,36.37
20160601,36.00,36.73,35.72,36.67
20160602,36.57,36.95,36.40,36.93
20160603,36.24,36.52,35.61,36.37
20160606,36.43,37.02,36.19,36.78
20160607,36.79,36.89,36.60,36.62
20160608,36.54,36.79,36.46,36.61
20160609,36.35,36.37,35.90,36.18
20160610,35.79,35.97,35.57,35.92
20160613,35.77,36.35,35.68,35.77
20160614,35.65,35.98,35.22,35.38
20160615,35.45,36.13,35.32,35.57
20160616,35.22,35.60,34.99,35.56
20160617,35.56,36.00,35.33,35.75
20160620,36.33,36.76,35.72,35.76
20160621,35.87,36.06,35.54,35.99
20160622,36.04,36.49,35.94,35.98
20160623,36.37,36.95,36.37,36.95
