Date,Open,High,Low,Close
20151127,35.89,36.00,35.47,35.67
20151130,35.81,35.87,35.16,35.30
20151201,35.55,35.87,35.20,35.39
20151202,35.40,35.70,35.25,35.37
20151203,35.40,35.50,34.62,34.92
20151204,35.12,35.53,34.95,35.49
20151207,35.34,35.56,35.14,35.49
20151208,34.99,35.78,34.99,35.67
20151209,35.33,36.10,34.78,35.40
20151210,35.51,36.11,35.42,35.74
20151211,35.29,35.57,35.09,35.28
20151214,35.35,35.78,35.21,35.47
20151215,35.80,35.99,35.21,35.22
20151216,35.62,35.99,35.31,35.92
20151217,36.22,36.37,35.31,35.33
20151218,35.30,35.31,34.65,34.66
20151221,34.83,35.08,34.55,34.80
20151222,35.03,35.40,34.86,35.20
20151223,35.47,35.66,34.98,35.65
20151224,35.49,35.65,35.31,35.45
20151228,35.33,35.60,35.17,35.33
20151229,35.57,36.13,35.47,35.88
20151230,35.87,35.97,35.67,35.68
20151231,35.51,35.83,35.45,35.46
20160104,34.95,35.44,34.78,35.42
20160105,35.42,35.99,35.29,35.97
20160106,35.34,35.70,34.80,35.04
20160107,34.50,35.41,34.50,34.99
20160108,35.12,35.24,33.38,33.47
20160111,33.55,34.04,33.50,33.90
20160112,34.40,34.85,34.01,34.46
20160113,34.61,34.62,33.82,33.85
20160114,33.85,34.62,33.49,34.24
20160115,33.24,33.99,33.24,33.76
20160119,34.08,34.33,33.71,34.07
20160120,33.67,34.05,32.82,33.72
20160121,33.65,34.09,33.39,33.92
20160122,34.36,34.89,34.29,34.47
20160125,34.53,34.66,34.12,34.38
20160126,34.44,35.08,34.32,34.85
20160127,34.85,35.20,34.42,34.60
20160128,34.78,34.80,34.38,34.70
20160129,34.94,35.77,34.76,35.62
20160201,35.47,36.24,35.24,36.10
20160202,36.46,36.69,36.15,36.42
20160203,36.58,36.65,35.50,35.99
20160204,35.44,35.76,34.86,35.38
20160205,35.65,35.76,33.95,33.98
20160208,33.74,34.15,33.41,34.01
20160209,33.76,35.11,33.76,34.83
20160210,35.12,35.49,34.64,34.69
20160211,34.08,34.70,33.71,33.96
20160212,34.41,34.97,33.90,34.94
20160216,35.52,35.91,35.17,35.69
20160217,35.80,36.19,35.70,35.90
20160218,35.80,36.00,35.38,35.80
20160219,35.45,35.85,35.12,35.79
20160222,36.20,36.67,36.01,36.51
20160223,36.51,36.78,36.10,36.35
20160224,36.59,37.33,35.87,37.12
20160225,36.97,37.57,36.62,37.54
20160226,37.51,37.92,37.17,37.82
20160229,37.74,37.87,37.03,37.05
20160301,37.18,37.75,37.04,37.74
20160302,37.58,37.88,37.33,37.72
20160303,37.54,37.62,37.00,37.61
20160304,37.61,37.87,37.26,37.70
20160307,37.62,38.10,37.49,37.69
20160308,37.59,38.02,37.53,37.70
20160309,37.86,37.88,37.34,37.47
20160310,37.78,37.88,37.22,37.75
20160311,37.87,38.06,37.46,37.74
20160314,37.80,38.06,37.72,37.94
20160315,37.70,38.30,37.63,38.03
20160316,37.83,38.25,37.60,38.16
20160317,38.06,38.74,38.06,38.61
20160318,38.62,38.97,38.62,38.96
20160321,38.86,39.23,38.78,38.92
20160322,38.71,39.07,38.69,38.90
20160323,38.76,39.01,38.55,38.86
20160324,38.62,38.85,38.54,38.56
20160328,38.71,39.11,38.60,38.88
20160329,38.90,39.33,38.88,39.31
20160330,39.41,39.51,39.12,39.34
20160331,39.44,39.60,39.13,39.17
20160401,39.11,39.49,39.01,39.39
20160404,39.50,39.60,39.16,39.28
20160405,39.05,39.24,38.78,38.85
20160406,38.81,38.87,38.34,38.79
20160407,38.59,38.63,37.92,38.10
20160408,38.14,38.31,37.85,38.09
20160411,38.00,38.26,37.69,37.72
20160412,37.76,38.08,37.50,38.02
20160413,38.28,38.38,38.01,38.31
20160414,38.28,38.33,37.93,38.17
20160415,38.21,38.70,38.17,38.65
20160418,38.58,38.94,38.58,38.81
20160419,39.05,39.10,38.67,38.86
20160420,38.99,39.20,38.76,38.81
20160421,38.76,38.99,38.45,38.51
20160422,38.51,38.60,38.23,38.26
20160425,38.22,38.40,38.01,38.25
20160426,38.30,38.60,38.10,38.58
20160427,38.58,39.03,38.43,38.87
20160428,38.65,38.91,38.35,38.45
20160429,38.38,38.38,37.74,37.91
20160502,38.10,38.94,38.03,38.90
20160503,38.60,38.72,38.12,38.51
20160504,38.29,38.62,38.17,38.51
20160505,38.42,38.57,38.01,38.27
20160506,38.13,38.33,37.83,38.30
20160509,38.47,39.10,38.23,38.89
20160510,39.06,39.13,38.26,38.31
20160511,37.41,37.56,37.00,37.01
20160512,37.11,37.42,36.74,37.14
20160513,36.56,37.40,36.29,36.34
20160516,36.56,37.60,36.40,37.60
20160517,39.08,39.19,37.18,37.79
20160518,37.51,37.65,36.91,37.36
20160519,37.38,38.06,37.28,37.90
20160520,37.63,37.91,37.47,37.72
20160523,37.74,37.95,37.31,37.35
20160524,37.62,37.78,37.37,37.62
20160525,37.78,37.88,37.38,37.66
20160526,38.05,38.33,37.81,37.96
20160527,38.01,38.34,37.92,38.33
20160531,38.26,38.35,37.88,38.06
20160601,37.94,38.38,37.90,38.30
20160602,38.24,38.56,38.14,38.50
