Date,Open,High,Low,Close
20151127,37.10,37.11,36.52,36.89
20151130,36.71,36.80,35.48,35.50
20151201,35.86,36.41,35.03,36.18
20151202,36.29,36.40,35.70,35.72
20151203,35.53,35.87,34.24,34.56
20151204,34.50,35.53,34.47,35.45
20151207,35.22,37.50,35.22,36.59
20151208,36.66,37.22,36.31,36.89
20151209,36.43,36.89,35.73,36.07
20151210,36.25,36.70,36.05,36.34
20151211,35.96,36.47,35.79,36.00
20151214,36.00,36.68,35.85,36.52
20151215,36.58,38.35,36.56,38.16
20151216,38.32,39.25,38.12,39.13
20151217,39.18,39.76,39.00,39.20
20151218,39.00,39.28,37.63,37.89
20151221,38.04,38.98,37.80,38.98
20151222,38.99,39.41,38.36,39.26
20151223,39.49,40.35,39.31,40.13
20151224,40.20,40.25,39.65,39.67
20151228,39.56,39.83,39.35,39.78
20151229,39.90,40.22,39.60,40.12
20151230,40.05,40.05,39.53,39.74
20151231,39.53,39.70,38.73,39.12
20160104,38.86,39.02,38.46,38.95
20160105,38.90,40.50,38.76,40.22
20160106,39.56,40.38,39.33,40.05
20160107,39.38,40.68,39.27,40.51
20160108,40.86,41.23,39.78,39.88
20160111,39.96,39.98,39.17,39.68
20160112,39.83,40.12,39.38,40.06
20160113,40.16,40.45,38.83,38.85
20160114,38.74,39.72,37.99,39.39
20160115,37.99,38.90,36.79,37.79
20160119,38.13,38.23,37.44,37.65
20160120,37.15,37.66,35.49,37.36
20160121,37.40,37.96,36.77,37.10
20160122,37.86,38.06,37.49,37.85
20160125,37.97,38.97,37.50,37.89
20160126,38.17,39.68,37.97,39.43
20160127,39.42,39.49,38.35,38.50
20160128,38.64,38.90,38.16,38.67
20160129,39.44,40.17,38.85,40.15
20160201,40.04,40.65,39.46,40.59
20160202,40.03,40.25,38.99,39.27
20160203,39.55,39.99,37.23,38.34
20160204,38.82,38.99,37.75,38.70
20160205,39.05,39.09,35.39,35.66
20160208,35.42,35.53,33.53,33.96
20160209,33.75,34.39,33.23,33.89
20160210,34.31,35.20,33.72,34.57
20160211,33.78,34.42,33.60,34.03
20160212,34.59,35.27,34.01,35.11
20160216,35.78,36.53,35.05,36.45
20160217,38.31,38.31,35.86,36.85
20160218,37.11,37.45,36.45,36.63
20160219,36.33,36.64,34.87,34.95
20160222,35.56,35.98,35.28,35.83
20160223,35.80,36.40,35.52,36.20
20160224,36.16,37.00,35.82,36.78
20160225,37.00,38.44,36.90,38.36
20160226,37.36,37.78,36.57,37.47
20160229,37.48,38.02,37.09,37.10
20160301,37.03,38.69,37.00,38.65
20160302,38.54,38.82,37.69,38.77
20160303,39.50,39.79,38.77,38.97
20160304,39.12,39.51,38.38,38.48
20160307,38.24,39.20,38.24,38.64
20160308,38.62,39.10,38.33,38.95
20160309,39.00,39.03,38.16,38.20
20160310,38.48,38.75,37.47,37.57
20160311,37.84,38.15,37.47,37.75
20160314,37.50,37.57,36.70,37.09
20160315,36.76,36.93,36.26,36.77
20160316,36.80,37.24,36.49,37.18
20160317,37.18,37.52,36.97,37.16
20160318,37.34,37.62,36.75,36.93
20160321,37.43,37.49,36.91,37.35
20160322,36.90,37.41,36.85,37.28
20160323,37.17,37.26,36.27,37.07
20160324,36.85,37.10,36.44,37.00
20160328,36.98,37.20,36.75,37.04
20160329,37.14,38.61,36.83,38.43
20160330,38.54,38.99,38.18,38.44
20160331,38.52,38.65,38.01,38.30
20160401,38.06,39.50,37.93,39.36
20160404,39.24,39.96,39.06,39.66
20160405,39.34,39.74,38.82,39.14
20160406,39.31,39.49,38.95,39.10
20160407,38.75,39.04,38.42,38.82
20160408,38.98,39.11,38.45,38.70
20160411,38.77,39.00,38.52,38.64
20160412,38.60,39.19,38.45,38.89
20160413,39.12,39.35,38.67,38.85
20160414,38.81,38.99,38.44,38.81
20160415,38.99,39.51,38.88,39.29
20160418,39.12,39.61,38.99,39.25
20160419,39.36,39.86,39.02,39.85
20160420,39.96,40.82,39.67,40.15
20160421,40.10,40.59,38.31,40.25
20160422,40.22,40.85,40.11,40.22
20160425,40.30,41.26,40.01,41.18
20160426,41.84,42.20,39.17,39.33
20160427,39.45,40.12,39.41,39.70
20160428,39.62,40.10,39.40,39.76
20160429,39.40,39.73,38.47,39.28
20160502,39.36,40.10,39.29,39.99
20160503,39.83,39.88,39.43,39.66
20160504,39.51,39.91,39.08,39.10
20160505,39.10,39.67,38.87,39.25
20160506,39.00,39.62,38.67,39.49
20160509,39.58,40.00,39.43,39.90
