Date,Open,High,Low,Close
20151127,32.35,32.56,31.75,31.82
20151130,31.64,32.27,31.18,31.77
20151201,32.00,32.20,31.36,31.57
20151202,31.09,31.56,30.77,30.88
20151203,31.00,31.02,29.66,29.87
20151204,29.87,30.72,29.71,30.58
20151207,30.45,31.15,30.07,31.07
20151208,30.81,31.36,30.61,31.22
20151209,30.78,31.64,30.21,30.51
20151210,30.52,31.26,30.07,31.12
20151211,30.77,30.99,30.28,30.38
20151214,31.02,31.28,30.30,31.09
20151215,32.00,32.60,31.81,32.34
20151216,32.43,33.44,32.41,33.33
20151217,33.44,33.45,32.52,32.64
20151218,32.33,32.64,31.63,31.99
20151221,32.12,32.72,31.87,32.70
20151222,32.78,33.19,32.61,33.03
20151223,33.30,33.45,32.39,33.28
20151224,33.08,33.22,32.55,32.65
20151228,32.59,33.05,32.39,32.62
20151229,32.85,33.23,32.83,33.00
20151230,32.96,33.02,32.61,32.67
20151231,32.61,32.90,32.49,32.73
20160104,32.35,33.66,32.08,33.64
20160105,33.82,34.19,33.31,33.97
20160106,33.21,33.47,32.37,32.79
20160107,32.10,33.27,32.10,32.89
20160108,33.01,33.25,31.87,31.95
20160111,31.98,32.89,31.98,32.77
20160112,33.21,33.47,31.84,32.59
20160113,32.73,32.95,31.39,31.52
20160114,31.59,32.15,30.49,31.76
20160115,30.88,31.64,30.36,31.43
20160119,31.68,32.15,30.79,31.16
20160120,30.78,31.61,30.06,31.46
20160121,31.58,32.96,31.42,32.47
20160122,33.16,33.44,31.88,32.43
20160125,32.06,32.17,30.18,30.35
20160126,32.77,33.96,32.10,33.33
20160127,33.35,35.27,33.27,34.19
20160128,34.76,35.89,34.53,35.82
20160129,36.20,37.07,36.02,37.05
20160201,36.80,37.49,36.50,37.21
20160202,37.32,37.77,36.73,37.15
20160203,37.35,37.52,35.34,36.42
20160204,35.90,36.28,35.44,36.09
20160205,35.92,35.92,34.74,35.05
20160208,34.68,34.78,33.77,34.43
20160209,33.96,34.73,33.55,34.05
20160210,34.23,34.33,33.49,33.65
20160211,33.18,33.86,32.95,33.63
20160212,34.00,34.64,33.62,34.53
20160216,34.79,35.67,34.76,35.58
20160217,35.97,36.18,35.50,35.97
20160218,35.65,36.56,35.46,36.31
20160219,36.02,36.42,35.19,35.82
20160222,36.18,36.54,36.02,36.18
20160223,36.23,38.40,36.18,36.95
20160224,36.75,38.01,36.74,37.89
20160225,37.96,39.05,37.73,38.90
20160226,38.91,38.99,38.29,38.57
20160229,38.70,39.22,38.49,38.94
20160301,39.00,39.54,38.93,39.33
20160302,38.68,39.06,38.34,38.87
20160303,38.88,39.09,38.52,38.79
20160304,38.83,39.40,38.35,38.78
20160307,38.62,39.21,38.43,39.19
20160308,38.87,39.25,38.40,38.46
20160309,38.76,39.01,38.19,38.81
20160310,38.68,39.56,38.63,39.09
20160311,39.40,39.81,39.19,39.66
20160314,39.54,39.95,39.23,39.40
20160315,39.02,39.15,38.48,38.86
20160316,38.86,39.16,38.41,39.01
20160317,38.97,39.94,38.86,39.72
20160318,39.78,39.78,39.03,39.27
20160321,39.20,39.57,39.04,39.41
20160322,39.17,39.30,38.70,38.86
20160323,38.68,39.32,38.50,38.75
20160324,38.71,38.71,38.06,38.68
20160328,38.68,39.25,38.44,38.93
20160329,38.86,39.56,38.79,39.41
20160330,39.68,40.53,39.58,40.32
20160331,40.32,40.86,39.84,40.09
20160401,39.54,40.63,39.54,40.52
20160404,40.62,40.89,39.99,40.15
20160405,39.86,40.07,39.69,39.71
20160406,39.81,40.42,39.54,40.30
20160407,40.86,41.45,39.87,40.31
20160408,40.34,40.34,38.80,38.97
20160411,39.08,39.58,38.67,39.31
20160412,39.14,39.46,38.46,39.01
20160413,39.00,39.50,38.41,39.45
20160414,39.47,39.69,38.67,38.72
20160415,38.69,39.41,38.60,38.98
20160418,38.98,39.67,38.76,39.64
20160419,40.06,40.58,39.55,40.07
20160420,39.99,40.68,39.76,40.49
20160421,40.55,40.71,39.67,39.99
20160422,40.28,40.69,39.97,40.28
20160425,40.48,40.48,39.91,40.19
20160426,40.50,42.00,39.06,41.86
20160427,41.66,42.13,41.18,42.00
20160428,41.72,41.97,41.06,41.21
20160429,41.16,41.16,39.81,40.27
20160502,40.49,41.47,40.34,41.34
20160503,41.02,41.29,40.43,40.71
20160504,40.56,41.08,40.30,40.42
20160505,40.41,40.53,39.42,39.62
20160506,39.58,39.99,39.12,39.91
20160509,39.90,40.84,39.69,40.69
20160510,40.55,40.73,40.12,40.61
20160511,39.57,39.57,38.16,38.18
20160512,38.35,38.39,37.61,38.01
20160513,37.74,38.02,36.64,37.30
20160516,37.41,37.95,37.13,37.65
20160517,37.50,38.21,37.10,37.88
20160518,37.73,37.83,37.17,37.38
20160519,37.59,38.21,37.51,38.10
20160520,38.22,39.23,38.01,39.13
20160523,39.06,39.48,38.83,38.88
20160524,39.01,39.57,38.97,39.48
20160525,39.25,39.61,39.01,39.51
20160526,39.80,40.06,39.17,39.33
20160527,39.39,39.64,39.17,39.60
20160531,39.65,39.87,38.88,39.42
20160601,39.41,39.81,38.88,39.34
20160602,39.31,39.87,39.00,39.77
20160603,39.56,39.69,38.70,38.80
20160606,38.81,38.91,38.08,38.38
20160607,38.08,39.26,38.01,39.15
20160608,39.24,39.41,38.94,39.22
20160609,38.78,38.82,37.98,38.64
20160610,38.33,38.39,37.53,37.85
20160613,37.68,38.11,37.54,37.80
20160614,37.63,38.11,37.09,37.45
20160615,37.70,38.65,37.56,38.32
20160616,38.19,38.44,37.87,38.29
20160617,38.25,38.85,38.05,38.84
20160620,39.23,39.76,39.20,39.40
20160621,39.50,40.46,39.48,40.41
20160622,40.36,40.71,40.12,40.29
20160623,40.60,40.85,40.29,40.43
20160624,39.04,39.48,38.26,38.48
20160627,38.02,38.08,36.75,37.41
20160628,37.82,38.82,37.82,38.54
20160629,39.06,39.97,39.03,39.86
20160630,39.90,40.74,39.70,40.74
20160701,40.98,41.30,40.62,40.73
20160705,40.60,40.76,39.88,39.97
20160706,39.93,40.08,39.19,40.02
20160707,40.23,40.59,40.11,40.57
20160708,40.77,41.68,40.73,41.56
20160711,41.79,42.24,41.61,41.98
20160712,41.90,42.64,41.90,42.59
20160713,42.41,42.63,41.86,42.01
20160714,42.17,42.48,42.02,42.18
20160715,42.34,42.51,42.16,42.30
20160718,42.76,43.62,42.59,43.37
20160719,43.10,43.28,42.63,43.28
20160720,43.27,43.28,42.98,43.04
20160721,43.04,43.17,42.64,42.72
20160722,42.59,43.02,42.33,42.93
20160725,42.95,43.34,42.87,43.26
20160726,43.11,43.56,42.83,43.13
20160727,43.58,43.71,42.73,43.10
