Date,Open,High,Low,Close
20151127,76.06,76.13,75.49,75.95
20151130,76.16,76.41,75.48,76.15
20151201,76.60,77.05,76.02,76.49
20151202,76.50,76.59,75.30,75.54
20151203,75.74,75.93,74.64,75.17
20151204,75.30,76.26,75.14,76.03
20151207,75.86,76.07,74.69,75.16
20151208,74.59,74.68,73.94,74.11
20151209,73.75,74.47,72.75,73.17
20151210,73.13,74.13,72.94,73.34
20151211,72.33,72.48,70.47,70.80
20151214,70.20,71.00,68.76,70.04
20151215,70.89,71.65,70.89,71.37
20151216,72.14,72.41,70.97,72.13
20151217,72.14,72.49,70.90,71.01
20151218,70.48,70.98,69.81,69.91
20151221,70.52,70.75,70.02,70.39
20151222,70.63,70.98,70.19,70.91
20151223,71.00,73.00,70.92,72.75
20151224,72.48,72.96,72.18,72.45
20151228,72.25,72.83,71.97,72.72
20151229,72.73,73.64,72.73,73.10
20151230,72.93,73.39,72.04,72.09
20151231,72.05,72.49,71.49,71.49
20160104,69.93,70.21,69.17,70.19
20160105,70.39,70.81,69.50,70.48
20160106,69.14,69.41,68.62,68.90
20160107,67.51,68.76,66.67,67.06
20160108,67.46,67.65,65.28,65.36
20160111,65.70,65.96,64.34,65.01
20160112,65.73,66.82,65.16,66.71
20160113,66.97,67.76,64.71,64.87
20160114,65.15,66.16,64.35,65.58
20160115,63.83,65.49,63.57,64.95
20160119,65.95,66.54,65.07,65.56
20160120,64.40,65.77,63.75,65.09
20160121,65.33,67.26,65.11,65.56
20160122,66.77,67.44,66.28,67.43
20160125,67.08,67.34,65.29,65.41
20160126,65.77,67.65,65.44,66.65
20160127,66.67,67.57,65.50,66.23
20160128,68.25,70.80,68.01,68.42
20160129,68.51,71.16,68.44,70.95
20160201,70.44,70.60,69.40,70.16
20160202,68.92,69.46,67.79,68.05
20160203,68.46,69.07,66.40,68.64
20160204,68.41,69.82,68.40,69.78
20160205,69.40,69.91,68.36,68.64
20160208,67.98,67.98,64.26,65.97
20160209,65.20,67.15,64.81,66.49
20160210,67.46,68.35,66.55,66.59
20160211,64.71,66.20,64.65,65.48
20160212,66.87,67.56,65.98,67.55
20160216,68.50,68.81,67.74,68.47
