Date,Open,High,Low,Close
20151127,114.71,115.10,114.35,114.85
20151130,115.17,115.50,114.40,114.57
20151201,115.27,116.36,115.14,115.68
20151202,115.41,116.07,114.62,114.71
20151203,114.07,114.28,111.04,111.29
20151204,111.72,114.11,111.72,114.06
20151207,113.19,114.00,112.88,113.59
20151208,112.42,113.00,111.72,112.37
20151209,111.66,112.89,110.83,111.04
20151210,110.89,111.75,110.25,110.99
20151211,109.68,110.96,109.34,109.76
20151214,109.93,112.03,109.67,111.03
20151215,111.77,113.72,111.75,113.18
20151216,114.09,114.84,113.08,114.54
20151217,114.69,114.79,113.24,113.27
20151218,113.27,113.27,110.07,110.13
20151221,110.86,111.43,110.02,110.94
20151222,111.72,112.63,110.85,112.48
20151223,112.84,113.25,112.27,113.21
20151224,112.87,113.74,112.74,113.27
20151228,113.00,113.51,112.66,113.48
20151229,114.08,115.19,113.99,115.02
20151230,115.03,115.27,114.15,114.29
20151231,114.12,114.32,112.83,112.86
20160104,110.71,110.96,108.73,109.97
20160105,109.92,110.73,109.54,110.47
20160106,109.34,109.79,108.57,109.04
20160107,107.50,108.44,106.03,106.44
20160108,107.01,107.44,105.83,105.99
20160111,106.47,107.28,105.62,106.79
20160112,107.69,108.20,106.59,107.98
20160113,108.27,108.83,105.83,106.06
20160114,105.94,108.01,105.83,106.98
20160115,103.28,105.73,103.28,105.10
20160119,106.61,106.67,105.28,105.76
20160120,104.89,104.95,102.68,103.65
20160121,103.86,105.10,101.23,102.70
20160122,103.63,103.90,102.08,103.14
20160125,102.53,103.40,101.55,102.08
20160126,102.26,104.00,102.18,103.25
20160127,103.07,104.75,102.73,103.31
20160128,103.79,104.82,103.04,104.47
20160129,105.28,107.07,104.97,107.04
20160201,106.79,107.35,106.17,107.01
20160202,105.50,106.44,105.50,106.03
20160203,106.35,107.51,104.74,106.89
20160204,106.76,107.57,106.59,107.49
20160205,107.49,108.00,106.01,106.29
20160208,105.18,106.00,103.93,105.60
20160209,103.95,106.14,103.77,105.92
20160210,106.35,107.65,105.60,105.72
20160211,103.73,104.56,103.07,103.77
20160212,104.82,107.58,104.18,107.49
20160216,108.27,108.50,106.61,107.37
20160217,108.00,109.26,107.63,109.18
20160218,109.01,109.25,108.58,108.85
20160219,108.56,108.72,107.83,108.09
20160222,109.42,109.53,108.49,109.35
20160223,108.64,108.81,107.63,107.91
20160224,107.30,108.80,106.67,108.48
20160225,108.79,109.27,108.22,109.27
20160226,109.60,109.80,108.25,108.46
20160229,108.46,108.72,107.39,107.52
20160301,108.13,110.13,108.04,110.13
20160302,110.06,110.44,109.68,110.20
20160303,109.92,110.28,108.63,109.80
20160304,110.38,110.59,109.06,110.40
20160307,110.02,110.49,109.56,110.41
20160308,109.46,111.58,109.46,110.85
20160309,111.50,111.70,110.83,111.33
20160310,111.26,112.36,110.58,111.53
20160311,112.19,113.67,112.13,113.64
20160314,113.65,113.80,112.28,112.82
20160315,112.23,114.38,112.08,113.92
20160316,113.50,115.01,113.50,114.68
20160317,114.73,116.17,114.44,115.83
20160318,115.99,116.00,114.81,115.76
20160321,115.32,116.32,115.32,116.03
20160322,115.95,116.78,115.54,116.06
20160323,116.16,116.46,115.05,115.89
20160324,115.64,115.92,114.67,115.39
20160328,116.11,116.41,115.57,116.25
20160329,116.21,116.87,115.77,116.41
20160330,116.95,117.70,116.72,117.43
20160331,117.39,117.61,116.49,116.71
20160401,116.42,117.55,115.91,117.40
20160404,117.65,118.28,117.17,117.56
20160405,117.07,117.84,116.02,116.13
20160406,116.05,116.38,114.96,115.93
20160407,115.58,115.58,114.36,114.50
20160408,114.79,116.01,114.79,115.23
20160411,115.35,116.28,114.73,114.78
20160412,114.81,115.29,114.13,115.19
20160413,115.87,116.18,114.86,115.96
20160414,115.87,115.99,115.10,115.36
20160415,115.74,116.62,115.35,116.23
20160418,116.23,116.33,115.43,116.01
20160419,116.81,117.24,116.09,116.27
20160420,116.63,116.68,115.14,115.80
20160421,111.53,112.37,108.25,108.79
20160422,109.16,111.17,109.10,110.84
20160425,110.55,110.65,109.51,110.34
20160426,110.63,110.93,109.56,109.97
20160427,110.13,110.13,108.88,109.53
20160428,108.72,109.87,108.37,109.13
20160429,108.96,110.12,108.50,109.90
20160502,110.01,111.27,110.01,110.91
20160503,109.68,110.69,109.62,110.33
20160504,109.52,110.19,108.68,109.73
20160505,110.39,111.16,110.27,110.75
20160506,110.50,110.59,109.73,110.45
20160509,110.11,111.05,110.01,110.81
20160510,111.00,112.28,110.74,112.27
20160511,112.31,113.12,111.90,111.97
20160512,112.19,113.04,111.63,112.64
20160513,112.83,113.01,111.93,112.67
20160516,112.26,112.86,111.94,112.24
20160517,112.08,112.26,110.10,110.42
20160518,110.27,111.89,109.98,111.30
20160519,110.53,110.97,109.86,110.10
20160520,110.75,112.46,110.48,111.89
20160523,111.70,112.19,111.21,111.39
20160524,111.61,113.50,111.50,113.44
20160525,113.76,114.38,113.33,113.54
20160526,113.48,113.76,113.01,113.60
20160527,113.61,114.34,113.55,114.18
20160531,114.23,115.00,113.49,114.14
20160601,113.75,114.87,113.37,114.84
