Date,Open,High,Low,Close
20151127,35.57,35.77,35.35,35.69
20151130,35.79,35.91,35.21,35.37
20151201,35.41,36.04,35.41,35.99
20151202,35.98,36.15,35.73,35.88
20151203,36.06,36.37,35.60,35.78
20151204,35.85,36.72,35.82,36.49
20151207,36.53,36.58,35.97,36.11
20151208,35.67,36.35,35.60,36.25
20151209,36.16,36.33,35.36,35.59
20151210,35.53,35.80,35.10,35.42
20151211,34.76,35.46,34.66,35.01
20151214,35.01,35.34,34.81,35.19
20151215,35.38,36.12,35.32,36.00
20151216,36.30,36.55,35.48,36.23
20151217,36.48,36.94,35.85,35.85
20151218,35.70,35.79,34.74,34.76
20151221,35.33,35.63,34.34,35.00
20151222,35.08,35.47,34.65,35.27
20151223,35.47,35.61,35.04,35.55
20151224,35.58,35.97,35.22,35.74
20151228,35.69,35.76,35.13,35.76
20151229,36.00,36.37,35.38,35.83
20151230,35.83,36.05,35.43,35.51
20151231,35.24,35.50,34.78,34.84
20160104,34.05,34.75,33.62,34.17
20160105,34.36,35.08,34.16,34.75
20160106,34.22,34.70,33.55,34.01
20160107,33.33,33.62,32.41,32.42
20160108,32.56,33.15,32.29,32.34
20160111,32.59,32.93,32.35,32.77
20160112,32.86,33.73,32.86,33.62
20160113,33.83,33.86,32.44,32.50
20160114,32.61,32.84,31.74,32.69
20160115,31.61,32.81,31.57,32.58
20160119,32.72,33.14,31.81,32.50
20160120,31.95,33.03,31.36,32.62
20160121,32.89,33.26,32.38,32.97
20160122,33.49,33.75,33.12,33.63
20160125,33.54,34.04,33.31,33.61
20160126,33.83,34.36,33.60,34.27
20160127,34.08,34.56,33.62,33.74
20160128,33.99,34.38,33.28,33.61
20160129,33.50,34.70,33.29,34.70
20160201,34.58,34.99,34.29,34.62
20160202,34.34,34.48,33.06,33.44
20160203,33.57,33.59,31.87,32.83
20160204,36.00,36.28,33.29,35.08
20160205,35.06,35.08,32.99,33.38
20160208,32.89,33.73,31.66,33.63
20160209,33.27,35.19,33.16,34.52
20160210,34.79,35.36,34.29,34.46
20160211,33.84,35.37,33.39,35.07
20160212,35.12,35.28,33.81,34.13
20160216,34.48,34.68,33.92,34.63
20160217,34.76,34.97,33.85,34.35
20160218,34.35,34.68,33.97,34.00
20160219,33.92,34.72,33.65,34.67
20160222,34.91,35.67,34.71,35.30
20160223,35.22,35.45,34.69,34.89
20160224,34.56,35.58,34.43,35.35
20160225,35.49,35.73,35.25,35.70
20160226,35.83,35.98,35.58,35.81
20160229,35.82,36.69,35.71,35.99
20160301,36.18,37.71,36.05,37.50
20160302,37.55,37.55,36.90,37.32
20160303,37.24,37.30,36.11,36.57
20160304,36.56,37.00,35.83,36.00
20160307,35.73,35.73,34.44,34.65
20160308,34.53,34.90,34.39,34.51
20160309,34.74,35.32,34.62,34.85
20160310,35.06,35.65,34.80,35.52
20160311,35.79,36.19,35.64,35.83
20160314,35.42,35.80,35.26,35.33
20160315,35.32,35.57,35.01,35.27
20160316,35.09,35.78,34.98,35.60
20160317,35.59,35.68,34.85,35.10
20160318,35.29,35.29,34.64,34.87
20160321,34.77,34.99,34.60,34.84
20160322,34.66,35.75,34.63,35.44
20160323,35.35,35.63,35.03,35.22
20160324,35.10,35.56,34.84,35.19
20160328,35.21,35.52,35.02,35.40
20160329,35.27,37.04,35.27,37.00
20160330,37.20,37.64,37.10,37.24
20160331,37.23,37.95,37.07,37.67
20160401,37.33,38.07,37.33,37.99
20160404,38.05,38.52,37.51,37.66
20160405,37.43,37.76,36.81,36.93
20160406,37.09,37.41,36.81,37.09
20160407,36.94,37.13,36.44,36.59
20160408,36.84,37.00,36.22,36.45
20160411,36.51,36.69,35.67,35.67
20160412,35.72,35.80,35.31,35.48
20160413,35.45,36.16,35.45,36.07
20160414,36.12,36.66,35.51,35.54
20160415,35.43,35.92,35.40,35.76
20160418,35.71,36.79,35.71,36.76
20160419,36.80,37.07,36.32,37.04
20160420,37.00,37.26,36.74,36.76
20160421,36.87,36.93,36.29,36.60
20160422,36.33,36.82,36.25,36.56
20160425,36.48,36.69,35.96,36.04
20160426,36.16,36.35,35.22,35.28
20160427,35.35,35.40,34.52,35.00
20160428,34.91,35.51,34.25,34.34
20160429,34.25,34.45,33.67,34.18
20160502,34.24,35.45,34.23,35.43
20160503,34.94,35.11,34.23,34.30
20160504,34.18,34.33,33.83,33.92
20160505,34.05,34.40,33.85,34.02
20160506,34.09,35.01,33.80,34.92
20160509,34.79,35.38,34.52,34.69
20160510,34.75,35.02,34.34,34.77
20160511,35.33,36.49,35.33,35.70
20160512,35.88,36.42,35.74,36.29
20160513,36.31,37.00,36.27,36.96
20160516,36.97,37.30,36.12,36.89
20160517,36.95,37.03,35.83,36.00
20160518,35.97,36.10,35.17,35.68
20160519,33.32,37.36,33.06,37.29
20160520,37.34,37.34,35.94,36.37
20160523,36.47,37.00,36.08,36.43
20160524,36.46,38.35,36.37,38.33
20160525,38.22,38.31,37.62,38.19
20160526,38.34,38.72,37.87,38.65
20160527,38.65,39.06,38.58,38.80
20160531,38.75,39.30,38.51,38.91
20160601,38.61,38.93,38.34,38.50
20160602,38.21,38.93,38.00,38.90
20160603,38.64,39.05,38.39,38.79
20160606,38.75,39.30,38.44,39.09
