Date,Open,High,Low,Close
20151127,25.98,26.07,25.67,25.75
20151130,25.78,25.82,25.06,25.40
20151201,25.39,25.58,25.00,25.53
20151202,25.31,25.72,25.17,25.40
20151203,25.48,26.06,24.91,25.90
20151204,25.81,25.85,25.01,25.02
20151207,24.99,25.16,24.13,24.46
20151208,24.04,25.10,23.54,24.99
20151209,24.98,24.98,24.19,24.31
20151210,24.36,26.25,24.34,25.91
20151211,25.91,26.20,24.80,24.84
20151214,24.68,24.94,23.70,24.92
20151215,24.52,24.69,23.70,23.95
20151216,23.96,24.48,23.80,24.30
20151217,24.47,24.75,23.29,23.31
20151218,23.35,23.44,22.66,22.99
20151221,23.02,23.04,21.99,22.14
20151222,22.26,22.67,22.09,22.56
20151223,22.68,22.95,22.37,22.67
20151224,22.70,23.06,22.55,22.97
20151228,22.90,23.32,22.50,22.53
20151229,22.63,22.82,22.31,22.47
20151230,22.45,22.94,22.21,22.23
20151231,22.17,23.28,22.15,23.14
20160104,22.64,22.84,22.11,22.56
20160105,22.79,23.00,21.85,21.92
20160106,21.62,22.18,21.18,21.39
20160107,21.00,21.48,20.20,20.26
20160108,20.51,20.72,19.60,19.98
20160111,20.12,20.20,19.26,19.65
20160112,19.87,20.41,19.32,19.62
20160113,19.70,19.76,18.47,18.68
20160114,18.55,19.16,17.27,19.00
20160115,18.23,18.53,17.61,17.94
20160119,18.18,18.18,16.43,16.69
20160120,16.16,19.04,15.48,17.38
20160121,17.44,18.32,16.80,17.83
20160122,18.29,18.56,17.73,17.84
20160125,16.80,17.45,16.51,17.02
20160126,17.22,17.28,16.40,17.01
20160127,17.01,17.62,16.77,16.78
20160128,17.21,17.34,16.45,16.49
20160129,16.64,17.07,16.51,16.80
20160201,17.89,18.77,17.30,17.91
20160202,17.22,17.27,16.01,16.08
20160203,16.33,16.74,15.55,16.56
20160204,16.40,17.18,16.29,16.91
20160205,16.61,16.64,15.62,15.72
20160208,15.51,15.55,14.73,14.90
20160209,14.62,15.55,14.31,14.40
20160210,14.55,15.28,14.52,14.98
20160211,14.07,14.79,13.91,14.31
20160212,14.54,15.94,14.53,15.88
20160216,16.09,16.40,15.67,16.36
20160217,16.47,17.60,16.43,17.46
20160218,18.10,18.55,17.52,18.43
20160219,18.16,18.88,17.77,18.31
20160222,18.62,18.68,17.76,18.30
20160223,18.56,18.96,18.10,18.30
20160224,18.00,18.09,17.11,18.00
20160225,17.93,17.95,17.31,17.59
20160226,17.72,18.03,17.50,17.94
20160229,17.96,18.57,17.78,18.12
20160301,18.47,18.48,17.59,17.85
20160302,17.85,18.74,17.72,18.54
20160303,18.53,19.44,18.48,19.31
20160304,19.45,20.32,19.06,19.36
20160307,19.11,19.73,18.77,19.17
20160308,19.10,19.15,18.33,18.33
20160309,18.61,18.74,17.52,17.66
20160310,17.69,17.77,16.38,16.61
20160311,16.77,16.94,16.46,16.81
20160314,16.81,17.32,16.79,17.12
20160315,17.00,17.04,16.14,16.19
20160316,16.33,16.77,16.13,16.70
20160317,16.65,17.15,16.62,16.85
20160318,17.08,17.38,16.76,16.85
20160321,16.83,17.05,16.68,16.89
20160322,16.75,17.01,16.70,16.86
20160323,16.86,16.91,16.01,16.01
20160324,15.94,15.99,15.57,15.91
20160328,15.98,16.01,15.40,15.60
20160329,15.69,15.99,15.33,15.97
20160330,16.16,16.72,16.01,16.36
20160331,16.40,16.84,16.21,16.55
20160401,16.41,16.43,15.83,15.98
20160404,16.00,17.54,15.96,17.09
20160405,17.59,17.83,16.89,17.05
20160406,17.12,17.48,16.90,17.26
20160407,16.88,17.59,16.85,16.98
20160408,17.12,17.25,16.41,16.65
20160411,16.74,16.98,16.41,16.51
20160412,16.50,16.77,16.15,16.57
20160413,16.68,17.40,16.68,17.37
20160414,17.38,17.70,17.14,17.53
20160415,17.52,17.91,17.31,17.58
20160418,17.71,17.72,17.06,17.31
20160419,17.37,17.39,16.68,16.92
20160420,16.94,17.52,16.90,17.40
20160421,17.48,17.77,17.42,17.51
20160422,17.33,17.51,17.02,17.23
20160425,17.20,17.75,16.88,17.09
20160426,17.21,17.98,17.08,17.75
20160427,15.15,15.28,14.81,14.86
20160428,14.85,15.09,14.62,14.64
20160429,14.70,14.93,14.32,14.62
20160502,14.73,14.77,14.17,14.40
20160503,14.22,14.25,13.90,14.01
20160504,13.95,14.88,13.92,14.84
20160505,14.93,14.98,14.08,14.12
20160506,14.12,14.40,13.98,14.40
20160509,14.28,14.47,14.15,14.20
20160510,14.17,14.69,14.16,14.63
20160511,14.61,14.86,14.44,14.59
20160512,14.63,14.68,14.00,14.08
20160513,14.06,14.28,14.00,14.10
20160516,14.09,14.37,14.06,14.29
20160517,14.21,14.59,14.13,14.34
20160518,14.35,14.57,14.05,14.14
20160519,14.15,14.31,14.04,14.15
20160520,14.20,14.51,14.16,14.43
20160523,14.40,14.60,14.33,14.41
20160524,14.22,14.22,13.73,14.03
20160525,14.07,14.57,14.06,14.41
20160526,14.45,14.48,14.19,14.30
20160527,14.25,15.10,14.23,15.10
20160531,15.12,15.49,15.08,15.22
20160601,15.22,15.22,14.62,15.02
20160602,15.04,15.26,14.85,15.20
20160603,15.11,15.35,14.96,15.20
20160606,15.22,15.45,15.18,15.27
20160607,15.36,15.37,14.91,15.00
20160608,15.07,15.12,14.81,14.95
20160609,14.84,14.86,14.59,14.60
20160610,14.45,14.45,14.00,14.02
20160613,14.63,15.30,14.51,14.55
20160614,14.82,15.42,14.80,15.36
20160615,15.71,16.44,15.71,15.96
20160616,15.90,15.95,15.40,15.87
20160617,16.16,16.37,15.96,16.10
20160620,16.34,16.64,16.15,16.34
20160621,16.48,16.56,16.17,16.32
20160622,16.27,16.32,16.05,16.13
20160623,16.30,17.07,16.28,17.04
20160624,16.24,16.90,16.20,16.44
20160627,16.29,16.40,15.46,15.84
20160628,16.24,16.64,16.16,16.42
20160629,16.60,17.01,16.43,16.83
20160630,16.80,17.00,16.73,16.91
20160701,16.93,17.50,16.90,17.28
20160705,17.25,17.28,16.76,17.14
20160706,17.02,17.34,16.81,17.20
20160707,17.24,17.68,17.24,17.37
20160708,17.53,18.16,17.47,18.08
20160711,17.59,17.88,17.52,17.71
20160712,17.98,18.38,17.92,18.10
20160713,18.21,18.32,17.50,17.74
20160714,18.02,18.28,17.91,17.96
20160715,17.98,18.18,17.81,18.08
20160718,18.29,18.75,18.05,18.65
20160719,18.51,18.90,18.27,18.33
20160720,18.52,18.76,18.45,18.56
20160721,18.57,18.80,18.35,18.39
20160722,18.12,18.39,17.76,18.37
20160725,18.43,18.70,18.17,18.65
20160726,18.52,18.65,18.16,18.45
20160727,16.34,16.59,15.69,15.77
20160728,15.89,16.34,15.88,16.31
20160729,16.39,16.74,16.24,16.64
20160801,16.65,16.85,16.40,16.64
20160802,16.61,16.70,16.20,16.42
20160803,16.34,17.88,16.33,17.61
20160804,17.57,18.31,17.36,18.13
20160805,18.19,18.58,18.14,18.26
20160808,18.25,18.48,17.93,18.20
20160809,18.17,18.79,17.97,18.68
20160810,18.67,19.57,18.56,19.04
20160811,19.17,19.83,19.11,19.78
20160812,19.71,19.71,19.01,19.54
20160815,19.85,21.10,19.83,20.86
20160816,20.78,20.79,20.29,20.40
20160817,20.43,20.44,19.90,20.17
