Date,Open,High,Low,Close
20151127,57.28,57.77,57.01,57.55
20151130,57.62,58.34,57.50,58.12
20151201,57.47,58.85,57.42,58.31
20151202,58.20,58.33,57.44,57.55
20151203,57.97,58.22,57.12,57.69
20151204,57.52,58.96,57.49,58.88
20151207,58.80,58.83,58.11,58.35
20151208,57.76,57.91,57.02,57.67
20151209,57.50,57.67,56.29,56.76
20151210,56.98,57.47,56.63,56.93
20151211,56.14,56.76,56.10,56.21
20151214,56.45,56.72,55.83,56.22
20151215,57.30,57.94,56.85,57.55
20151216,58.26,58.26,56.90,58.07
20151217,58.19,58.23,56.50,56.53
20151218,56.04,56.49,54.80,54.94
20151221,55.35,55.83,54.93,55.82
20151222,56.19,56.42,55.21,55.61
20151223,56.06,56.71,55.17,56.70
20151224,56.97,56.97,56.53,56.75
20151228,56.41,56.67,55.77,56.42
20151229,56.75,57.44,56.42,57.02
20151230,57.02,57.18,56.09,56.16
20151231,56.05,56.30,54.81,54.81
20160104,53.55,54.34,53.37,54.34
20160105,54.27,54.47,53.55,53.77
20160106,52.95,53.89,52.72,53.42
20160107,52.39,52.95,51.37,51.70
20160108,51.52,51.98,50.24,50.36
20160111,50.83,51.50,50.48,51.21
20160112,51.73,51.84,50.83,51.53
20160113,51.52,51.81,49.80,49.82
20160114,49.98,50.67,49.53,50.03
20160115,47.89,48.69,46.73,48.03
20160119,48.62,48.93,47.81,48.22
20160120,47.91,49.28,47.40,49.01
20160121,49.66,50.86,49.01,49.83
20160122,50.84,51.23,50.14,50.30
20160125,50.35,51.01,50.00,50.08
20160126,50.38,51.06,50.03,50.70
20160127,50.41,51.57,49.97,50.67
20160128,50.68,52.00,50.39,51.13
20160129,51.32,52.94,50.99,52.93
20160201,52.30,53.27,52.30,52.83
20160202,52.12,52.50,50.64,50.64
20160203,50.15,50.71,49.10,50.25
20160204,50.46,51.62,50.01,51.26
20160205,51.20,51.41,49.51,49.88
20160208,49.26,51.23,49.10,50.90
20160209,50.53,51.63,50.09,50.68
20160210,51.33,51.70,50.59,50.75
20160211,49.85,50.78,49.74,50.38
20160212,51.06,51.40,49.99,51.14
20160216,51.14,52.77,51.14,52.54
20160217,52.96,53.72,52.73,53.69
20160218,53.64,53.82,53.00,53.06
