Date,Open,High,Low,Close
20151127,92.52,92.71,89.32,89.68
20151130,87.58,87.65,85.78,86.22
20151201,86.79,87.69,86.11,87.18
20151202,87.00,88.56,86.41,86.92
20151203,87.01,87.50,83.11,84.15
20151204,84.50,87.47,84.00,87.31
20151207,87.00,87.44,85.78,86.58
20151208,86.03,87.99,85.71,87.23
20151209,86.48,88.27,85.32,86.31
20151210,86.26,86.76,85.48,85.67
20151211,84.86,84.92,82.12,82.56
20151211,84.86,84.92,82.12,82.56
20151215,83.83,83.84,81.37,81.52
20151216,81.90,83.20,81.03,83.11
20151217,83.62,83.80,81.23,81.27
20151218,81.70,82.72,80.84,80.87
20151221,81.31,82.00,80.41,80.97
20151222,81.05,81.35,77.78,80.37
20151223,82.91,83.00,80.89,81.99
20151224,81.71,81.91,79.91,81.20
20151228,81.10,81.92,80.11,81.22
20151229,81.68,82.75,81.39,82.25
20151230,82.19,82.45,80.64,80.96
20151231,80.89,81.72,80.47,80.61
20160104,79.67,80.12,78.45,79.66
20160105,81.23,81.50,79.55,80.15
20160106,78.75,80.86,78.63,79.87
20160107,78.61,80.63,77.53,78.00
20160108,78.35,78.48,74.78,75.00
20160111,70.87,72.41,67.43,69.96
20160112,71.05,72.19,69.32,72.15
20160113,71.87,73.90,71.69,71.87
20160114,71.75,71.85,67.85,69.87
20160115,67.76,69.41,67.25,68.63
20160119,69.05,69.56,66.43,67.11
20160120,65.80,68.30,63.23,67.34
20160121,67.60,70.34,67.00,69.06
20160122,69.84,70.81,69.12,70.79
20160125,70.75,70.80,67.79,68.16
20160126,67.11,68.40,66.09,67.36
20160127,67.00,70.26,66.93,68.58
20160128,79.49,84.78,78.11,84.07
20160129,83.88,86.29,82.01,85.43
20160201,84.80,85.58,83.31,85.13
20160202,84.92,85.95,80.92,82.00
20160203,82.17,82.79,78.33,80.90
20160204,80.09,80.68,78.63,80.54
20160205,80.48,80.89,74.44,77.33
20160205,80.48,80.89,74.44,77.33
20160209,71.45,75.30,70.84,72.35
20160210,73.01,76.05,71.80,74.48
20160211,73.07,73.98,71.19,72.58
20160212,73.86,76.36,72.84,76.29
20160216,77.99,81.22,77.68,79.94
20160217,80.95,83.63,80.24,82.97
20160218,83.16,83.45,80.72,81.03
20160219,80.50,81.87,79.04,80.64
20160219,80.50,81.87,79.04,80.64
20160223,81.07,81.98,79.83,80.50
20160224,79.85,82.60,79.19,82.15
20160225,82.41,83.70,81.87,83.06
20160226,83.20,84.93,82.50,83.81
20160229,84.20,84.44,83.14,83.69
20160301,84.14,85.79,83.85,84.93
20160302,84.83,84.97,83.07,83.93
20160303,82.40,83.47,80.57,83.09
20160304,83.35,84.64,82.25,84.00
20160307,83.56,84.49,82.38,83.20
20160308,82.44,82.92,81.19,81.30
20160309,81.59,81.68,78.90,80.30
20160310,81.15,82.19,80.04,81.03
20160311,81.56,82.78,80.37,82.45
20160314,82.39,82.40,81.40,81.81
20160315,81.69,81.80,80.37,81.02
20160316,80.88,81.18,79.86,81.00
20160317,81.14,83.99,80.97,83.14
20160318,83.54,85.30,83.42,84.28
20160318,83.54,85.30,83.42,84.28
20160322,85.36,85.36,83.54,84.45
20160323,41.41,41.41,41.21,41.21
20160324,40.58,40.58,40.58,40.58
20160328,40.58,40.58,40.58,40.58
20160329,40.58,40.58,40.58,40.58
20160330,41.19,41.70,41.18,41.70
20160331,41.70,41.70,41.43,41.43
20160401,40.80,40.80,40.80,40.80
20160404,40.80,40.80,40.80,40.80
20160405,40.21,41.73,40.21,40.80
20160406,41.06,41.70,40.77,41.51
20160407,41.79,41.83,41.27,41.27
20160408,41.32,44.04,41.03,43.71
20160411,43.33,43.37,40.68,41.17
20160412,40.96,41.37,39.95,41.36
20160413,41.04,42.38,41.04,41.51
20160414,41.69,42.56,41.61,41.93
20160415,41.53,41.75,40.90,41.70
20160418,41.10,42.24,41.10,42.12
20160419,42.25,43.05,41.95,42.70
20160420,42.56,43.26,42.45,42.46
20160421,46.02,46.20,43.68,45.41
20160422,45.16,45.85,43.78,44.74
20160425,44.57,44.58,43.80,43.95
20160426,43.90,44.57,43.54,43.64
20160427,43.88,43.90,41.46,41.86
20160428,41.81,42.79,41.55,41.60
20160429,41.42,41.60,40.19,40.51
20160502,40.28,40.53,39.60,39.99
20160503,39.14,40.19,39.14,39.84
20160504,38.58,38.63,36.78,37.13
20160505,37.14,37.90,36.82,37.23
20160506,36.74,37.09,36.01,36.12
20160509,36.05,36.46,35.71,36.05
20160510,36.33,37.02,36.14,36.29
20160511,35.75,35.86,34.56,34.98
20160512,35.32,35.41,34.56,34.94
20160513,34.72,34.98,34.24,34.47
20160516,34.34,34.66,34.21,34.30
20160517,34.21,34.50,33.85,34.23
20160518,34.09,34.16,33.46,33.98
20160519,33.54,34.75,33.54,34.60
20160520,34.64,35.40,34.49,35.33
20160523,35.28,35.75,34.51,34.58
20160524,34.76,35.84,34.74,35.33
20160525,35.66,35.75,35.10,35.23
20160526,35.26,35.26,34.66,34.67
20160527,34.72,34.96,34.59,34.81
20160531,34.99,35.15,34.41,34.72
20160601,34.72,34.72,32.40,33.48
20160602,33.43,34.08,33.42,33.98
20160603,33.54,34.08,33.54,33.92
20160606,33.93,34.33,33.88,34.16
20160607,34.56,35.03,33.97,34.95
20160608,35.42,36.29,35.03,36.18
20160609,35.97,36.06,35.59,35.89
20160610,35.50,36.15,35.45,35.54
20160613,35.62,35.74,34.62,34.68
20160614,34.69,34.75,34.00,34.40
20160615,34.45,35.47,34.45,34.77
20160616,34.22,34.27,33.16,33.48
20160617,33.72,34.25,33.60,34.14
20160620,34.71,35.17,34.65,34.77
20160621,34.91,35.48,34.75,34.92
20160622,34.95,35.01,34.26,34.32
20160623,34.55,34.78,34.40,34.67
20160624,32.85,33.91,32.85,33.50
20160627,32.96,33.08,31.31,31.90
20160628,32.25,33.97,32.12,33.90
20160629,34.60,36.11,34.58,35.91
20160630,35.91,36.42,35.22,36.40
20160701,36.26,36.98,36.26,36.84
20160705,36.50,36.62,35.12,35.51
20160706,35.35,36.27,35.26,36.26
20160707,36.20,36.88,36.14,36.88
20160708,36.82,37.10,36.37,36.78
20160711,36.87,36.96,36.39,36.57
20160712,36.62,38.07,36.62,37.87
20160713,37.61,38.00,36.93,37.22
20160714,37.38,37.66,36.86,37.02
20160715,37.13,37.40,36.98,37.23
20160718,37.22,37.50,37.15,37.20
20160719,36.91,37.32,36.81,36.95
20160720,37.17,37.27,36.70,36.79
20160721,36.54,37.44,36.54,37.27
20160722,37.02,37.67,36.80,37.48
20160725,37.40,38.78,36.92,38.78
20160726,38.43,39.42,36.51,37.50
20160727,37.50,37.52,35.43,35.93
20160728,35.73,36.05,35.18,35.75
20160729,35.39,35.89,35.14,35.70
20160801,35.66,36.13,35.36,35.50
20160802,35.36,35.41,34.14,34.39
20160803,33.70,35.45,33.66,35.27
20160804,35.10,35.64,34.98,35.14
20160805,35.30,36.40,35.30,36.17
20160808,36.22,36.87,35.69,35.93
20160809,35.75,36.26,35.47,35.57
20160810,35.89,36.39,35.38,35.43
20160811,35.71,37.38,35.71,37.02
20160812,36.95,37.50,36.73,37.10
20160815,37.20,38.47,37.14,38.04
20160816,38.33,38.78,38.15,38.65
20160817,38.50,38.61,37.72,37.92
20160818,37.75,38.25,37.73,37.95
20160819,38.12,39.08,37.97,38.76
20160822,38.69,42.94,38.37,38.80
20160823,38.80,39.45,38.76,39.28
20160824,39.15,39.50,38.66,38.88
20160825,38.90,39.14,38.03,38.26
20160826,38.41,38.53,37.76,38.00
20160829,38.02,38.46,37.70,37.90
20160830,37.74,37.82,37.14,37.36
20160831,36.85,36.95,35.56,35.65
20160901,35.54,35.81,35.23,35.70
20160902,35.75,35.75,34.51,34.58
20160906,34.69,35.09,34.43,34.76
20160907,34.86,35.71,34.65,35.58
20160908,35.23,35.78,34.89,35.05
20160909,34.69,34.99,34.01,34.01
20160912,33.86,34.86,33.76,34.80
20160913,34.34,34.63,33.54,33.89
20160914,33.79,34.37,33.56,33.79
20160915,33.56,33.97,33.36,33.86
20160916,33.84,34.38,33.53,34.21
20160919,34.30,34.42,33.75,33.83
20160920,33.90,34.03,33.40,33.46
20160921,33.61,34.44,33.40,34.30
20160922,34.49,34.76,34.33,34.70
20160923,34.76,34.94,34.26,34.28
20160926,34.00,34.05,33.45,33.58
20160927,33.45,34.01,33.16,33.97
20160928,34.05,34.63,33.86,34.37
20160929,34.23,34.68,33.67,33.68
20160930,33.99,34.16,33.64,33.86
20161003,33.63,34.14,33.48,34.05
20161004,33.91,34.29,33.49,33.70
