Date,Open,High,Low,Close
20151127,46.26,46.35,44.66,44.84
20151130,43.79,43.83,42.89,43.11
20151201,43.40,43.85,43.05,43.59
20151202,43.50,44.28,43.21,43.46
20151203,43.51,43.75,41.55,42.08
20151204,42.25,43.74,42.00,43.65
20151207,43.50,43.72,42.89,43.29
20151208,43.01,43.99,42.85,43.62
20151209,43.24,44.13,42.66,43.15
20151210,43.13,43.38,42.74,42.83
20151211,42.43,42.46,41.06,41.28
20151214,41.31,41.79,41.15,41.58
20151215,41.92,41.92,40.69,40.76
20151216,40.95,41.60,40.51,41.55
20151217,41.81,41.90,40.62,40.63
20151218,40.85,41.36,40.42,40.44
20151221,40.65,41.00,40.21,40.49
20151222,40.53,40.67,38.89,40.19
20151223,41.46,41.50,40.45,40.99
20151224,40.85,40.96,39.96,40.60
20151228,40.55,40.96,40.05,40.61
20151229,40.84,41.38,40.70,41.12
20151230,41.10,41.22,40.32,40.48
20151231,40.45,40.86,40.24,40.30
20160104,39.83,40.06,39.22,39.83
20160105,40.62,40.75,39.78,40.08
20160106,39.38,40.43,39.31,39.94
20160107,39.30,40.31,38.76,39.00
20160108,39.17,39.24,37.39,37.50
20160111,35.44,36.21,33.72,34.98
20160112,35.53,36.10,34.66,36.08
20160113,35.94,36.95,35.85,35.94
20160114,35.88,35.92,33.92,34.94
20160115,33.88,34.71,33.62,34.31
20160119,34.53,34.78,33.22,33.55
20160120,32.90,34.15,31.61,33.67
20160121,33.80,35.17,33.50,34.53
20160122,34.92,35.40,34.56,35.40
20160125,35.38,35.40,33.90,34.08
20160126,33.55,34.20,33.04,33.68
20160127,33.50,35.13,33.47,34.29
20160128,39.74,42.39,39.05,42.03
20160129,41.94,43.15,41.01,42.72
20160201,42.40,42.79,41.65,42.56
20160202,42.46,42.97,40.46,41.00
20160203,41.08,41.40,39.17,40.45
20160204,40.04,40.34,39.31,40.27
20160205,40.24,40.45,37.22,38.67
20160208,38.18,38.18,35.17,36.28
20160209,35.72,37.65,35.42,36.17
20160210,36.51,38.03,35.90,37.24
20160211,36.53,36.99,35.60,36.29
20160212,36.93,38.18,36.42,38.15
20160216,38.99,40.61,38.84,39.97
20160217,40.47,41.81,40.12,41.49
20160218,41.58,41.72,40.36,40.51
20160219,40.25,40.94,39.52,40.32
20160222,40.57,41.10,40.33,40.54
20160223,40.53,40.99,39.92,40.25
20160224,39.92,41.30,39.60,41.08
20160225,41.21,41.85,40.94,41.53
20160226,41.60,42.47,41.25,41.90
20160229,42.10,42.22,41.57,41.85
20160301,42.07,42.90,41.92,42.47
20160302,42.42,42.49,41.53,41.97
20160303,41.20,41.74,40.28,41.54
20160304,41.67,42.32,41.12,42.00
20160307,41.78,42.24,41.19,41.60
20160308,41.22,41.46,40.60,40.65
20160309,40.79,40.84,39.45,40.15
20160310,40.58,41.10,40.02,40.51
20160311,40.78,41.39,40.19,41.22
20160314,41.20,41.20,40.70,40.90
20160315,40.85,40.90,40.19,40.51
20160316,40.44,40.59,39.93,40.50
20160317,40.57,41.99,40.49,41.57
20160318,41.77,42.65,41.71,42.14
20160321,42.28,43.27,42.17,42.76
20160322,42.68,42.68,41.78,42.22
20160323,41.61,41.98,41.35,41.44
20160324,41.32,41.44,40.63,41.08
20160328,41.44,41.76,41.08,41.47
20160329,41.50,41.81,41.38,41.76
20160330,42.13,43.10,41.92,42.82
20160331,42.81,43.42,42.37,42.42
20160401,42.03,42.51,41.56,42.35
20160404,42.58,42.60,41.45,41.69
20160405,41.54,42.09,41.08,41.77
20160406,41.92,43.10,41.62,42.92
20160407,42.91,43.22,42.39,42.99
20160408,45.27,45.43,42.49,43.54
20160411,43.36,43.47,40.86,41.15
20160412,41.15,41.41,40.01,41.40
20160413,41.84,43.12,41.55,42.96
20160414,43.13,44.03,43.07,43.48
20160415,42.85,43.11,42.22,43.08
20160418,42.96,43.74,42.96,43.71
20160419,43.95,44.49,43.41,43.95
20160420,43.95,44.37,43.51,43.95
20160421,47.61,47.80,46.15,46.93
20160422,47.20,47.95,45.82,46.99
20160425,46.76,46.89,46.25,46.59
20160426,46.54,47.38,46.25,46.75
20160427,46.56,46.58,44.30,44.80
20160428,44.84,45.99,44.55,44.66
20160429,44.61,44.66,43.37,43.94
20160502,43.89,44.10,43.16,43.74
20160503,43.29,43.39,42.37,42.73
20160504,41.50,41.66,39.44,39.51
20160505,39.85,40.24,39.28,39.75
20160506,39.60,39.67,38.55,38.70
20160509,38.66,38.99,38.32,38.70
20160510,38.90,39.64,38.75,39.08
20160511,38.60,38.73,37.20,37.38
20160512,37.63,38.07,37.08,37.66
20160513,37.45,38.10,37.00,37.15
20160516,37.21,37.48,36.76,37.12
20160517,37.12,37.36,36.69,36.89
20160518,36.75,36.96,36.20,36.57
20160519,36.68,37.65,36.61,37.44
20160520,37.39,38.09,37.16,37.89
20160523,37.99,38.51,37.15,37.27
20160524,37.41,38.69,37.40,38.22
20160525,38.72,38.73,37.90,38.31
20160526,38.40,38.45,37.73,37.76
20160527,37.84,38.14,37.73,37.92
20160531,38.19,38.40,37.65,37.73
20160601,37.73,37.73,35.35,36.25
20160602,36.37,36.87,36.26,36.56
20160603,36.44,36.85,36.30,36.40
20160606,36.70,37.08,36.46,36.81
20160607,37.31,37.90,36.66,37.77
20160608,38.32,39.35,37.84,39.04
20160609,38.80,38.83,38.29,38.66
20160610,38.32,38.95,38.20,38.38
20160613,38.30,38.38,37.41,37.45
20160614,37.45,37.57,36.89,37.19
20160615,37.36,38.44,37.35,37.76
20160616,37.25,37.27,36.12,36.42
20160617,36.81,37.23,36.54,37.22
20160620,37.90,38.48,37.80,38.11
20160621,38.20,38.89,38.15,38.36
20160622,38.37,38.50,37.67,37.69
20160623,38.01,38.40,37.64,38.32
20160624,36.74,37.75,36.60,37.38
20160627,36.99,37.00,35.56,35.92
20160628,36.51,37.66,36.46,37.52
20160629,38.40,39.99,38.40,39.75
20160630,39.70,40.28,39.15,40.13
20160701,40.12,40.69,40.09,40.43
20160705,40.25,40.25,38.85,39.20
20160706,39.07,39.91,38.86,39.85
20160707,39.88,40.59,39.87,40.52
20160708,40.65,40.84,40.13,40.43
20160711,40.62,40.82,40.27,40.30
20160712,40.56,42.10,40.56,41.80
20160713,41.69,41.99,41.22,41.51
20160714,41.79,42.24,41.40,41.54
20160715,41.79,42.03,41.56,41.68
20160718,41.67,41.95,41.57,41.69
20160719,41.58,41.95,41.39,41.92
20160720,42.00,42.32,41.62,42.16
20160721,42.25,42.98,42.15,42.64
20160722,42.48,42.94,42.11,42.85
20160725,42.85,43.70,42.19,43.59
20160726,43.50,44.68,40.54,41.36
20160727,41.50,41.57,39.18,39.72
20160728,39.83,40.03,39.10,39.65
20160729,39.57,39.87,39.10,39.46
20160801,39.55,39.91,39.22,39.44
20160802,39.38,39.39,37.91,37.97
20160803,37.38,39.19,37.23,38.91
20160804,38.98,39.42,38.76,38.95
20160805,39.31,40.26,39.13,40.03
20160808,40.30,40.87,39.57,39.74
20160809,39.92,40.06,39.22,39.31
20160810,39.59,40.25,39.05,39.09
20160811,39.60,41.28,39.60,40.94
20160812,40.98,41.55,40.69,41.09
20160815,41.31,42.65,41.31,42.24
20160816,42.72,42.82,42.28,42.33
20160817,42.33,42.46,41.41,41.67
20160818,41.52,42.12,41.52,42.06
20160819,42.24,43.30,42.19,43.01
20160822,42.93,43.17,42.55,42.98
20160823,43.17,43.72,43.03,43.59
20160824,43.47,43.85,42.96,43.15
20160825,43.15,43.33,41.93,42.23
20160826,42.40,42.55,41.82,42.12
20160829,42.10,42.52,41.80,42.11
20160830,41.84,41.99,41.24,41.56
20160831,41.12,41.12,39.51,39.63
20160901,39.87,39.89,39.26,39.75
20160902,39.70,39.75,38.52,38.56
20160906,38.81,39.29,38.44,38.93
20160907,39.23,40.00,38.87,39.92
20160908,39.70,40.15,39.14,39.35
20160909,39.10,39.33,38.35,38.36
20160912,38.22,39.35,38.08,39.26
20160913,38.91,39.09,37.94,38.33
20160914,38.21,38.84,38.00,38.25
20160915,38.18,38.64,37.72,38.56
20160916,38.48,39.17,38.29,38.91
20160919,39.18,39.22,38.53,38.74
20160920,38.90,39.00,38.53,38.61
20160921,38.68,39.83,38.52,39.61
20160922,39.81,40.09,39.54,39.90
20160923,39.94,40.14,39.33,39.45
20160926,39.20,39.30,38.40,38.60
20160927,38.44,39.22,38.20,39.19
20160928,39.59,40.02,39.12,39.38
20160929,39.39,39.92,38.60,38.60
20160930,38.91,39.02,38.57,38.68
20161003,38.81,38.81,38.17,38.63
20161004,38.68,38.81,38.25,38.49
20161005,38.58,38.89,38.24,38.41
20161006,38.35,38.39,37.40,37.82
20161007,37.99,38.14,37.61,37.78
20161010,38.52,38.58,38.19,38.28
20161011,38.34,38.79,37.97,38.12
20161012,38.10,38.81,38.00,38.52
20161013,38.11,38.24,37.47,38.18
20161014,38.94,39.20,38.35,38.49
20161017,38.45,38.48,37.54,37.63
20161018,38.10,38.50,37.93,38.30
20161019,38.36,39.12,38.33,38.82
20161020,38.49,38.80,38.06,38.41
20161021,38.24,38.24,37.72,37.94
20161024,38.11,38.38,37.65,37.90
20161025,32.67,33.64,32.25,32.89
20161026,32.89,32.89,31.72,31.81
20161027,32.05,32.08,30.63,31.40
20161028,31.45,31.54,30.81,30.94
20161031,30.72,31.30,30.57,31.10
20161101,31.26,31.39,30.06,30.52
20161102,30.41,31.43,30.21,30.79
20161103,30.83,30.90,30.17,30.30
20161104,30.32,30.99,30.30,30.80
20161107,31.27,31.39,31.04,31.26
20161108,31.30,31.58,31.07,31.33
20161109,30.49,31.84,30.25,31.59
20161110,32.08,32.61,31.33,31.57
20161111,31.54,31.99,31.33,31.82
20161114,31.99,32.13,31.05,31.17
20161115,31.23,32.19,31.01,31.94
20161116,31.93,32.56,31.66,32.10
20161117,32.31,32.51,31.92,32.31
20161118,32.40,32.46,30.45,30.95
20161121,30.98,31.29,30.61,30.87
20161122,30.95,30.99,30.46,30.83
20161123,30.63,30.78,30.34,30.71
20161125,30.77,31.00,30.52,30.60
20161128,30.63,31.65,30.25,31.17
20161129,31.18,31.53,30.67,30.90
20161130,31.00,31.40,30.67,30.80
20161201,30.80,31.15,30.26,30.47
20161202,30.32,30.32,29.60,30.03
20161205,30.20,30.90,30.15,30.43
20161206,31.00,31.10,30.52,30.94
20161207,31.25,32.46,31.22,32.27
20161208,33.36,33.36,32.50,32.94
20161209,33.10,33.45,32.64,32.99
20161212,32.93,33.05,31.65,32.26
20161213,32.25,32.94,32.20,32.27
20161214,32.20,32.34,31.41,31.67
20161215,31.67,31.67,30.60,31.00
20161216,30.82,31.06,30.34,30.39
20161219,30.50,30.75,29.91,30.11
20161220,30.07,30.29,29.94,30.01
20161221,29.79,30.06,29.33,30.05
20161222,29.90,30.04,29.14,29.39
20161223,29.46,29.61,29.20,29.29
20161227,29.04,29.72,29.04,29.31
20161228,29.37,29.60,29.05,29.42
20161229,29.26,29.44,29.12,29.23
20161230,29.16,29.35,29.00,29.05
20170103,29.34,29.99,29.28,29.87
20170104,30.15,30.90,30.00,30.54
20170105,30.55,30.71,29.90,30.29
20170106,30.49,30.66,30.24,30.47
20170109,30.57,30.80,30.44,30.47
20170110,30.71,31.06,30.55,30.71
20170111,30.71,30.75,30.19,30.55
20170112,30.34,30.59,30.01,30.38
20170113,30.35,30.58,29.94,30.08
20170117,29.94,30.42,29.93,30.14
20170118,30.28,30.32,29.16,29.35
20170119,29.58,29.66,28.77,29.20
20170120,29.09,29.25,28.70,29.02
20170123,28.94,28.94,28.29,28.45
20170124,28.44,28.69,28.39,28.54
20170125,28.77,29.43,28.73,29.30
20170126,29.34,29.64,29.05,29.13
20170127,29.13,29.37,28.81,29.13
20170130,29.06,29.14,28.74,28.94
20170131,28.94,28.94,20.80,21.49
20170201,21.65,21.86,21.10,21.44
20170202,21.34,21.37,20.50,20.65
20170203,20.67,20.84,20.44,20.70
20170206,20.96,20.98,20.51,20.60
20170207,20.78,20.89,20.45,20.47
20170208,20.50,21.14,20.50,21.08
20170209,21.08,21.91,21.08,21.71
20170210,22.18,22.20,21.32,21.60
20170213,21.74,21.93,21.26,21.32
20170214,21.55,21.77,21.31,21.76
20170215,21.47,21.96,21.38,21.89
20170216,21.97,22.03,21.50,21.64
20170217,21.68,22.09,21.52,21.88
20170221,22.00,22.07,21.75,21.78
20170222,22.00,22.34,21.69,21.87
20170223,21.89,22.05,21.64,21.67
20170224,21.61,21.93,21.41,21.81
20170227,21.65,21.75,21.34,21.50
20170228,21.45,21.53,20.50,20.62
20170301,20.73,20.92,20.30,20.60
20170302,20.60,21.05,20.51,20.93
20170303,20.95,21.03,20.50,20.59
20170306,20.59,20.62,19.99,20.05
20170307,19.95,20.00,19.26,19.69
20170308,19.75,19.76,19.11,19.14
20170309,19.12,19.36,18.80,19.15
20170310,19.32,19.72,19.22,19.26
20170313,19.27,19.30,19.00,19.05
20170314,19.00,19.17,18.85,19.02
20170315,19.02,19.56,18.93,19.46
20170316,19.44,19.89,19.32,19.82
20170317,19.89,19.94,19.29,19.38
20170320,19.38,19.59,19.23,19.59
20170321,19.51,19.58,18.80,18.99
20170322,18.62,19.13,18.40,19.09
20170323,19.16,19.25,18.86,18.98
20170324,19.62,20.03,19.43,19.66
20170327,19.49,19.96,19.40,19.86
20170328,19.96,20.03,19.70,19.91
20170329,19.87,20.79,19.82,20.62
20170330,20.35,20.41,19.96,20.09
20170331,20.09,20.22,19.78,19.78
20170403,19.97,20.08,19.20,19.65
20170404,19.54,19.55,19.02,19.31
20170405,19.51,20.28,19.33,19.62
20170406,19.82,20.55,19.68,20.27
20170407,20.11,20.24,19.77,19.86
20170410,19.80,20.00,19.55,19.73
20170411,19.66,19.68,19.22,19.42
20170412,19.25,19.48,19.09,19.28
20170413,19.28,19.35,19.18,19.26
20170417,19.26,19.29,18.81,19.21
20170418,19.08,19.18,18.94,19.10
20170419,19.13,19.38,18.90,19.19
20170420,19.25,19.47,19.01,19.39
20170421,19.41,19.49,18.93,18.99
20170424,19.15,19.50,18.98,19.44
20170425,19.41,19.75,19.26,19.53
20170426,19.50,19.82,19.33,19.71
20170427,20.72,22.12,20.63,21.67
20170428,21.83,21.87,21.09,21.49
20170501,21.52,21.52,20.76,21.17
20170502,21.35,21.37,20.78,21.05
20170503,21.05,21.05,20.32,20.34
20170504,20.33,20.48,20.15,20.42
20170505,20.47,20.67,20.34,20.59
20170508,20.57,20.70,20.33,20.53
20170509,20.53,21.48,20.53,21.39
20170510,21.40,21.61,21.11,21.18
20170511,21.58,21.58,20.45,20.99
20170512,21.00,21.01,20.46,20.58
20170515,20.62,20.84,20.18,20.29
20170516,19.90,19.94,19.34,19.48
20170517,19.48,19.48,18.90,18.94
20170518,19.00,19.13,18.73,18.89
20170519,18.69,19.19,18.35,19.10
20170522,19.10,19.47,19.02,19.28
20170523,19.27,19.54,19.25,19.49
20170524,19.49,19.60,19.40,19.56
20170525,19.68,20.00,19.43,19.49
20170526,19.51,19.84,19.30,19.69
20170530,19.67,20.02,19.52,19.56
20170531,19.60,19.60,18.89,19.16
20170601,19.24,19.80,19.05,19.72
20170602,19.91,20.30,19.89,20.11
20170605,20.06,20.39,19.72,20.28
20170606,20.09,20.40,19.87,20.22
20170607,20.40,20.97,20.36,20.54
20170608,20.54,21.50,20.54,21.16
20170609,21.29,21.91,21.16,21.88
20170612,21.65,23.15,21.60,23.14
20170613,23.21,23.46,22.52,22.95
20170614,22.72,22.88,22.23,22.70
20170615,22.17,22.20,21.55,21.71
20170616,21.72,21.72,20.51,20.99
20170619,21.08,21.12,20.74,21.02
20170620,21.06,21.14,20.35,20.48
20170621,20.47,20.47,19.95,20.31
20170622,20.34,21.46,20.15,20.65
20170623,20.85,21.23,20.44,21.20
20170626,21.28,21.76,21.09,21.56
20170627,21.58,21.86,21.38,21.77
20170628,21.89,22.27,21.61,21.63
20170629,21.91,22.04,21.03,21.31
20170630,21.70,21.99,21.49,21.76
20170703,21.94,22.37,21.92,22.28
20170705,22.07,22.28,21.88,22.14
20170706,22.03,22.15,20.53,20.65
20170707,20.65,20.93,20.40,20.64
20170710,20.60,20.64,20.15,20.60
20170711,20.58,20.58,19.88,20.25
20170712,20.43,20.57,19.90,19.96
20170713,20.00,20.36,19.91,19.93
20170714,19.92,20.44,19.91,20.39
20170717,20.42,20.67,20.30,20.45
20170718,20.21,20.47,19.74,20.22
20170719,20.22,20.63,20.16,20.49
20170720,20.59,21.08,20.53,20.64
20170721,20.63,20.72,20.25,20.64
20170724,20.18,20.40,19.95,20.27
20170725,20.06,20.43,20.05,20.11
20170726,20.22,20.22,19.61,19.65
20170727,19.68,19.80,19.31,19.42
20170728,19.41,19.54,19.13,19.44
20170731,19.45,20.84,19.43,20.02
20170801,19.10,19.27,18.01,18.30
20170802,18.17,18.58,17.92,18.56
20170803,18.59,18.80,18.16,18.31
20170804,18.39,18.57,18.29,18.39
20170807,18.40,18.58,18.27,18.56
20170808,18.60,19.32,18.51,19.25
20170809,19.15,19.45,18.95,19.10
20170810,19.00,19.02,18.63,18.71
20170811,18.41,18.81,18.38,18.55
20170814,18.78,18.92,18.60,18.83
20170815,18.38,18.56,17.90,18.22
20170816,18.34,18.46,18.16,18.18
20170817,18.10,18.18,17.79,17.81
20170818,17.50,17.50,16.94,17.12
20170821,17.07,17.10,16.40,16.59
20170822,16.70,16.83,16.55,16.78
20170823,16.75,17.08,16.67,16.99
20170824,17.14,17.19,16.84,17.05
20170825,17.08,17.26,16.99,17.18
20170828,17.01,17.15,16.89,16.93
20170829,16.73,16.78,16.13,16.43
20170830,16.42,16.53,16.20,16.23
