Date,Open,High,Low,Close
20151127,37.03,37.89,36.61,37.72
20151130,37.81,37.96,36.81,36.91
20151201,37.07,37.39,36.99,37.31
20151202,37.32,37.36,36.56,36.64
20151203,36.61,36.81,35.94,36.04
20151204,36.11,36.96,36.11,36.73
20151207,36.74,36.90,36.32,36.42
20151208,36.41,36.67,36.23,36.31
20151209,36.12,36.43,35.76,35.90
20151210,35.97,36.10,35.16,35.70
20151211,35.57,36.02,35.48,35.91
20151214,35.84,36.61,35.62,36.50
20151215,36.70,36.94,36.58,36.61
20151216,36.78,37.33,36.55,37.28
20151217,37.02,37.20,36.05,36.57
20151218,36.51,36.61,36.23,36.36
20151221,36.62,36.79,36.19,36.48
20151222,36.64,36.98,36.45,36.51
20151223,36.60,36.96,36.54,36.95
20151224,36.91,37.02,36.64,36.93
20151228,36.86,37.42,36.74,37.42
20151229,37.59,38.05,37.58,37.89
20151230,37.90,38.07,37.72,37.76
20151231,37.82,37.99,36.92,37.57
20160104,37.52,37.57,36.66,36.97
20160105,36.97,37.63,36.95,37.44
20160106,37.09,37.47,36.92,37.17
20160107,36.25,36.75,36.25,36.47
20160108,36.67,36.75,35.91,35.99
20160111,36.10,36.75,36.06,36.40
20160112,36.44,36.53,35.75,36.02
20160113,36.09,36.55,35.84,35.99
20160114,36.06,36.29,35.44,35.44
20160115,34.63,35.86,34.63,35.78
20160119,35.84,36.25,35.55,35.85
20160120,35.59,36.31,34.19,34.86
20160121,34.98,35.27,34.50,34.77
20160122,35.22,35.85,34.96,35.71
20160125,35.74,36.08,35.27,35.41
20160126,35.47,36.55,35.44,36.55
20160127,36.51,36.51,35.25,35.56
20160128,35.68,35.91,34.91,35.04
20160129,35.36,35.68,34.75,35.59
20160201,35.34,36.61,35.21,36.15
20160202,36.28,36.45,35.34,35.48
20160203,35.86,36.82,35.60,36.36
20160204,36.16,37.19,35.82,36.77
20160205,36.77,36.82,34.96,35.02
20160208,34.93,35.81,33.56,33.90
20160209,33.59,34.19,33.35,33.42
