Date,Open,High,Low,Close
20151127,36.72,36.96,36.62,36.89
20151130,36.94,37.05,36.66,36.68
20151201,36.90,37.15,36.43,37.13
20151202,37.20,37.26,36.66,36.76
20151203,36.29,36.57,35.97,36.15
20151204,36.32,36.89,36.16,36.81
20151207,36.70,36.87,36.03,36.31
20151208,35.95,36.02,35.52,35.76
20151209,35.65,36.01,34.96,35.14
20151210,35.11,35.48,35.03,35.12
20151211,34.46,34.74,33.76,33.95
20151214,34.00,34.16,33.10,33.30
20151215,33.70,34.02,33.51,33.89
20151216,34.12,34.38,33.39,33.82
20151217,33.94,34.08,33.05,33.07
20151218,32.79,32.85,32.09,32.10
20151221,32.39,32.56,31.91,32.28
20151222,32.50,32.79,32.13,32.67
20151223,32.93,33.45,32.72,33.40
20151224,33.33,33.65,33.22,33.43
20151228,33.27,33.52,33.13,33.42
20151229,33.70,33.92,33.51,33.71
20151230,33.67,33.82,33.49,33.52
20151231,33.26,33.70,32.61,33.29
20160104,32.36,32.75,32.24,32.75
20160105,32.52,32.83,32.38,32.58
20160106,32.00,32.10,31.48,31.69
20160107,30.92,31.35,30.68,30.81
20160108,31.10,31.23,30.35,30.42
20160111,30.59,30.91,29.92,30.24
20160112,30.60,30.66,29.68,30.19
20160113,30.51,30.61,29.15,29.27
20160114,29.44,29.66,28.74,29.48
20160115,28.62,28.85,27.89,28.42
20160119,28.78,28.94,27.91,28.17
20160120,27.54,27.68,26.42,27.40
20160121,27.42,28.23,27.30,27.73
20160122,28.17,28.62,27.92,28.02
20160125,27.87,28.09,27.35,27.37
20160126,27.57,28.23,27.57,27.81
20160127,27.62,28.47,27.54,27.75
20160128,28.01,28.41,27.74,28.31
20160129,28.39,28.65,27.86,28.64
20160201,28.40,28.83,28.14,28.49
20160202,27.95,27.95,27.35,27.44
20160203,28.08,28.42,26.27,26.86
20160204,26.69,27.67,26.69,27.63
20160205,27.54,28.12,27.52,27.68
20160208,27.31,27.31,26.05,26.24
20160209,25.32,26.30,25.32,26.17
20160210,26.37,26.67,25.81,25.83
20160211,24.96,24.97,23.99,24.07
20160212,24.61,25.33,24.55,25.14
20160216,26.17,26.62,25.53,26.58
20160217,26.99,27.73,26.99,27.51
20160218,27.64,27.64,27.18,27.38
20160219,27.16,27.57,26.68,27.52
20160222,27.53,28.06,27.53,28.03
20160223,27.87,28.00,27.61,27.85
20160224,27.37,27.86,26.94,27.77
20160225,27.80,28.35,27.76,28.33
20160226,29.28,29.28,28.58,28.92
20160229,28.84,29.09,28.50,28.53
20160301,28.77,30.16,28.72,30.14
20160302,30.17,30.56,30.12,30.45
20160303,30.33,30.93,30.28,30.92
20160304,31.04,31.37,30.79,31.10
20160307,30.88,31.46,30.82,31.46
20160308,31.02,31.21,30.20,30.46
20160309,30.70,30.79,30.23,30.58
20160310,30.78,31.05,30.11,30.58
20160311,30.97,31.77,30.91,31.68
20160314,31.35,32.52,31.35,31.95
