Date,Open,High,Low,Close
20151127,84.65,84.96,84.46,84.50
20151130,84.84,84.95,83.94,83.95
20151201,83.95,85.00,83.12,84.40
20151202,84.19,84.37,81.68,82.08
20151203,82.14,82.30,78.76,79.20
20151204,77.37,78.63,77.03,78.31
20151207,78.15,78.62,76.70,77.29
20151208,76.34,76.69,74.78,75.60
20151209,75.03,77.80,74.94,77.54
20151210,77.54,78.62,77.31,77.45
20151211,77.45,77.95,76.38,77.28
20151214,77.50,77.97,76.42,76.88
20151215,77.57,77.74,76.12,76.41
20151216,77.10,79.02,76.84,78.91
20151217,78.72,79.49,77.30,77.33
20151218,76.82,76.83,75.28,75.43
20151221,75.99,76.43,75.02,75.49
20151222,76.06,77.59,75.87,77.06
20151223,77.84,79.13,77.57,78.77
20151224,78.79,79.10,78.50,78.80
20151228,78.49,78.73,77.94,78.34
20151229,78.60,79.05,78.11,78.97
20151230,78.66,78.78,78.16,78.51
20151231,77.73,79.15,77.57,78.20
20160104,76.87,79.04,76.13,78.97
20160105,79.01,79.34,77.30,78.21
20160106,76.75,77.19,74.24,74.83
20160107,73.39,74.19,72.42,73.08
20160108,73.56,74.38,73.20,73.86
20160111,74.36,75.05,73.63,74.81
20160112,75.51,76.46,74.38,76.27
20160113,76.20,76.84,73.21,73.85
20160114,73.86,76.60,73.70,75.42
20160115,72.84,74.27,72.63,74.11
20160119,74.99,75.16,73.27,74.10
20160120,72.68,74.15,71.57,73.61
20160121,69.50,71.73,67.06,71.00
20160122,71.34,72.35,68.43,69.99
20160125,69.66,69.77,68.66,68.79
20160126,69.34,70.47,69.11,70.04
20160127,70.00,70.97,68.72,69.06
20160128,69.85,70.31,68.72,70.16
20160129,70.50,72.03,70.17,72.00
20160201,70.90,73.56,70.35,73.09
20160202,73.26,73.36,71.17,71.71
20160203,71.99,72.39,70.54,72.26
20160204,72.02,76.42,72.02,75.52
20160205,75.21,76.01,74.20,75.03
20160208,74.48,76.56,73.46,76.03
20160209,75.10,77.85,75.00,77.12
20160210,78.02,78.62,76.34,76.94
20160211,75.73,76.31,73.59,75.54
20160212,77.33,78.34,76.25,77.20
20160216,78.00,80.27,76.90,79.37
20160217,78.72,80.50,78.47,79.96
20160218,79.76,80.13,78.18,78.66
20160219,78.52,80.00,78.00,79.90
20160222,79.90,82.26,79.90,81.61
20160223,80.50,81.05,78.79,78.95
20160224,78.02,80.29,77.07,80.09
20160225,79.50,80.35,78.53,79.32
20160226,80.09,81.26,79.79,80.00
20160229,79.81,79.98,78.75,78.86
20160301,79.70,80.92,79.14,80.12
20160302,80.24,80.83,79.25,79.50
20160303,79.86,80.55,79.08,80.01
20160304,80.22,81.45,79.99,80.50
20160307,80.03,81.57,79.75,81.45
20160308,80.64,81.06,78.15,78.25
20160309,78.90,80.20,78.67,80.14
20160310,80.59,80.68,78.56,79.38
20160311,80.18,81.38,79.91,81.26
20160314,80.70,81.47,80.15,80.35
20160315,79.62,80.15,78.63,80.15
20160316,80.14,80.79,79.37,80.31
20160317,80.71,83.27,79.61,83.08
20160318,83.45,85.30,83.27,84.42
20160321,84.39,84.98,83.47,83.98
20160322,83.05,83.27,81.71,82.06
20160323,82.13,82.35,81.39,81.52
20160324,80.78,81.27,80.04,80.92
20160328,80.75,80.92,78.47,78.81
20160329,78.41,79.99,77.80,79.80
20160330,80.40,81.45,80.17,80.56
20160331,80.29,80.71,78.54,79.55
20160401,78.82,79.42,78.03,78.92
20160404,78.72,80.02,78.17,78.34
20160405,77.55,78.98,77.29,78.62
20160406,78.35,78.53,77.37,78.35
20160407,77.96,78.67,77.42,78.00
20160408,78.66,80.58,78.32,79.17
20160411,79.14,80.51,78.58,78.69
20160412,78.33,80.26,78.19,79.64
20160413,80.67,82.15,80.17,81.72
20160414,82.18,83.03,81.29,82.32
20160415,82.19,82.42,81.02,81.21
20160418,79.98,82.04,78.62,80.88
20160419,81.98,83.02,81.34,82.24
20160420,82.73,84.61,82.20,83.85
20160421,86.60,88.65,85.20,87.32
20160422,88.00,89.91,87.81,89.63
20160425,89.09,89.30,86.89,87.61
20160426,87.26,88.84,87.11,88.76
20160427,88.79,89.80,88.67,89.17
20160428,88.56,89.76,88.27,88.51
20160429,87.86,89.23,86.73,87.23
20160502,87.99,88.50,86.65,88.12
20160503,87.17,87.34,85.68,86.77
20160504,85.93,87.02,85.33,85.64
20160505,86.13,86.56,85.09,85.19
20160506,84.56,86.27,84.50,85.73
20160509,85.66,85.66,84.14,84.63
20160510,85.28,86.74,84.86,86.10
20160511,86.10,86.40,84.48,84.49
20160512,84.85,85.29,83.68,83.84
20160513,83.53,83.84,81.79,82.00
20160516,82.09,82.95,81.88,82.02
20160517,82.02,83.48,81.54,82.19
20160518,82.17,83.47,81.70,82.48
20160519,81.55,81.82,80.68,81.44
20160520,81.96,82.56,81.74,82.41
20160523,82.25,82.61,81.45,81.49
20160524,82.06,82.13,80.87,81.29
20160525,81.84,83.22,81.55,82.91
20160526,82.58,83.31,82.24,82.34
20160527,82.37,83.08,81.79,82.97
20160531,83.11,84.52,82.61,84.19
20160601,83.63,84.19,82.91,84.11
20160602,83.68,84.63,83.61,84.61
20160603,85.55,86.65,84.61,86.38
20160606,86.42,87.14,85.93,86.85
20160607,86.68,88.08,86.68,87.57
20160608,87.83,90.14,87.80,89.04
20160609,88.53,89.53,88.04,89.39
20160610,88.20,88.90,88.10,88.78
20160613,88.49,89.61,88.22,88.71
20160614,88.51,89.26,87.57,87.98
20160615,88.36,88.67,87.45,87.54
20160616,86.84,87.31,85.50,87.09
20160617,87.00,87.80,86.87,87.58
20160620,88.36,89.25,87.98,88.09
20160621,86.79,88.09,86.00,87.65
20160622,87.76,88.04,87.32,87.49
20160623,88.79,89.00,87.93,88.54
20160624,85.45,86.37,84.14,85.25
20160627,84.42,84.46,81.96,82.49
20160628,83.27,84.86,83.00,84.80
20160629,85.75,86.76,85.63,86.28
20160630,86.74,87.39,84.80,87.25
20160701,87.25,88.19,87.12,87.34
20160705,86.85,87.49,86.77,87.16
20160706,86.59,87.52,86.01,87.44
20160707,87.99,88.47,87.58,88.03
20160708,88.94,91.29,88.47,90.69
20160711,90.71,91.63,90.69,91.39
20160712,91.78,92.72,91.43,92.06
20160713,92.55,94.79,92.04,94.14
20160714,94.92,96.00,94.43,94.70
20160715,94.97,95.34,93.71,93.98
20160718,93.98,94.36,93.08,94.12
20160719,93.46,94.05,92.88,93.95
20160720,92.73,94.32,92.49,94.12
20160721,91.00,92.30,90.72,90.93
20160722,90.87,93.02,90.29,92.85
20160725,92.71,92.76,91.86,92.28
20160726,92.38,93.01,91.83,93.01
20160727,92.73,92.95,90.94,91.63
20160728,91.44,93.41,91.07,93.08
20160729,92.55,93.31,92.26,93.05
20160801,92.92,93.65,92.41,93.06
20160802,92.39,92.59,90.68,91.30
20160803,91.54,93.19,91.40,92.87
20160804,92.37,93.09,91.94,92.67
20160805,93.17,94.65,92.62,93.85
20160808,93.88,94.95,93.67,93.86
20160809,93.75,94.18,93.00,93.07
20160810,93.41,93.45,92.22,92.44
20160811,92.72,93.45,92.61,92.96
