Date,Open,High,Low,Close
20151127,77.32,78.20,76.80,77.16
20151130,77.36,79.18,77.13,78.67
20151201,78.63,79.32,77.43,78.41
20151202,77.85,78.19,75.58,76.21
20151203,76.58,77.62,74.55,75.20
20151204,74.70,75.47,73.99,74.14
20151207,73.30,73.53,69.70,70.46
20151208,68.80,69.78,67.50,67.93
20151209,69.87,72.66,69.78,71.07
20151210,70.69,72.09,70.57,71.04
20151211,69.62,70.51,67.28,67.56
20151214,67.07,67.28,64.03,66.13
20151215,67.21,68.91,66.96,67.58
20151216,68.22,69.39,67.54,69.23
20151217,69.23,69.23,66.87,66.90
20151218,66.71,68.25,66.03,67.18
20151221,67.50,70.15,67.36,69.05
20151222,69.31,72.67,69.05,72.05
20151223,72.78,75.09,72.51,74.82
20151224,74.76,75.44,74.50,74.60
20151228,73.43,73.75,71.06,72.47
20151229,73.08,73.87,72.31,73.32
20151230,72.80,73.60,72.40,72.68
20151231,72.07,73.12,71.99,72.54
20160104,71.11,71.51,68.73,70.76
20160105,70.85,71.30,69.39,70.05
20160106,68.75,69.14,66.01,66.70
20160107,64.89,64.96,61.71,62.36
20160108,63.05,63.78,61.51,61.81
20160111,62.17,62.36,59.77,60.96
20160112,61.99,63.85,59.66,61.28
20160113,61.96,63.52,56.60,57.74
20160114,58.23,58.32,54.67,57.14
20160115,55.56,56.00,53.61,54.90
20160119,56.02,56.69,52.97,54.00
20160120,52.38,55.01,50.25,54.41
20160121,54.40,56.93,53.70,55.31
20160122,57.14,59.65,55.87,57.74
20160125,56.68,57.12,54.51,54.64
20160126,55.25,56.93,54.71,56.89
20160127,56.40,57.90,54.73,55.84
20160128,49.90,50.20,44.60,45.58
20160129,45.01,48.40,44.59,47.91
20160201,47.46,49.46,46.65,48.83
20160202,47.71,47.73,44.61,45.76
20160203,46.48,48.46,44.88,48.43
20160204,48.09,51.08,47.98,48.68
20160205,47.76,50.06,47.51,48.20
20160208,47.14,47.76,45.17,46.61
20160209,45.51,46.09,43.61,44.78
20160210,45.16,46.72,44.64,45.50
20160211,43.96,44.83,41.90,43.34
20160212,44.32,45.85,43.53,45.45
20160216,46.31,47.77,45.59,47.56
20160217,48.02,49.19,47.31,48.18
20160218,48.78,50.45,47.73,49.87
20160219,49.22,49.28,46.65,48.40
20160222,49.68,52.17,49.65,51.61
20160223,51.07,51.14,49.38,49.87
20160224,49.14,49.77,47.02,49.68
20160225,49.52,50.42,47.88,50.36
20160226,51.00,52.32,50.67,51.53
20160229,51.58,52.52,50.96,51.57
20160301,52.10,52.71,49.91,52.47
20160302,52.31,54.53,52.03,54.31
20160303,54.41,56.64,53.94,56.56
20160304,57.05,59.15,55.69,57.49
20160307,57.60,60.82,57.60,59.85
20160308,58.69,58.94,56.28,56.84
20160309,57.12,58.95,55.93,58.24
20160310,58.32,59.17,56.46,57.92
20160311,58.89,59.85,58.53,59.65
20160314,59.16,60.41,58.27,60.01
20160315,58.75,59.69,58.45,59.54
20160316,59.28,61.98,59.15,61.76
20160317,61.84,63.84,61.45,63.37
20160318,63.86,64.38,61.57,62.91
20160321,62.75,63.99,62.13,63.54
20160322,62.83,64.05,62.68,63.77
20160323,63.77,63.77,61.25,61.60
20160324,61.03,62.54,60.06,61.99
20160328,62.20,62.63,60.84,61.68
20160329,61.20,62.67,60.26,62.56
20160330,63.07,64.20,62.37,62.79
20160331,62.58,62.58,60.74,62.19
20160401,60.45,61.02,58.85,60.81
20160404,60.54,61.29,59.36,59.47
20160405,58.40,59.43,58.20,58.48
20160406,58.74,59.57,56.97,59.00
20160407,58.27,59.81,57.45,57.95
20160408,59.01,60.15,58.86,59.50
20160411,59.88,60.99,59.55,59.58
20160412,59.71,60.28,58.72,59.96
20160413,60.82,62.38,60.32,61.91
20160414,62.31,62.55,61.29,61.34
20160415,61.00,61.24,59.95,61.00
20160418,60.36,62.11,60.13,61.54
20160419,62.21,62.33,60.65,61.15
20160420,61.05,61.19,60.00,60.14
20160421,57.15,65.74,56.01,64.87
20160422,62.82,66.06,62.52,66.01
20160425,65.78,67.14,64.36,64.82
20160426,65.48,67.06,65.30,66.90
20160427,66.85,68.37,66.43,68.07
20160428,67.70,68.84,66.66,66.81
20160429,66.75,67.83,65.88,66.93
20160502,67.18,67.44,64.99,65.77
20160503,65.16,65.48,62.95,63.49
20160504,63.16,64.00,61.50,61.87
20160505,62.49,62.82,60.88,61.04
20160506,59.03,61.73,58.83,61.50
20160509,61.15,61.70,60.76,61.02
20160510,61.33,63.37,61.08,62.94
20160511,62.66,63.28,61.10,61.76
20160512,62.15,62.88,60.57,60.87
20160513,60.64,61.34,59.43,59.83
20160516,60.31,61.79,60.20,60.94
20160517,61.67,66.47,61.67,64.28
20160518,63.70,66.27,63.55,64.86
20160519,64.15,64.72,62.65,64.10
20160520,64.53,65.66,64.36,65.27
20160523,65.11,65.45,64.21,64.96
20160524,65.52,66.03,64.54,65.75
20160525,66.10,68.32,65.76,68.09
20160526,68.50,70.09,67.65,68.20
20160527,68.15,68.58,67.57,68.40
20160531,68.42,69.79,68.16,69.67
20160601,68.89,69.47,67.69,69.45
20160602,69.03,71.18,68.68,71.09
20160603,70.98,71.64,69.07,71.27
20160606,71.62,73.91,71.13,73.67
20160607,73.56,74.75,73.09,74.48
20160608,74.68,76.04,74.46,74.92
20160609,73.86,74.35,72.69,74.11
20160610,72.85,73.28,70.74,71.51
20160613,71.18,71.70,70.19,70.31
20160614,70.21,71.64,68.54,70.00
20160615,70.29,71.35,69.29,69.84
20160616,67.54,67.86,65.04,67.01
20160617,67.64,68.79,67.21,67.62
20160620,69.50,70.10,68.83,68.85
20160621,69.20,69.48,67.95,68.96
20160622,69.46,70.04,68.82,69.01
20160623,70.36,72.25,70.36,72.23
20160624,68.42,69.86,65.95,66.25
20160627,65.44,65.67,61.78,62.27
20160628,63.50,64.08,61.83,62.97
20160629,63.90,66.00,63.50,65.49
20160630,65.90,67.12,64.68,67.10
20160701,66.96,67.50,65.81,66.58
20160705,65.88,66.34,62.63,63.47
20160706,62.81,63.86,61.92,63.66
20160707,64.15,65.74,63.80,64.63
20160708,65.59,67.60,65.59,67.44
20160711,68.09,69.22,68.05,68.26
20160712,69.38,70.56,69.22,70.29
20160713,70.48,70.89,68.46,69.24
20160714,68.74,70.06,67.81,69.59
20160715,69.98,70.96,69.53,70.12
20160718,69.87,69.87,68.65,69.18
20160719,68.41,68.63,67.09,67.93
20160720,68.00,70.09,67.64,69.86
20160721,76.07,80.68,75.41,76.25
20160722,76.89,78.58,75.51,78.22
20160725,78.10,79.33,77.89,78.34
20160726,78.30,80.35,78.25,80.04
20160727,80.60,81.50,79.48,80.55
20160728,80.34,80.60,78.94,79.84
20160729,79.62,80.00,78.66,79.67
20160801,79.63,79.65,76.79,77.35
20160802,77.58,78.05,74.33,75.32
20160803,75.47,76.71,75.32,76.60
20160804,76.17,77.22,75.93,76.93
20160805,77.52,79.79,77.23,79.45
20160808,79.96,80.76,79.08,79.47
20160809,79.10,80.82,78.53,78.84
20160810,79.24,79.30,77.74,77.86
20160811,78.49,79.42,78.01,78.89
20160812,78.68,79.47,77.85,78.37
20160815,78.67,79.69,78.64,79.23
20160816,79.08,79.25,77.77,77.88
20160817,77.92,78.05,77.16,77.62
20160818,78.16,81.37,78.16,80.81
20160819,80.24,80.57,79.12,80.23
20160822,79.68,80.51,79.01,80.13
20160823,80.73,82.50,80.69,82.12
20160824,81.96,82.83,80.68,80.96
20160825,80.73,81.61,80.60,81.21
