Date,Open,High,Low,Close
20151127,70.70,71.04,70.19,70.85
20151130,71.03,71.13,70.64,70.84
20151201,71.13,71.64,70.35,71.57
20151202,71.62,71.90,71.13,71.25
20151203,71.30,71.61,69.63,69.83
20151204,69.97,70.59,69.49,70.35
20151207,70.15,70.75,69.79,70.64
20151208,70.15,70.18,69.28,69.74
20151209,69.17,70.16,68.96,69.11
20151210,69.04,69.36,68.69,68.93
20151211,68.22,68.38,67.73,68.10
20151214,68.20,68.92,67.91,68.31
20151215,68.86,69.14,68.63,68.94
20151216,69.44,69.94,68.42,69.83
20151217,69.93,69.93,68.63,68.79
20151218,68.49,69.88,68.23,69.19
20151221,69.52,69.75,69.01,69.63
20151222,69.88,70.51,69.60,70.32
20151223,70.63,71.03,70.18,70.84
20151224,70.78,71.41,70.78,71.13
20151228,70.77,71.25,70.50,71.11
20151229,71.59,72.05,71.37,71.75
20151230,71.77,72.00,71.09,71.34
20151231,70.96,71.45,70.85,70.85
20160104,69.92,70.37,68.47,68.97
20160105,68.99,69.32,68.62,69.13
20160106,68.43,68.92,68.08,68.78
20160107,67.69,68.12,66.88,67.35
20160108,67.50,67.92,66.89,67.13
20160111,67.28,67.63,66.15,66.75
20160112,67.34,68.21,66.38,66.96
20160113,67.30,67.88,65.73,66.04
20160114,66.18,67.12,65.34,66.70
20160115,65.49,66.95,65.31,66.71
20160119,67.48,67.95,66.00,66.59
20160120,65.66,66.41,64.31,65.99
20160121,66.34,66.38,65.03,65.60
20160122,66.28,67.02,65.69,66.93
20160125,66.60,67.17,66.14,66.25
20160126,66.45,67.91,66.22,67.57
20160127,67.57,69.53,67.57,68.14
20160128,66.21,66.66,65.38,65.88
20160129,65.41,67.68,65.41,67.64
20160201,67.09,68.05,66.64,67.70
20160202,66.99,67.46,66.29,66.59
20160203,67.23,67.31,65.27,66.20
20160204,66.12,67.13,65.85,66.56
20160205,66.46,66.71,65.22,65.50
20160208,65.08,65.20,64.28,64.91
20160209,64.22,66.00,64.17,65.65
20160210,65.81,68.87,65.81,67.64
20160211,66.50,67.42,65.38,65.93
20160212,66.34,66.92,65.79,66.52
20160216,67.26,68.82,67.11,68.42
20160217,68.71,69.25,68.32,69.20
20160218,69.02,69.59,68.55,68.60
20160219,68.58,68.97,67.93,68.21
20160222,68.65,69.27,68.44,69.05
20160223,68.67,69.14,67.66,67.88
20160224,67.55,68.12,66.76,68.04
20160225,68.32,69.34,67.99,69.32
20160226,69.50,69.65,68.85,69.24
20160229,69.10,69.71,68.59,68.59
20160301,68.89,69.90,68.52,69.81
20160302,69.33,69.60,68.75,69.20
20160303,69.06,69.41,68.54,69.34
20160304,69.32,69.96,69.17,69.46
20160307,69.13,70.15,68.72,69.89
20160308,69.36,69.92,69.09,69.69
20160309,69.87,69.87,68.28,68.42
20160310,68.48,68.97,67.57,68.15
20160311,68.49,69.70,68.10,69.50
20160314,69.20,69.76,68.96,69.30
20160315,68.77,68.91,68.04,68.14
20160316,68.03,68.57,67.61,67.89
20160317,67.85,68.14,66.57,67.28
20160318,67.63,69.47,67.26,69.25
20160321,69.01,69.51,68.79,69.06
20160322,68.80,69.77,68.76,69.64
20160323,69.64,69.64,68.91,69.00
20160324,68.42,68.54,67.67,68.16
20160328,68.42,68.51,67.99,68.35
20160329,68.37,69.78,68.35,69.74
20160330,70.20,70.31,69.75,69.98
20160331,69.90,70.50,69.84,70.17
20160401,69.92,71.31,69.56,71.16
20160404,71.47,72.45,71.24,71.95
20160405,71.33,71.60,70.60,70.70
20160406,70.66,71.82,70.56,71.81
20160407,71.30,71.43,70.17,70.51
20160408,70.73,70.82,69.98,70.26
20160411,70.49,70.86,70.33,70.36
20160412,70.45,71.40,70.07,71.21
20160413,71.63,72.75,71.60,72.60
20160414,72.48,73.48,72.41,73.22
20160415,73.36,73.65,73.09,73.60
20160418,73.64,74.65,72.79,74.55
20160419,74.71,75.11,74.32,74.64
20160420,74.69,75.39,73.90,75.09
20160421,74.94,75.50,74.16,74.55
20160422,74.54,75.16,74.12,74.69
20160425,74.50,74.92,74.01,74.19
20160426,74.39,74.66,73.54,73.89
20160427,74.11,74.76,73.66,74.41
20160428,72.73,74.99,71.97,72.28
20160429,71.90,71.93,70.65,71.19
20160502,71.37,71.96,71.14,71.96
20160503,71.69,72.16,71.62,71.84
20160504,71.69,71.77,71.09,71.20
20160505,71.25,71.60,71.06,71.27
20160506,70.89,71.49,70.60,71.44
20160509,71.43,72.27,71.26,72.00
20160510,72.19,72.30,71.47,72.13
20160511,71.87,72.58,71.78,71.88
20160512,72.05,72.32,71.63,72.13
20160513,71.89,72.41,71.75,72.00
20160516,71.94,73.66,71.94,73.62
20160517,73.58,74.13,72.91,73.29
20160518,72.95,74.22,72.76,73.27
20160519,72.80,73.06,72.25,72.70
20160520,73.11,73.90,72.50,73.45
20160523,73.42,73.64,72.79,72.84
20160524,73.05,73.58,72.35,73.11
20160525,73.20,73.29,72.29,72.43
20160526,72.34,72.51,71.73,71.82
20160527,71.86,72.06,71.66,71.95
20160531,71.95,72.71,71.69,72.60
20160601,72.57,72.57,72.01,72.48
20160602,72.36,73.34,72.36,73.34
20160603,73.11,73.32,72.76,73.10
20160606,73.00,73.97,72.99,73.77
20160607,73.14,74.33,73.14,74.12
20160608,74.02,75.05,73.99,74.99
20160609,74.97,75.62,74.35,75.04
20160610,74.60,74.89,73.91,74.80
20160613,74.40,74.83,73.42,73.48
20160614,73.24,73.28,72.76,73.17
20160615,73.41,73.60,72.40,72.44
20160616,72.21,72.26,71.14,71.74
20160617,71.56,71.93,70.78,71.05
20160620,71.56,72.11,71.54,71.63
20160621,72.01,72.38,71.91,72.12
20160622,72.28,73.88,72.28,72.85
20160623,73.57,73.93,73.36,73.93
20160624,72.20,72.91,70.20,70.25
20160627,69.64,69.75,68.08,68.43
20160628,68.79,69.54,68.78,69.46
20160629,69.97,70.79,69.74,70.69
20160630,70.79,72.11,70.58,72.11
20160701,72.20,72.68,71.92,72.43
20160705,72.26,72.48,71.56,71.73
20160706,70.79,72.73,70.79,72.55
20160707,72.55,73.54,72.55,73.50
20160708,73.84,74.62,73.71,74.53
20160711,74.82,75.34,74.61,75.24
20160712,75.41,76.22,75.22,75.64
20160713,76.09,76.16,75.59,75.76
20160714,76.25,76.26,75.70,75.90
20160715,76.24,76.55,75.72,75.77
20160718,75.68,76.28,75.36,75.83
20160719,75.54,75.87,75.41,75.76
20160720,76.10,76.76,75.93,76.39
20160721,76.20,76.50,75.71,76.05
20160722,76.16,76.49,75.45,76.33
20160725,76.33,76.33,75.69,75.97
20160726,75.99,76.95,75.83,76.92
20160727,76.92,77.97,76.44,77.61
20160728,79.25,82.72,79.01,82.45
20160729,82.51,83.36,81.89,83.08
20160801,82.81,83.64,82.81,83.17
20160802,83.17,83.29,82.56,82.83
20160803,82.83,83.18,82.52,83.00
20160804,82.98,83.49,82.95,83.15
20160805,83.38,83.59,83.14,83.52
20160808,83.52,83.72,83.08,83.31
20160809,83.36,83.67,83.02,83.18
20160810,83.24,83.52,82.86,83.49
20160811,83.60,83.74,83.35,83.43
20160812,83.27,83.27,82.60,83.24
20160815,83.52,83.53,82.89,83.16
20160816,82.99,83.20,82.11,82.11
20160817,82.21,82.46,81.58,82.17
20160818,82.06,82.38,81.92,82.38
20160819,82.03,82.94,81.87,82.91
20160822,82.69,83.61,82.66,83.50
20160823,83.79,83.83,83.37,83.37
20160824,83.31,84.12,82.64,82.83
20160825,82.71,83.59,82.31,82.99
20160826,83.23,83.67,82.79,83.63
20160829,83.67,84.45,83.67,84.45
20160830,84.25,84.78,84.10,84.52
20160831,84.49,84.63,83.78,84.30
20160901,84.50,84.58,83.55,84.09
20160902,84.12,84.77,83.42,84.54
20160906,84.73,85.02,84.09,84.61
20160907,84.47,85.45,84.24,85.30
20160908,85.19,85.48,84.98,85.06
20160909,84.37,84.44,82.10,82.10
20160912,81.60,83.94,81.55,83.71
20160913,83.32,83.66,82.80,83.02
20160914,82.95,83.45,82.47,82.94
20160915,82.95,84.52,82.82,84.31
20160916,84.25,84.50,83.74,84.07
20160919,84.12,84.98,83.68,84.23
20160920,84.82,84.99,83.88,84.19
