Date,Open,High,Low,Close
20151127,62.53,62.81,60.91,61.52
20151130,61.00,61.16,60.08,60.92
20151201,61.00,61.83,60.69,61.77
20151202,61.69,62.43,61.37,61.65
20151203,61.12,61.39,59.74,60.09
20151204,60.35,61.61,59.68,60.64
20151207,60.24,60.87,59.79,60.80
20151208,60.08,61.04,59.82,60.70
20151209,60.22,60.61,58.45,59.09
20151210,58.95,59.86,58.79,59.27
20151211,58.35,58.53,57.81,58.20
20151214,58.22,59.01,58.16,58.79
20151215,59.45,59.52,58.60,59.06
20151216,59.24,59.92,58.94,59.88
20151217,60.02,60.02,58.60,58.81
20151218,58.55,59.07,58.36,58.39
20151221,58.79,58.95,58.32,58.71
20151222,59.04,59.11,58.10,58.24
20151223,58.42,58.85,58.15,58.83
20151224,58.73,58.80,58.39,58.64
20151228,58.41,58.71,58.17,58.59
20151229,58.97,59.47,58.78,59.44
20151230,59.34,59.50,58.94,59.00
20151231,58.92,59.13,58.60,58.62
20160104,57.15,57.56,56.74,57.32
20160105,57.49,57.88,57.12,57.65
20160106,56.82,57.55,56.37,56.68
20160107,55.89,57.63,55.72,55.98
20160108,56.25,56.56,54.68,54.82
20160111,53.84,54.49,52.58,53.15
20160112,54.13,55.13,53.65,54.35
20160113,54.76,55.06,53.18,53.32
20160114,53.25,53.41,51.52,52.31
20160115,51.07,52.19,50.73,51.77
20160119,52.14,52.55,50.22,50.85
20160120,49.91,51.83,49.16,51.79
20160121,52.19,54.20,51.87,53.67
20160122,54.38,54.79,53.69,54.70
20160125,54.61,54.91,54.14,54.47
20160126,54.81,55.76,54.61,55.32
20160127,55.13,56.19,54.75,55.32
20160128,56.12,56.65,55.76,56.56
20160129,56.93,59.09,56.81,58.95
20160201,58.22,59.86,58.17,59.61
20160202,60.36,60.76,58.29,58.71
20160203,59.38,59.71,57.88,59.61
20160204,57.82,58.49,56.14,57.82
20160205,57.18,57.24,55.26,55.58
20160208,54.69,54.72,52.80,53.67
20160209,52.91,53.80,52.85,53.35
20160210,53.75,54.57,53.35,53.63
20160211,52.82,53.81,52.77,53.49
20160212,54.19,55.42,53.85,55.36
20160216,55.37,56.64,54.67,56.12
20160217,56.21,57.66,56.15,57.64
20160218,57.26,58.21,57.01,57.67
20160219,54.60,56.03,51.88,55.13
20160222,55.56,58.31,55.37,57.90
20160223,57.77,58.33,57.08,57.85
20160224,57.24,59.79,57.22,59.54
20160225,59.72,60.96,59.46,60.90
20160226,60.93,61.68,60.76,61.11
20160229,60.99,62.00,60.98,61.31
20160301,61.66,62.97,61.49,62.85
20160302,62.62,63.18,61.85,62.41
20160303,62.49,62.93,61.92,62.46
20160304,62.02,62.50,61.10,61.58
20160307,61.23,62.34,60.97,62.02
20160308,61.41,61.88,61.05,61.19
20160309,61.65,61.65,60.58,61.05
20160310,61.37,61.70,60.46,61.44
20160311,62.02,62.82,61.88,62.48
20160314,62.17,62.48,61.91,61.94
20160315,61.70,62.14,61.29,61.87
20160316,61.82,61.97,61.15,61.59
20160317,61.38,62.62,61.07,62.52
20160318,62.60,63.00,62.37,62.62
20160321,62.61,62.97,62.43,62.62
20160322,62.00,62.27,61.03,61.52
20160323,61.21,61.23,60.26,60.66
20160324,60.67,60.70,60.02,60.33
20160328,60.44,60.84,60.22,60.62
20160329,60.72,61.23,60.53,61.14
20160330,61.47,61.72,61.08,61.43
20160331,61.48,61.98,60.80,60.98
20160401,60.83,61.57,60.40,61.43
20160404,61.50,61.59,60.23,60.34
20160405,60.20,60.44,59.49,59.70
20160406,59.74,60.48,59.32,60.41
20160407,59.72,60.33,59.68,60.27
20160408,60.56,60.59,58.64,58.96
20160411,59.08,59.35,58.31,58.31
20160412,58.34,59.06,57.72,58.92
20160413,59.28,60.10,59.01,60.08
20160414,60.25,60.46,59.71,59.95
20160415,59.97,60.43,59.70,60.35
20160418,60.30,60.84,60.09,60.78
20160419,61.05,61.32,60.30,60.64
20160420,60.74,61.52,60.61,60.86
20160421,61.60,61.68,60.09,60.23
20160422,60.51,60.92,59.95,60.33
20160425,59.56,59.88,59.10,59.68
20160426,59.56,60.50,59.56,60.33
20160427,60.40,60.44,59.85,60.22
20160428,60.05,60.12,58.84,59.00
20160429,60.16,60.21,57.95,59.37
20160502,58.84,60.90,58.38,60.88
20160503,60.98,62.44,60.81,61.12
20160504,60.89,61.06,60.10,60.65
20160505,60.40,60.53,59.90,60.11
20160506,60.06,60.25,59.48,60.20
20160509,60.09,60.96,59.92,60.82
20160510,60.91,61.69,60.84,61.15
20160511,59.93,60.11,57.13,57.13
20160512,57.53,57.62,56.51,57.29
20160513,57.09,57.40,56.02,56.43
20160516,56.67,57.44,56.28,57.17
20160517,57.10,57.53,56.62,56.88
20160518,56.68,57.00,56.10,56.66
20160519,56.79,57.55,56.15,56.76
20160520,56.88,57.93,56.65,57.85
20160523,57.94,58.37,57.68,57.77
20160524,57.99,58.59,57.87,58.46
20160525,58.19,58.78,57.86,58.52
20160526,58.71,58.78,58.31,58.45
20160527,58.57,58.95,58.32,58.76
20160531,58.76,58.95,58.19,58.68
20160601,58.37,58.79,58.22,58.56
