Date,Open,High,Low,Close
20191205,41.00,41.24,40.16,40.86
20191206,41.27,41.32,39.35,39.72
20191209,40.24,40.31,38.60,38.64
20191210,38.57,40.11,37.56,37.62
20191211,37.65,38.28,37.00,37.29
20191212,37.26,38.24,36.91,37.78
20191213,38.19,38.74,37.75,38.64
20191216,39.07,40.01,38.84,39.75
20191217,40.00,40.78,39.54,40.28
20191218,40.76,41.59,40.70,41.15
20191219,41.69,42.50,41.61,41.95
20191220,43.04,43.04,41.82,42.39
20191223,42.74,42.96,42.02,42.19
20191224,42.18,42.71,41.75,42.02
20191226,42.21,42.68,41.96,42.66
20191227,42.55,42.82,41.62,41.76
20191230,41.78,42.01,41.39,41.48
20191231,41.47,42.09,41.22,41.97
20200102,42.21,42.35,41.76,42.09
20200103,41.73,41.76,41.07,41.45
20200106,41.49,42.07,41.42,42.06
20200107,41.88,42.18,41.57,42.13
20200108,42.20,42.37,41.43,41.87
20200109,42.23,42.24,40.57,40.81
20200110,40.90,41.00,40.13,40.31
20200113,40.40,41.05,40.06,40.80
20200114,40.60,40.83,40.24,40.33
20200115,40.22,40.43,39.58,39.69
20200116,39.88,40.11,39.45,40.04
20200117,40.01,40.11,39.32,39.49
20200121,39.50,39.62,38.66,38.73
20200122,39.00,39.06,38.32,38.45
20200123,38.20,38.27,36.96,36.99
20200124,37.00,37.07,35.40,35.79
20200127,35.37,35.63,34.79,35.13
20200128,35.40,35.76,35.16,35.36
20200129,35.25,35.61,34.61,34.69
20200130,34.29,34.56,33.49,34.19
20200131,34.16,34.69,33.58,34.13
20200203,33.73,33.87,32.60,33.08
20200204,33.50,33.85,33.04,33.57
20200205,33.86,34.68,33.81,34.34
20200206,34.64,34.73,34.22,34.60
20200207,35.15,35.26,34.40,34.71
20200210,34.50,34.62,33.96,34.21
20200211,34.50,35.07,33.97,34.97
20200212,35.16,35.58,34.90,35.29
20200213,35.01,35.49,34.82,34.98
20200214,35.22,35.28,34.37,34.98
20200218,35.02,35.70,34.97,35.10
20200219,35.21,35.97,35.03,35.67
20200220,32.24,32.30,29.08,29.29
20200221,28.93,29.35,28.17,28.26
20200224,27.50,27.51,26.35,26.93
20200225,27.12,27.38,25.15,25.36
20200226,25.67,26.10,24.41,24.44
20200227,23.96,25.11,23.07,23.89
20200228,23.73,25.32,23.39,24.61
20200302,24.75,24.80,23.27,24.31
20200303,24.22,24.54,22.71,23.08
20200304,23.43,23.49,22.50,23.10
20200305,22.85,22.86,21.25,21.48
20200306,20.99,22.09,20.62,21.57
20200309,20.00,20.20,19.12,19.17
20200310,20.05,20.57,19.15,20.53
20200311,19.81,20.29,19.28,19.80
20200312,18.18,18.30,16.11,16.14
20200313,17.34,17.93,15.59,16.40
20200316,15.50,15.73,13.60,13.61
20200317,14.45,14.45,12.21,12.74
20200318,12.05,12.26,10.10,12.21
20200319,12.15,13.22,11.30,12.62
20200320,12.85,13.31,11.77,11.97
20200323,11.90,11.99,10.81,11.28
20200324,12.00,14.83,11.85,14.75
20200325,15.17,16.19,14.18,14.74
20200326,14.85,14.85,13.27,13.99
20200327,13.58,13.58,12.27,12.79
20200330,12.97,14.21,12.27,14.09
20200331,14.07,14.89,13.86,14.01
20200401,13.41,13.56,12.69,12.78
20200402,12.75,13.94,12.52,12.76
20200403,12.69,13.12,11.92,12.43
20200406,13.12,14.17,12.94,13.94
20200407,14.74,16.67,14.62,14.69
20200408,15.13,16.16,14.82,15.80
20200409,16.72,17.14,16.09,16.56
20200413,16.75,16.86,15.64,16.06
20200414,16.41,16.63,15.37,16.27
20200415,15.57,15.75,15.00,15.20
20200416,15.15,15.16,14.39,14.63
20200417,15.34,15.84,15.20,15.80
20200420,15.11,16.01,14.85,15.52
20200421,15.16,15.50,14.86,15.15
20200422,15.53,15.69,14.89,14.93
20200423,14.95,15.89,14.66,15.52
20200424,15.56,15.88,15.17,15.63
20200427,15.72,17.09,15.72,16.98
20200428,17.55,18.05,16.99,17.45
20200429,18.05,19.50,18.01,18.99
20200430,18.20,18.46,17.09,17.26
20200501,16.79,16.81,15.90,16.46
20200504,16.23,16.63,15.69,16.10
20200505,16.28,16.35,15.20,15.26
20200506,15.41,15.68,14.79,14.88
20200507,16.79,17.52,16.22,16.42
20200508,16.82,18.22,16.60,18.08
20200511,18.44,18.48,17.37,18.04
20200512,18.15,18.59,17.73,18.25
20200513,18.07,18.10,16.32,16.85
20200514,16.41,17.20,16.05,17.16
20200515,16.73,17.34,16.58,17.30
20200518,18.36,19.30,18.21,19.05
20200519,19.17,20.28,18.66,19.64
20200520,20.37,20.68,19.48,19.63
20200521,19.50,20.19,19.40,19.84
20200522,19.91,20.06,19.10,19.59
20200526,20.35,20.56,19.80,20.37
20200527,21.15,22.38,20.94,22.01
20200528,21.96,22.09,21.12,21.20
20200529,20.74,21.05,20.32,20.74
20200601,20.65,21.82,20.57,21.53
20200602,21.74,21.88,21.36,21.84
20200603,22.27,23.06,22.14,22.72
20200604,22.67,24.37,22.45,24.12
20200604,22.67,24.37,22.45,24.12
20200604,22.67,24.37,22.45,24.12
20200604,22.67,24.37,22.45,24.12
20200604,22.67,24.37,22.45,24.12
20200604,22.67,24.37,22.45,24.12
20200604,22.67,24.37,22.45,24.12
20200604,22.67,24.37,22.45,24.12
20200604,22.67,24.37,22.45,24.12
20200604,22.67,24.37,22.45,24.12
20200604,22.67,24.37,22.45,24.12
20200604,22.67,24.37,22.45,24.12
20200604,22.67,24.37,22.45,24.12
20200623,23.83,24.15,23.52,23.71
20200624,23.16,23.74,22.11,23.58
20200625,22.97,23.17,22.26,22.97
20200626,22.77,23.09,22.02,22.32
20200629,22.39,23.39,21.88,23.05
20200630,23.24,23.45,22.53,23.32
20200701,23.33,24.12,23.09,23.60
20200702,24.00,24.18,23.11,23.25
20200706,23.79,23.94,23.28,23.69
20200707,23.50,23.51,22.68,22.95
20200708,22.79,22.99,22.21,22.92
20200709,22.90,22.91,21.67,22.10
20200710,22.02,22.95,21.83,22.93
20200713,23.32,24.09,22.54,23.71
20200714,23.51,24.33,23.16,24.25
20200715,24.72,25.34,24.33,24.95
20200716,24.58,25.60,24.39,25.50
20200717,25.46,25.60,24.73,25.19
20200720,25.28,25.29,24.24,24.47
20200721,24.49,25.08,24.41,24.52
20200722,24.33,24.96,24.12,24.86
20200723,24.82,25.27,24.64,25.13
20200724,24.98,25.48,24.44,24.75
20200727,24.67,24.88,24.11,24.83
20200728,24.47,24.96,24.34,24.52
20200729,24.65,25.46,24.27,25.29
20200730,24.64,26.05,24.44,25.81
20200731,25.68,26.18,25.34,26.07
20200803,26.07,26.13,25.34,25.71
20200804,25.84,26.69,25.61,26.55
20200805,26.75,26.77,25.96,26.00
20200806,26.60,27.57,25.91,26.89
20200807,26.60,26.88,25.66,26.21
20200810,26.15,26.78,25.87,26.31
20200811,26.77,27.80,26.16,26.51
20200812,27.21,27.31,25.90,26.24
20200813,25.92,26.97,25.61,26.69
20200814,26.67,28.24,26.55,27.46
20200817,27.50,27.63,26.63,27.23
20200818,27.21,28.10,26.50,26.97
20200819,27.13,27.41,26.71,27.32
20200820,27.00,27.00,26.34,26.69
20200821,26.70,26.89,26.29,26.51
20200824,26.55,27.67,26.45,27.64
20200825,27.78,28.00,27.18,27.57
20200826,27.49,27.99,27.17,27.89
20200827,28.24,28.81,27.76,28.27
20200828,28.49,28.49,27.92,27.99
20200831,27.82,28.25,27.68,27.85
20200901,27.64,27.90,27.19,27.70
20200902,27.63,28.42,27.40,28.31
20200903,28.39,29.02,27.88,28.25
20200904,28.45,28.86,27.98,28.75
20200908,28.47,29.10,28.23,28.71
20200909,28.81,29.04,28.19,28.71
20200910,28.82,29.60,28.74,29.30
20200911,29.36,29.81,29.04,29.28
20200914,29.37,30.04,29.20,29.73
20200915,30.08,30.84,29.87,30.13
20200916,30.38,31.40,29.93,30.68
20200917,30.26,30.81,29.90,30.26
20200918,30.11,30.48,29.90,30.16
20200921,29.51,29.72,28.77,28.99
20200922,29.23,29.83,28.97,29.41
20200923,29.72,30.01,28.64,28.82
20200924,28.57,29.50,28.11,29.15
20200925,28.86,29.59,28.84,29.53
20200928,29.99,30.19,29.57,29.84
20200929,29.65,29.91,28.90,28.96
20200930,29.15,29.51,27.88,28.01
20201001,28.16,28.16,27.03,27.68
20201002,27.15,28.37,26.99,27.97
20201005,28.10,28.63,28.06,28.39
20201006,28.75,29.49,28.43,28.45
20201007,28.95,29.11,28.64,28.85
20201008,29.05,29.68,28.74,29.61
20201009,29.89,30.08,28.90,28.92
20201012,28.83,28.97,28.27,28.33
20201013,27.73,28.18,27.09,27.45
20201014,27.50,27.79,27.20,27.34
20201015,27.47,27.87,27.22,27.83
20201016,27.97,28.02,27.43,27.94
20201019,28.15,28.17,27.01,27.13
20201020,27.42,27.77,27.11,27.46
20201021,27.46,28.57,27.10,28.47
20201022,28.70,29.50,28.60,29.10
20201023,29.30,29.50,28.70,29.28
20201026,28.64,28.94,28.29,28.75
20201027,28.56,28.64,28.06,28.21
20201028,27.50,28.17,27.40,27.80
20201029,27.66,28.30,27.52,28.13
20201030,27.80,28.59,27.66,28.57
20201102,28.80,29.66,28.36,29.60
20201103,30.00,30.48,29.69,30.13
20201104,29.96,30.28,29.31,29.77
20201105,30.01,31.35,30.01,31.29
20201106,30.75,30.98,28.85,29.30
20201109,30.85,31.15,28.78,29.05
20201110,29.16,30.08,28.86,30.07
20201111,29.76,30.35,29.59,30.20
20201112,30.00,30.00,29.12,29.25
20201113,29.40,30.48,29.38,30.20
20201116,30.77,32.53,30.62,31.90
20201117,31.60,32.89,30.99,32.29
20201118,32.50,33.24,32.09,32.70
20201119,32.40,33.58,32.24,33.43
20201120,33.41,34.10,33.13,33.99
20201123,34.25,35.48,34.20,34.62
20201124,34.55,34.92,34.14,34.51
20201125,34.48,34.89,33.50,34.82
