Date,Open,High,Low,Close
20151127,103.72,104.40,103.22,103.99
20151130,104.00,104.44,102.14,102.67
20151201,103.09,103.82,101.77,103.72
20151202,103.81,104.75,102.63,103.06
20151203,103.07,103.14,97.86,98.61
20151204,99.14,100.43,98.23,99.54
20151207,99.55,99.55,96.45,97.93
20151208,96.85,98.66,96.34,98.30
20151209,98.02,98.70,94.02,94.72
20151210,94.46,96.82,92.86,95.63
20151211,94.46,95.80,93.88,94.28
20151214,94.50,95.35,93.55,94.69
20151215,95.30,97.14,95.30,95.55
20151216,95.76,98.03,95.04,97.55
20151217,97.61,97.66,94.66,94.70
20151218,94.08,95.20,93.01,93.84
20151221,94.38,95.60,93.97,95.39
20151222,95.58,95.82,94.66,95.49
20151223,96.14,97.46,95.97,96.85
20151224,96.86,97.55,96.55,96.82
20151228,96.23,96.60,94.69,95.82
20151229,96.93,97.40,95.87,96.56
20151230,96.21,96.86,95.24,95.59
20151231,95.12,96.07,94.52,94.97
20160104,93.50,93.50,89.91,92.42
20160105,92.75,93.24,92.01,92.55
20160106,91.02,92.52,89.75,90.40
20160107,88.53,90.41,87.75,88.30
20160108,88.45,89.29,85.92,86.25
20160111,86.98,87.53,84.68,85.86
20160112,86.73,88.18,85.66,86.71
20160113,86.89,87.24,82.90,83.55
20160114,83.67,85.87,82.56,85.31
20160115,82.50,84.40,81.88,83.84
20160119,85.10,85.47,81.50,82.52
20160120,80.91,83.15,78.83,81.60
20160121,82.09,83.39,80.34,82.24
20160122,83.73,88.07,83.71,85.37
20160125,84.65,85.61,82.53,82.89
20160126,83.09,84.28,82.64,84.23
20160127,84.33,85.67,83.13,83.66
20160128,84.66,85.56,82.98,83.24
20160129,83.37,88.97,83.09,88.20
20160201,87.54,88.29,86.84,87.07
20160202,86.64,87.84,85.69,86.93
20160203,88.11,88.65,85.20,88.02
20160204,92.26,95.44,91.50,93.77
20160205,93.90,94.48,90.40,93.64
20160208,91.99,92.18,87.17,89.22
20160209,88.20,94.74,87.38,91.01
20160210,91.85,94.25,91.37,93.08
20160211,91.42,91.93,88.83,89.99
20160212,91.61,92.48,89.50,92.02
20160216,93.86,94.08,91.80,93.26
20160217,94.39,97.04,93.80,95.34
20160218,94.67,95.51,93.71,94.12
20160219,93.78,95.96,92.26,94.88
20160222,94.68,96.82,94.68,96.05
20160223,95.24,96.26,93.95,94.48
20160224,93.67,97.84,93.24,97.35
20160225,97.30,98.85,96.06,97.98
20160226,99.27,99.70,98.46,98.73
20160229,98.98,99.57,98.51,98.53
20160301,99.76,102.26,98.28,101.62
20160302,101.17,102.49,100.30,102.24
20160303,102.50,103.17,101.23,102.71
20160304,102.88,103.37,101.28,101.76
20160307,101.32,103.17,100.88,103.02
20160308,101.84,103.05,100.61,102.13
20160309,103.23,103.26,101.58,102.56
20160310,103.00,103.75,101.91,103.22
20160311,104.20,104.67,102.94,104.13
20160314,103.98,104.36,102.69,103.75
20160315,102.83,104.26,102.30,103.52
20160316,103.31,103.74,102.46,103.58
20160317,103.22,105.27,103.04,104.69
20160318,104.92,105.69,104.57,105.42
20160321,105.42,105.46,104.38,104.91
20160322,104.48,105.37,104.18,104.95
20160323,104.29,105.59,104.08,104.60
20160324,104.40,105.15,104.04,105.11
20160328,105.19,106.22,105.19,105.59
20160329,105.22,106.76,105.01,105.93
20160330,106.04,106.46,104.65,105.49
20160331,105.68,106.78,104.33,105.57
20160401,105.25,107.78,104.98,107.21
20160404,107.04,107.04,105.14,106.00
20160405,104.85,105.83,104.61,105.56
20160406,105.55,107.58,105.47,106.66
20160407,105.96,106.18,105.08,105.85
20160408,106.92,109.00,106.92,108.00
20160411,109.08,109.63,106.47,106.54
20160412,106.48,106.90,105.77,106.54
20160413,107.44,107.57,105.05,106.78
20160414,107.00,107.00,106.12,106.58
20160415,106.64,107.11,106.27,107.00
20160418,106.77,108.34,106.49,108.08
20160419,108.31,108.92,107.22,107.81
20160420,107.55,109.60,107.12,108.71
20160421,109.24,109.60,107.88,107.96
20160422,108.24,109.43,107.89,108.89
20160425,108.84,109.16,108.33,109.06
20160426,109.55,109.94,108.29,109.21
20160427,109.43,111.15,109.26,110.84
20160428,109.88,110.96,108.55,108.68
20160429,108.19,108.43,106.47,107.63
20160502,108.26,109.48,107.56,109.06
20160503,111.70,114.21,109.36,113.73
20160504,113.40,114.11,109.62,112.26
20160505,113.28,114.52,112.20,114.50
20160506,114.25,114.85,112.51,114.43
20160509,114.25,115.93,114.10,115.57
20160510,115.99,117.69,115.31,117.59
20160511,117.29,118.00,115.15,115.23
20160512,116.02,117.12,114.92,116.12
20160513,115.75,116.57,115.16,115.64
20160516,116.43,117.57,116.08,116.14
20160517,115.88,116.48,114.83,115.65
20160518,115.20,116.56,114.87,115.51
20160519,114.63,114.87,113.35,113.89
20160520,114.65,116.18,114.63,115.75
20160523,115.80,118.10,115.80,117.57
20160524,118.47,120.10,117.56,119.13
20160525,119.31,120.31,119.31,120.07
20160526,120.07,120.40,118.79,119.26
20160527,119.20,119.32,117.75,118.12
20160531,118.15,118.46,115.89,116.75
20160601,116.01,117.68,115.73,117.02
20160602,116.25,116.61,114.67,115.51
20160603,115.51,116.03,114.25,115.70
20160606,115.92,116.87,115.25,116.39
20160607,116.35,117.85,116.35,117.07
20160608,117.49,118.64,116.78,118.36
20160609,117.53,118.00,116.61,116.83
20160610,116.02,116.12,114.63,115.49
20160613,115.05,116.13,114.24,114.28
20160614,114.01,114.46,112.85,114.17
20160615,114.48,115.39,113.54,113.58
20160616,112.85,114.48,112.16,114.08
20160617,113.86,114.23,113.08,113.99
20160620,115.68,116.32,114.73,115.22
20160621,115.37,116.53,115.23,116.19
20160622,116.24,116.57,115.41,115.79
20160623,117.00,119.08,116.86,119.04
20160624,114.47,121.22,114.45,118.60
20160627,117.31,117.95,113.26,113.84
20160628,114.90,115.80,114.47,115.60
20160629,116.59,118.92,116.33,118.65
20160630,118.95,120.83,118.37,120.36
20160701,120.57,121.23,119.04,119.88
20160705,118.86,119.93,118.37,119.66
20160706,119.00,121.83,119.00,121.62
20160707,122.25,122.25,120.96,121.81
20160708,123.03,124.28,122.14,123.61
20160711,125.72,127.17,123.60,123.98
20160712,125.04,126.16,124.25,125.67
20160713,126.27,126.48,125.53,125.82
20160714,126.43,126.85,124.08,124.73
20160715,125.14,125.61,124.34,124.80
20160718,124.88,125.42,123.89,124.99
20160719,124.37,125.03,123.78,124.61
20160720,124.75,126.24,123.94,125.49
20160721,125.17,125.64,124.00,125.42
20160722,125.71,126.68,125.49,126.40
20160725,126.01,126.94,124.98,125.12
20160726,124.56,124.94,123.44,124.36
20160727,124.40,126.19,124.40,125.66
20160728,125.46,127.20,125.25,126.94
20160729,126.78,126.78,123.50,123.98
20160801,121.11,121.86,115.65,116.31
20160802,116.01,118.03,115.09,116.56
20160803,116.80,118.76,115.92,117.61
20160804,117.61,118.42,116.95,117.70
20160805,118.08,119.42,117.99,118.98
20160808,119.12,121.59,119.04,120.24
20160809,120.38,121.20,119.20,119.57
20160810,120.27,121.88,119.88,121.54
20160811,121.76,122.47,120.72,121.10
20160812,121.20,121.70,118.58,118.92
20160815,119.41,120.87,118.94,119.77
20160816,119.71,119.71,117.57,118.02
20160817,117.87,117.87,114.54,117.61
20160818,117.07,118.67,116.80,118.10
20160819,117.56,118.10,115.99,116.70
20160822,116.13,119.14,115.11,118.91
20160823,119.21,119.74,118.78,119.45
