Date,Open,High,Low,Close
20151127,74.44,75.00,74.26,74.88
20151130,75.11,75.53,74.55,74.95
20151201,75.32,76.42,75.07,76.10
20151202,76.45,76.45,74.86,74.97
20151203,75.01,75.46,73.84,74.15
20151204,75.16,75.63,74.19,75.32
20151207,75.03,75.85,74.60,75.79
20151208,74.95,76.63,74.47,76.60
20151209,75.98,77.13,75.85,76.47
20151210,76.48,77.28,75.69,76.27
20151211,75.18,75.82,74.81,75.05
20151214,75.26,76.24,74.83,76.13
20151215,76.71,77.81,76.31,77.19
20151216,77.63,79.04,77.13,78.82
20151217,78.70,79.02,76.90,76.91
20151218,76.42,76.84,74.10,75.10
20151221,75.82,76.40,74.44,75.97
20151222,76.50,77.74,75.76,76.28
20151223,76.81,77.27,76.51,77.00
20151224,76.97,77.25,76.64,76.96
20151228,76.79,77.19,76.40,77.17
20151229,77.72,77.97,77.38,77.77
20151230,77.87,78.26,77.35,77.51
20151231,77.18,77.73,76.77,76.88
20160104,75.36,75.36,74.41,75.30
20160105,75.21,75.58,74.73,75.03
20160106,74.01,75.20,73.75,74.64
20160107,73.30,73.81,72.48,73.04
20160108,73.39,73.96,72.78,73.37
20160111,73.70,74.35,73.54,74.04
20160112,74.30,74.88,73.71,74.53
20160113,74.52,74.69,71.87,71.89
20160114,72.02,73.00,71.51,72.35
20160115,70.53,72.30,70.22,72.06
20160119,72.71,73.68,70.54,71.53
20160120,70.76,71.67,69.10,70.97
20160121,71.32,71.70,69.99,70.44
20160122,71.56,71.94,70.75,71.14
20160125,70.78,71.35,69.50,69.95
20160126,70.19,71.31,69.97,71.20
20160127,71.24,72.25,70.59,70.84
20160128,71.15,71.97,70.69,71.21
20160129,71.63,73.67,71.28,73.00
20160201,72.33,72.48,71.66,72.11
20160202,71.15,71.23,70.34,70.72
20160203,70.84,71.30,68.08,68.87
20160204,68.95,69.62,68.52,68.93
20160205,68.69,69.20,67.65,67.93
20160208,67.37,67.74,64.79,65.95
20160209,65.68,68.35,65.68,67.77
20160210,68.19,68.94,66.81,66.89
20160211,65.54,66.72,65.02,66.35
20160212,67.20,68.27,66.97,68.06
20160216,68.41,69.19,67.97,68.22
20160217,68.71,69.81,68.04,68.39
20160218,68.64,69.55,68.26,68.45
20160219,68.27,68.59,67.60,67.95
20160222,68.49,69.36,68.41,68.48
20160223,68.07,68.65,67.61,68.01
20160224,67.10,72.08,67.07,71.65
20160225,72.36,73.93,71.89,73.90
20160226,74.12,74.55,73.64,74.03
20160229,74.02,74.25,72.80,72.84
20160301,73.23,74.56,72.70,74.34
20160302,74.46,74.70,73.63,74.66
20160303,74.43,76.21,74.17,76.15
