Date,Open,High,Low,Close
20151127,89.28,89.68,88.79,89.30
20151130,89.62,90.13,88.93,89.44
20151201,89.44,91.10,89.44,90.90
20151202,90.25,91.04,89.12,89.51
20151203,90.21,93.25,90.21,92.04
20151204,92.09,93.94,91.50,93.12
20151207,93.11,93.71,91.92,92.49
20151208,92.03,93.76,91.51,92.57
20151209,91.92,93.11,91.12,91.28
20151210,91.28,91.73,90.57,90.87
20151211,90.00,90.62,88.69,89.04
20151214,88.95,89.49,88.00,88.86
20151215,89.72,90.29,89.20,89.97
20151216,90.24,91.27,88.30,90.01
20151217,90.59,90.59,87.64,87.85
20151218,87.32,88.29,86.39,86.44
20151221,86.80,87.67,85.98,86.81
20151222,87.38,87.57,86.11,87.57
20151223,87.79,88.16,87.01,87.80
20151224,87.55,88.27,87.45,87.78
20151228,87.50,87.91,86.91,87.89
20151229,88.22,89.08,87.74,88.74
20151230,88.70,88.95,88.10,88.14
20151231,88.11,88.66,87.35,87.36
20160104,85.69,86.15,82.44,83.95
20160105,81.72,83.91,80.58,81.41
20160106,80.41,81.76,79.82,81.02
20160107,79.62,80.87,79.40,80.55
20160108,80.90,81.37,77.97,78.15
20160111,78.18,78.76,76.99,78.07
20160112,78.72,79.60,78.15,79.29
20160113,79.32,80.13,75.95,76.09
20160114,76.35,76.44,74.19,75.65
20160115,73.82,74.88,72.81,74.25
20160119,74.85,75.40,73.78,74.60
20160120,73.56,75.19,72.54,74.14
20160121,74.29,74.67,73.52,73.85
20160122,75.00,75.27,74.28,75.21
20160125,74.73,75.66,74.15,74.62
20160126,75.01,75.64,74.27,75.15
20160127,75.03,76.15,74.41,74.74
20160128,75.59,77.23,74.80,77.08
20160129,76.95,77.36,75.30,75.60
20160201,75.03,75.99,74.69,75.65
20160202,75.04,75.53,73.85,74.24
20160203,74.54,76.39,73.67,76.20
20160204,76.03,77.10,74.50,77.01
20160205,76.94,77.00,74.83,75.67
20160208,74.51,74.71,70.84,71.77
20160209,71.03,73.63,70.26,72.62
20160210,73.50,74.97,73.19,73.79
20160211,72.41,74.62,71.78,74.16
20160212,75.90,77.51,73.80,76.97
20160216,77.94,79.81,77.69,79.68
20160217,80.00,81.87,80.00,81.45
20160218,81.56,81.86,80.49,80.62
20160219,80.54,80.99,79.93,80.67
20160222,81.85,84.57,81.85,83.99
20160223,83.20,84.07,82.24,82.49
20160224,81.66,83.44,80.64,83.20
20160225,83.48,84.81,83.20,84.33
20160226,84.79,86.09,84.42,85.88
20160229,85.40,86.30,84.45,84.49
20160301,85.08,87.70,84.65,87.38
20160302,87.54,88.61,86.64,87.54
20160303,87.20,88.74,86.54,88.64
20160304,88.59,89.39,87.71,89.14
20160307,89.31,89.59,87.13,87.99
20160308,87.25,87.99,86.50,87.11
20160309,87.21,88.34,86.56,86.96
20160310,87.48,88.89,86.14,87.18
20160311,88.18,88.37,87.37,88.26
20160314,87.80,88.54,87.46,87.73
20160315,87.23,88.71,86.75,88.49
20160316,88.05,89.94,87.90,89.52
20160317,89.53,90.61,89.30,89.92
20160318,90.12,90.12,88.16,88.56
20160321,88.50,89.03,88.21,88.58
20160322,88.36,89.69,88.30,89.35
20160323,89.37,89.48,88.37,88.89
20160324,88.54,89.57,88.54,89.25
20160328,89.32,89.91,88.15,88.46
20160329,88.41,89.48,88.04,89.11
20160330,89.45,89.70,88.85,89.59
20160331,89.21,89.87,88.47,88.54
20160401,88.19,89.67,87.35,89.64
20160404,90.13,91.15,89.49,89.55
20160405,89.18,89.69,88.52,88.71
20160406,88.79,89.86,88.79,89.84
20160407,89.34,90.22,88.76,89.59
20160408,90.03,90.26,89.30,89.76
20160411,90.28,91.28,89.02,89.08
20160412,89.53,89.55,88.13,88.61
20160413,89.35,89.81,88.79,89.52
20160414,89.52,89.98,89.05,89.11
20160415,89.00,89.24,88.28,88.70
20160418,88.63,89.90,88.35,89.66
20160419,89.88,89.91,88.12,88.79
20160420,88.82,89.95,87.72,89.29
20160421,89.49,89.80,88.24,88.53
20160422,88.37,89.00,87.84,88.64
20160425,88.36,89.41,88.22,89.28
20160426,89.49,90.39,88.68,89.16
20160427,88.71,89.77,88.22,89.41
20160428,89.23,91.23,89.09,89.42
20160429,91.53,91.99,86.17,86.40
20160502,86.49,88.37,85.30,88.13
20160503,87.51,87.59,86.50,87.16
20160504,86.63,86.73,84.83,84.93
20160505,85.14,85.70,84.28,84.41
20160506,84.30,85.32,84.04,85.19
20160509,84.88,85.35,84.23,84.50
20160510,84.97,85.70,83.58,85.61
20160511,85.67,86.41,84.74,84.78
20160512,84.95,85.49,84.40,84.96
20160513,84.86,85.84,84.72,84.72
20160516,84.73,85.97,84.11,85.15
20160517,85.29,86.00,83.33,83.52
20160518,83.37,84.29,82.70,83.70
20160519,83.54,83.57,82.06,82.90
20160520,83.36,83.98,82.95,83.16
20160523,83.11,84.19,82.87,83.25
20160524,83.59,84.73,83.04,84.56
20160525,84.72,85.16,84.22,84.31
20160526,84.69,85.23,84.10,84.76
20160527,84.85,85.10,84.24,84.95
20160531,85.06,86.14,84.25,85.46
20160601,85.00,85.56,84.71,85.38
20160602,85.01,85.56,84.74,85.32
20160603,84.75,85.36,83.94,84.61
20160606,84.74,85.14,83.86,84.82
20160607,84.81,85.45,84.23,84.88
20160608,84.79,85.29,84.06,84.91
20160609,84.54,85.15,84.46,85.10
