Date,Open,High,Low,Close
20151127,132.63,134.23,132.63,133.06
20151130,132.88,133.41,129.20,129.36
20151201,131.00,132.81,128.04,130.36
20151202,130.63,132.56,129.60,130.41
20151203,130.26,130.26,120.46,122.06
20151204,122.82,125.87,122.58,125.17
20151207,125.35,125.79,121.36,121.79
20151208,121.02,123.78,120.01,123.29
20151209,122.55,123.13,119.40,120.63
20151210,119.55,123.12,119.51,121.87
20151211,120.20,122.03,117.23,117.64
20151214,117.61,118.40,113.73,115.70
20151215,117.04,118.39,115.84,117.28
20151216,118.27,119.38,113.77,118.53
20151217,118.31,119.57,116.44,117.94
20151218,117.17,119.31,116.48,116.51
20151221,117.43,120.85,116.40,120.56
20151222,121.09,122.97,120.08,122.74
20151223,123.92,124.22,121.95,123.80
20151224,124.38,125.40,124.20,124.84
20151228,123.99,124.74,122.72,123.95
20151229,124.97,129.18,124.32,127.87
20151230,127.68,127.95,125.93,126.40
20151231,125.55,127.60,124.91,125.83
20160104,123.03,123.87,121.04,122.89
20160105,123.89,124.96,121.90,123.45
20160106,120.80,123.17,119.51,122.23
20160107,119.01,119.82,113.85,114.96
20160108,115.62,117.11,110.55,110.71
20160111,109.88,109.94,101.49,103.95
20160112,104.95,108.71,98.87,103.64
20160113,104.30,105.50,95.68,96.37
20160114,97.44,103.95,94.68,101.91
20160115,98.15,100.13,95.09,97.91
20160119,100.54,101.46,92.57,94.99
20160120,93.33,98.58,89.97,96.99
20160121,97.06,98.84,94.84,95.07
20160122,97.00,97.81,93.65,94.71
20160125,94.24,95.17,92.01,92.12
20160126,92.70,93.43,90.47,92.20
20160127,92.35,96.09,89.92,92.50
20160128,91.00,94.09,81.98,92.76
20160129,92.72,94.49,90.00,90.75
20160201,91.92,93.99,89.75,92.39
20160202,90.59,92.68,89.43,90.98
20160203,91.54,93.98,86.12,93.88
20160204,93.49,96.35,90.71,91.72
20160205,89.78,92.23,84.54,86.61
20160208,85.23,85.85,79.81,82.00
20160209,80.25,83.53,79.44,80.14
20160210,82.26,84.06,80.25,81.73
20160211,79.21,81.17,78.51,79.71
20160212,81.94,83.81,79.50,83.23
20160216,85.42,85.85,83.01,85.37
20160217,86.07,88.46,83.50,88.25
20160218,87.87,88.47,85.76,86.64
20160219,85.99,88.51,84.04,88.08
20160222,89.41,91.60,87.85,89.00
20160223,88.06,89.30,84.76,85.28
20160224,84.12,87.09,82.44,86.77
20160225,87.33,88.94,84.34,85.53
20160226,86.44,87.93,85.39,87.00
20160229,86.83,88.97,84.60,85.49
20160301,86.13,89.61,84.26,89.57
20160302,88.94,93.42,88.75,92.52
20160303,92.25,93.00,89.10,89.45
20160304,89.91,90.19,87.92,88.36
20160307,87.36,91.00,85.94,90.95
20160308,90.63,90.89,85.05,86.91
