Date,Open,High,Low,Close
20151127,53.10,53.85,53.01,53.67
20151130,53.76,54.30,53.16,53.34
20151201,53.68,54.33,53.63,53.96
20151202,53.80,54.15,52.85,52.92
20151203,53.02,53.19,51.79,52.08
20151204,52.33,53.37,52.33,53.20
20151207,53.21,53.91,52.90,53.82
20151208,53.98,54.32,53.35,54.02
20151209,53.65,54.30,53.23,53.82
20151210,54.00,54.17,53.43,53.63
20151211,53.45,54.40,53.30,54.38
20151214,54.24,54.65,53.91,54.43
20151215,54.67,54.98,54.46,54.48
20151216,54.71,55.84,54.36,55.72
20151217,55.00,55.19,54.56,54.81
20151218,54.61,54.61,53.64,53.92
20151221,54.37,54.75,53.73,54.04
20151222,54.21,54.90,54.07,54.47
20151223,54.63,55.46,54.50,55.40
20151224,55.43,55.60,55.13,55.52
20151228,55.60,56.01,55.30,55.86
20151229,56.12,56.71,56.01,56.51
20151230,56.49,56.91,56.36,56.63
20151231,56.65,56.95,56.26,56.43
20160104,56.00,56.80,55.51,56.74
20160105,56.80,58.03,56.66,57.74
20160106,57.67,57.78,56.73,57.21
20160107,56.63,57.08,56.01,56.21
20160108,56.38,56.84,56.01,56.26
20160111,56.48,56.97,56.42,56.58
20160112,56.79,56.79,55.42,55.89
20160113,56.07,56.67,54.45,54.54
20160114,54.37,55.07,54.07,54.64
20160115,53.83,54.79,53.60,54.69
20160119,55.11,55.99,54.99,55.63
20160120,55.21,55.39,51.51,52.92
20160121,53.23,54.63,52.60,54.00
20160122,54.78,56.35,54.43,55.50
20160125,55.50,55.88,54.82,54.98
20160126,55.03,56.12,55.03,55.94
20160127,55.66,55.95,53.59,53.79
20160128,54.09,54.73,53.55,53.79
20160129,54.45,55.98,54.07,55.32
20160201,54.86,55.95,54.43,55.48
20160202,55.32,55.48,54.33,54.76
20160203,55.11,56.43,54.70,56.00
20160204,55.79,56.59,55.17,56.37
20160205,56.36,56.69,55.68,56.32
20160208,56.32,56.59,52.75,53.71
20160209,52.95,53.08,49.54,50.08
20160210,50.24,51.08,49.95,50.00
20160211,49.31,49.57,47.85,48.72
20160212,48.75,49.91,46.87,48.43
20160216,48.76,49.86,47.94,49.72
20160217,49.82,50.94,49.73,50.48
20160218,50.52,51.96,50.29,51.60
20160219,51.43,52.68,50.92,52.19
20160222,52.72,53.26,52.50,52.99
20160223,52.99,54.12,52.71,53.41
20160224,53.32,53.98,52.97,53.85
20160225,54.05,55.10,53.89,55.08
20160226,55.08,55.99,54.99,55.39
20160229,55.47,56.58,55.39,55.67
20160301,56.47,57.58,55.98,57.57
20160302,57.36,58.47,57.26,58.41
20160303,58.18,58.19,56.27,56.71
20160304,56.87,57.07,55.91,56.75
20160307,56.65,57.49,56.26,57.23
20160308,57.54,57.68,56.23,56.45
20160309,56.67,57.57,56.50,56.78
20160310,57.30,58.18,56.17,57.28
20160311,57.89,59.82,57.81,59.78
20160314,59.68,60.63,59.57,60.53
20160315,60.07,60.94,59.75,60.74
20160316,60.56,61.20,59.71,61.08
20160317,61.33,62.13,60.71,62.01
20160318,62.18,62.19,61.45,61.85
