Date,Open,High,Low,Close
20151127,80.48,81.53,80.33,81.00
20151130,80.91,81.09,80.01,80.12
20151201,79.99,81.24,79.55,80.04
20151202,79.84,80.37,78.12,78.88
20151203,79.08,79.60,75.38,75.65
20151204,75.49,76.36,74.67,76.19
20151207,76.00,76.58,75.43,75.99
20151208,74.92,75.10,72.71,73.41
20151209,73.32,73.92,72.56,72.89
20151210,72.74,73.31,72.07,72.20
20151211,71.47,71.88,69.62,70.12
20151214,69.95,70.58,67.96,69.21
20151215,69.61,70.66,69.13,70.07
20151216,70.53,71.21,70.06,71.15
20151217,71.14,71.45,70.29,70.32
20151218,70.31,70.40,68.86,68.89
20151221,70.16,72.21,70.02,71.83
20151222,72.10,73.82,71.88,73.08
20151223,73.59,74.17,73.07,73.66
20151224,73.44,73.79,72.75,73.13
20151228,72.79,73.08,71.90,72.49
20151229,73.04,73.20,71.76,72.02
20151230,71.68,72.43,71.07,71.19
20151231,70.70,71.61,69.79,71.12
20160104,69.92,70.57,69.47,70.16
20160105,70.16,70.57,68.63,68.93
20160106,67.78,68.13,66.10,66.52
20160107,65.48,65.70,63.73,64.30
20160108,64.88,65.02,63.04,63.16
20160111,63.52,63.85,62.48,62.79
20160112,63.29,63.48,62.12,63.33
20160113,63.75,64.22,61.27,61.65
20160114,61.62,63.51,60.40,63.36
20160115,61.41,63.76,61.22,63.59
20160119,63.97,64.25,62.38,63.02
20160120,61.95,63.06,60.28,62.35
20160121,62.14,64.76,61.92,63.60
20160122,64.80,65.54,63.95,64.19
20160125,63.88,64.12,62.32,62.58
20160126,63.00,63.86,62.52,63.20
20160127,63.02,63.52,61.16,62.38
20160128,63.21,63.94,61.69,62.15
20160129,62.33,64.15,61.97,63.95
20160201,63.33,64.70,63.25,63.90
20160202,63.07,63.24,61.88,62.66
20160203,63.32,64.30,61.60,63.73
20160204,63.08,66.29,62.77,64.79
20160205,64.28,64.69,61.90,62.07
20160208,61.09,62.28,61.00,61.95
20160209,61.05,62.32,60.33,60.58
20160210,61.11,65.93,60.83,65.50
20160211,64.27,65.46,62.91,64.07
20160212,64.97,65.71,64.23,65.35
20160216,66.44,68.32,65.93,67.49
20160217,68.21,70.79,67.83,69.49
20160218,74.83,76.57,67.30,68.89
20160219,68.45,69.86,66.39,67.25
20160222,67.81,69.24,67.81,68.69
20160223,68.14,68.67,67.43,67.50
20160224,66.91,67.50,65.81,67.39
