Date,Open,High,Low,Close
20151127,62.43,63.39,62.37,63.19
20151130,63.18,64.06,62.79,63.19
20151201,63.65,64.82,63.65,64.81
20151202,64.51,64.98,63.33,63.45
20151203,63.02,63.37,62.28,62.71
20151204,63.06,63.77,62.78,63.65
20151207,63.67,64.56,63.38,64.15
20151208,64.25,64.98,64.00,64.38
20151209,63.93,64.71,63.55,64.17
20151210,64.08,64.22,62.75,62.81
20151211,62.50,63.70,62.50,63.21
20151214,62.99,63.64,62.76,63.54
20151215,64.07,64.89,64.04,64.61
20151216,64.78,66.47,64.75,66.24
20151217,65.97,66.24,65.58,66.01
20151218,66.01,66.26,64.98,65.25
20151221,65.93,66.13,65.06,65.46
20151222,65.73,66.54,65.51,66.16
20151223,66.19,67.07,66.11,67.03
20151224,67.07,67.24,66.60,67.03
20151228,66.99,67.52,66.66,67.52
20151229,67.72,68.56,67.53,68.51
20151230,68.44,68.76,68.11,68.32
20151231,68.28,68.51,67.65,68.03
20160104,67.77,68.46,67.11,68.39
20160105,68.50,70.45,68.15,70.09
20160106,69.50,70.16,69.30,69.94
20160107,69.24,69.87,67.60,67.94
20160108,68.16,68.71,67.95,68.09
20160111,68.41,69.22,68.20,68.55
20160112,68.83,68.96,67.70,68.03
20160113,68.07,68.52,66.25,66.58
20160114,66.38,67.02,65.91,66.39
20160115,65.53,66.53,65.22,66.32
20160119,66.97,68.44,66.63,67.77
20160120,67.26,67.65,63.70,64.51
20160121,65.15,66.49,64.09,65.48
20160122,66.13,68.29,66.00,67.75
20160125,67.68,68.44,66.64,66.75
20160126,67.03,67.92,65.67,66.00
20160127,65.21,65.36,60.73,61.60
20160128,61.40,62.05,60.33,60.43
20160129,61.28,62.23,60.53,62.22
20160201,61.90,63.31,61.55,62.83
20160202,62.83,62.86,61.74,61.81
20160203,62.33,63.71,62.06,63.66
20160204,63.46,63.91,62.83,63.69
20160205,62.70,63.23,61.93,63.12
20160208,63.00,63.23,59.16,60.58
20160209,59.88,59.93,54.41,55.74
20160210,55.98,56.47,55.61,55.71
20160211,54.68,55.23,52.80,53.68
20160212,54.30,55.34,53.50,54.40
20160216,55.06,55.98,54.38,55.96
20160217,56.05,56.97,55.48,56.53
20160218,57.00,59.44,56.12,58.68
20160219,58.44,60.05,57.86,59.20
20160222,59.53,60.38,59.16,60.33
20160223,60.15,61.93,60.01,60.67
20160224,60.38,61.65,60.12,61.54
20160225,61.85,62.71,61.55,62.67
20160226,62.62,63.69,62.46,63.50
20160229,63.48,64.40,63.38,63.78
20160301,64.15,66.00,64.00,65.98
20160302,65.98,66.93,65.63,66.93
20160303,67.01,67.27,65.05,65.99
20160304,65.99,66.42,65.42,66.19
20160307,65.75,67.16,65.43,66.87
20160308,66.70,67.03,65.65,65.86
20160309,66.01,66.85,65.85,66.50
20160310,66.00,66.42,64.31,65.13
20160311,65.64,66.67,65.62,66.55
20160314,66.38,66.61,65.64,66.53
20160315,66.28,66.47,64.76,65.75
20160316,65.55,66.81,64.83,66.55
20160317,66.83,67.74,66.38,67.57
20160318,67.73,67.94,67.11,67.14
20160321,66.97,67.50,66.78,66.84
20160322,66.46,66.97,66.16,66.74
20160323,66.82,67.37,66.27,66.88
20160324,66.45,67.13,65.86,66.96
20160328,66.97,68.04,66.84,67.65
20160329,67.66,69.61,67.46,69.40
20160330,69.54,69.60,68.80,68.88
20160331,68.76,69.94,68.51,69.34
20160401,68.38,69.40,68.02,69.16
20160404,69.39,69.88,69.17,69.60
20160405,69.49,70.15,68.97,69.41
20160406,69.35,69.62,68.99,69.07
20160407,68.95,69.68,68.53,68.77
20160408,68.99,69.66,68.71,69.29
20160411,69.47,69.90,69.20,69.55
20160412,69.92,70.24,69.52,69.88
20160413,70.00,70.00,69.40,69.64
20160414,69.61,69.90,69.18,69.67
20160415,69.62,70.32,69.53,69.81
20160418,69.86,70.66,69.58,70.64
20160419,70.67,71.33,70.49,71.33
20160420,71.30,71.32,68.82,69.02
20160421,69.02,69.15,66.55,66.62
20160422,67.00,68.56,66.76,68.27
20160425,68.21,69.30,68.00,69.30
20160426,69.44,70.32,69.19,69.40
20160427,69.24,69.92,68.80,69.80
20160428,69.26,70.06,69.26,69.66
20160429,69.21,69.66,68.44,69.42
20160502,69.68,70.56,69.47,70.28
20160503,69.97,72.36,69.65,71.85
20160504,71.55,74.48,71.55,74.38
20160505,74.06,74.60,73.00,73.73
20160506,72.84,73.95,72.01,73.57
20160509,73.90,74.96,73.48,74.70
20160510,74.64,74.64,71.68,73.03
20160511,72.94,72.99,70.60,71.06
20160512,71.38,72.51,70.81,72.09
20160513,71.95,72.03,71.11,71.77
20160516,71.75,73.18,71.64,72.64
20160517,72.58,72.60,71.04,71.61
20160518,71.31,71.31,68.14,69.36
20160519,68.56,68.96,68.22,68.40
20160520,68.92,69.11,67.70,68.55
20160523,68.81,68.95,68.18,68.32
20160524,68.78,69.31,68.34,68.69
20160525,68.80,68.96,67.52,68.61
20160526,68.67,69.13,68.43,68.93
20160527,68.95,69.75,68.93,69.27
20160531,69.32,69.45,68.41,68.91
20160601,68.75,69.38,68.60,68.99
20160602,68.87,69.47,68.64,69.47
20160603,70.17,71.52,70.10,71.32
20160606,71.21,71.40,69.61,69.82
20160607,70.03,70.84,69.82,70.71
20160608,70.65,71.99,70.33,71.81
20160609,71.59,72.38,71.34,72.15
20160610,71.66,72.43,71.64,72.14
20160613,72.24,73.28,72.24,72.71
20160614,72.70,73.44,72.12,72.91
20160615,72.96,73.92,72.86,73.50
20160616,73.26,73.92,72.74,73.87
20160617,73.74,74.73,73.20,74.25
20160620,74.50,74.51,73.21,73.29
20160621,73.38,73.76,72.81,73.43
20160622,72.65,72.72,72.00,72.37
20160623,73.00,73.18,71.95,73.04
20160624,71.29,73.74,71.15,72.49
20160627,72.15,73.67,71.90,73.36
20160628,73.56,74.72,73.13,74.70
20160629,74.85,75.79,74.43,75.52
20160630,75.63,76.24,74.74,76.17
20160701,76.15,77.18,75.97,76.20
20160705,76.02,76.75,76.00,76.70
20160706,76.46,76.73,75.90,76.39
20160707,75.93,76.04,74.28,74.84
20160708,75.33,75.85,74.53,75.62
20160711,75.78,76.33,75.00,76.20
20160712,76.14,76.58,75.52,76.02
20160713,76.35,77.01,76.00,76.95
20160714,76.95,76.97,75.68,76.17
20160715,76.32,76.58,75.60,76.50
20160718,76.63,77.38,76.38,77.19
20160719,77.21,77.60,76.77,77.56
20160720,77.48,77.63,77.15,77.61
20160721,77.25,78.08,77.07,78.06
20160722,78.00,79.14,77.91,78.75
20160725,78.90,79.10,78.22,78.75
20160726,78.65,78.69,77.50,77.77
20160727,77.77,77.94,76.25,77.36
20160728,77.23,78.59,77.06,78.37
20160729,78.51,79.99,78.51,79.33
20160801,79.32,80.19,78.61,79.61
20160802,79.07,79.57,77.31,77.80
20160803,77.55,77.84,75.92,77.46
20160804,77.46,77.75,77.03,77.71
20160805,76.95,77.37,76.16,76.38
20160808,76.50,77.47,76.34,77.05
20160809,76.94,78.40,76.11,78.26
20160810,78.48,79.17,78.31,78.90
20160811,78.86,78.93,77.30,77.75
20160812,77.97,79.42,77.73,78.36
20160815,78.46,78.71,77.68,77.75
20160816,77.55,77.70,76.38,76.67
20160817,76.85,77.26,76.09,77.00
20160818,77.00,77.26,76.41,76.89
20160819,76.64,76.92,76.07,76.26
20160822,76.46,76.97,76.28,76.64
20160823,76.98,77.11,76.54,76.91
20160824,76.91,77.15,75.85,76.29
20160825,76.38,77.30,76.30,77.00
20160826,77.14,77.58,75.14,75.78
20160829,76.09,77.34,76.05,76.96
20160830,77.11,77.22,76.24,77.00
20160831,76.83,77.32,76.23,76.75
20160901,76.75,76.79,75.98,76.43
20160902,76.71,77.72,76.39,76.70
20160906,76.95,77.97,76.45,77.92
20160907,77.89,78.19,77.46,78.19
20160908,77.81,77.87,77.01,77.38
20160909,76.52,76.81,73.51,73.75
20160912,73.63,75.10,73.38,74.77
20160913,74.25,74.51,72.82,73.09
20160914,73.46,74.20,73.11,73.54
20160915,73.29,73.78,72.87,73.61
20160916,73.38,73.56,72.78,73.19
20160919,73.64,73.81,73.01,73.25
20160920,73.96,73.96,73.16,73.18
20160921,73.28,74.50,72.34,74.34
20160922,74.91,76.29,74.89,76.09
20160923,76.04,76.83,75.32,76.40
20160926,75.92,77.13,75.92,76.80
20160927,77.02,77.18,75.39,75.52
20160928,75.59,76.54,75.59,76.45
20160929,76.03,76.62,75.01,75.81
20160930,76.42,76.89,74.72,74.77
20161003,74.46,74.85,73.62,73.79
20161004,73.70,73.76,71.49,71.88
20161005,72.07,72.52,70.15,70.38
20161006,70.16,70.78,69.11,70.33
20161007,70.71,71.49,69.26,69.54
20161010,69.60,70.39,69.50,69.79
20161011,69.59,69.98,68.64,68.74
20161012,68.75,69.46,68.73,69.12
20161013,69.00,70.12,68.81,69.89
20161014,70.69,70.69,68.91,69.43
20161017,69.59,70.01,69.21,69.33
20161018,69.98,70.74,69.71,70.33
20161019,70.42,70.92,70.16,70.59
20161020,70.61,71.13,70.30,70.88
20161021,70.45,70.89,70.28,70.50
20161024,70.85,71.70,70.49,70.86
20161025,70.79,71.10,70.35,70.97
20161026,70.44,70.58,69.28,69.69
20161027,69.36,69.45,67.62,68.40
20161028,68.76,69.15,68.11,68.45
20161031,68.89,69.15,68.30,68.53
20161101,68.28,68.54,66.46,67.41
20161102,67.36,68.22,67.00,67.21
20161103,67.07,67.07,65.75,65.98
20161104,65.05,65.63,64.24,65.14
20161107,65.98,66.27,64.93,66.24
20161108,65.97,66.28,64.86,64.97
20161109,63.24,63.92,61.39,62.75
20161110,62.57,62.60,59.39,61.01
20161111,60.81,62.07,60.71,61.52
20161114,61.36,64.06,60.62,63.72
20161115,63.87,65.15,62.36,62.76
20161116,62.87,63.47,62.30,63.01
20161117,63.04,63.47,61.67,61.98
20161118,62.05,62.67,61.69,62.49
20161121,62.75,63.00,61.72,61.85
20161122,62.11,62.58,61.65,62.42
20161123,61.90,62.32,61.38,62.18
20161125,62.17,63.17,61.86,62.64
20161128,62.66,63.58,62.45,63.40
20161129,63.44,64.27,63.05,64.19
20161130,63.38,63.80,62.43,62.78
20161201,62.54,62.59,61.08,61.41
20161202,62.02,63.69,61.96,62.78
20161205,62.73,63.11,62.07,62.66
20161206,62.65,63.90,62.51,63.55
20161207,63.87,65.31,63.76,65.27
20161208,64.79,65.70,64.35,65.61
20161209,65.53,66.46,65.48,65.67
20161212,65.51,66.62,65.05,66.54
20161213,66.64,66.73,66.02,66.59
20161214,66.56,66.59,64.40,64.49
20161215,64.23,64.50,63.05,63.34
20161216,63.89,65.58,63.89,65.18
20161219,65.73,66.90,65.73,66.38
20161220,66.31,67.00,65.94,66.46
20161221,66.47,67.20,65.25,65.31
20161222,65.05,65.56,64.45,65.34
20161223,65.45,65.72,65.05,65.51
