Date,Open,High,Low,Close
20151127,122.28,122.46,121.56,122.20
20151130,122.38,122.60,121.51,121.75
20151201,122.15,122.78,120.90,121.70
20151202,121.67,122.68,121.14,122.20
20151203,122.36,122.46,120.05,120.48
20151204,120.77,123.74,120.77,123.74
20151207,123.68,124.03,121.01,123.05
20151208,122.38,122.86,119.95,120.00
20151209,119.84,120.24,117.51,118.86
20151210,118.99,119.87,117.27,119.13
20151211,117.91,125.70,116.50,123.63
20151214,123.79,124.05,120.29,120.77
20151215,121.51,122.60,121.14,122.07
20151216,122.89,123.34,120.45,122.97
20151217,123.05,123.52,120.90,122.20
20151218,121.85,122.65,120.16,122.33
20151221,122.73,123.10,121.38,122.70
20151222,123.15,123.34,121.22,122.70
20151223,122.38,124.16,122.33,123.87
20151224,123.50,124.66,121.75,124.29
20151228,123.97,124.79,123.05,124.64
20151229,127.95,130.81,127.52,130.30
20151230,130.01,130.97,129.09,129.64
20151231,129.14,130.54,128.64,128.66
20160104,127.21,127.44,122.99,124.98
20160105,123.43,126.25,122.31,125.84
20160106,125.24,125.54,119.94,119.98
20160107,116.38,119.74,114.93,114.95
20160108,115.48,117.44,113.50,116.62
20160111,117.01,117.33,114.09,114.97
20160112,115.51,116.06,114.50,115.55
20160113,116.46,117.07,112.59,112.85
20160114,113.51,115.03,110.05,114.38
20160115,113.33,114.88,111.92,112.53
20160119,113.66,115.87,109.87,110.38
20160120,109.06,111.60,108.32,109.30
20160121,109.73,110.58,108.32,110.00
20160122,111.88,112.95,110.19,111.95
20160125,111.32,114.63,110.00,110.12
20160126,110.42,111.40,107.30,111.00
20160127,110.77,112.57,109.02,110.71
20160128,110.90,112.97,109.90,112.58
20160129,113.35,114.59,111.67,114.47
20160201,114.00,114.85,112.90,114.50
20160202,113.25,113.86,109.75,110.56
20160203,113.38,114.64,109.64,114.05
20160204,114.08,116.32,114.08,115.71
20160205,115.12,116.49,109.71,114.02
20160208,113.30,113.30,110.46,111.16
20160209,111.17,112.11,109.64,110.65
20160210,106.73,112.11,106.36,107.52
20160211,105.63,109.26,104.11,107.13
20160212,108.56,109.43,107.07,107.84
20160216,109.11,111.30,107.01,110.77
20160217,110.83,112.11,107.97,111.24
20160218,111.12,112.20,108.93,111.60
20160219,111.37,112.40,107.28,110.33
20160222,111.36,113.23,111.01,113.04
20160223,112.37,112.80,111.35,111.89
20160224,110.77,112.49,109.82,111.56
20160225,111.60,112.99,110.75,112.88
20160226,113.34,114.18,111.01,112.75
20160229,113.04,115.36,111.65,113.32
20160301,114.27,115.57,112.65,115.51
20160302,115.35,117.09,115.20,116.78
20160303,116.49,117.67,115.42,117.00
20160304,116.61,117.48,115.57,117.19
20160307,116.05,117.48,115.99,116.95
20160308,116.50,117.37,115.45,116.71
20160309,117.05,117.31,115.50,116.49
20160310,116.91,118.00,114.14,116.82
20160311,117.93,120.76,116.63,120.62
20160314,120.42,121.04,118.60,120.63
20160315,119.84,120.76,118.09,120.70
20160316,120.35,121.04,119.01,120.82
20160317,121.01,124.41,119.45,124.03
20160318,124.25,124.56,120.09,121.27
20160321,120.86,121.84,119.14,121.45
20160322,121.03,122.91,120.72,121.47
20160323,121.47,121.47,119.10,119.38
20160324,118.89,119.44,117.64,119.41
20160328,119.51,120.88,118.00,118.72
20160329,117.99,118.93,117.02,117.98
20160330,118.40,119.67,118.12,118.74
20160331,118.78,119.34,117.86,118.66
20160401,118.08,120.34,117.03,119.93
20160404,119.66,120.35,117.38,117.65
20160405,116.40,116.44,113.25,114.07
20160406,114.09,115.61,113.73,115.47
20160407,114.74,115.27,113.34,113.54
20160408,114.88,115.00,112.59,113.41
20160411,114.11,115.95,114.11,114.64
20160412,114.99,115.99,114.75,115.79
20160413,115.81,118.01,115.10,117.99
20160414,118.16,119.68,117.17,117.72
20160415,117.50,118.80,115.93,118.45
20160418,118.32,121.27,117.51,121.26
20160419,121.35,122.42,121.17,121.68
20160420,121.10,122.46,121.02,122.31
20160421,122.61,124.13,121.93,123.01
20160422,123.48,124.74,122.58,123.79
20160425,123.20,124.00,122.17,123.30
20160426,123.96,124.46,123.16,124.40
20160427,124.59,124.99,123.13,124.69
20160428,123.54,124.62,122.68,124.15
20160429,123.80,125.17,122.05,124.90
20160502,125.44,126.74,124.80,125.96
20160503,124.56,126.43,123.66,126.27
20160504,125.39,126.78,124.97,126.56
20160505,126.66,127.79,126.20,127.66
20160506,127.36,127.36,121.24,121.56
20160509,122.28,123.64,121.20,123.44
20160510,123.89,125.99,122.81,125.51
20160511,125.70,125.94,124.07,124.21
20160512,124.44,124.57,122.01,123.89
20160513,123.91,126.27,122.75,122.97
20160516,123.12,124.61,122.87,123.91
20160517,123.40,124.17,121.14,123.41
20160518,123.22,125.40,122.52,125.27
20160519,124.52,125.47,122.69,125.12
20160520,125.15,125.77,123.90,125.57
20160523,125.48,126.23,124.76,125.95
20160524,126.13,127.08,125.17,126.62
20160525,127.08,128.06,125.94,126.46
20160526,126.36,126.98,125.42,126.61
20160527,126.51,127.99,126.12,127.91
20160531,128.50,128.69,127.19,128.02
20160601,127.67,128.14,126.75,128.07
20160602,127.99,128.83,126.97,128.75
20160603,127.81,127.85,126.01,127.48
20160606,127.70,128.75,124.66,127.68
20160607,128.05,129.70,127.69,129.25
20160608,128.99,129.41,128.03,129.03
20160609,128.73,129.67,128.14,129.58
20160610,128.87,128.94,126.30,127.01
20160613,127.10,127.65,125.31,125.47
20160614,124.72,125.70,123.94,124.96
20160615,125.95,125.95,123.70,124.14
20160616,123.34,124.87,122.75,124.84
20160617,124.67,125.75,123.43,125.33
20160620,126.51,128.26,126.09,126.27
20160621,126.54,127.43,125.35,127.33
20160622,127.09,127.91,126.33,126.49
20160623,127.94,127.94,126.60,127.65
20160624,121.00,121.25,115.93,117.01
20160627,114.66,116.08,112.99,113.40
20160628,113.81,117.63,113.64,117.56
20160629,118.34,121.01,118.05,121.00
20160630,121.36,124.43,120.07,124.31
20160701,124.48,125.51,122.68,124.00
20160705,120.19,123.54,120.19,123.48
20160706,123.32,124.99,122.66,124.87
20160707,124.28,125.48,123.98,124.44
20160708,126.04,126.04,124.60,125.06
20160711,125.10,126.11,124.04,125.52
20160712,125.89,127.32,125.37,127.20
20160713,127.61,127.74,126.15,126.42
20160714,127.62,127.68,125.98,126.04
20160715,126.40,126.40,124.07,124.59
20160718,124.83,124.83,123.62,123.98
20160719,123.20,124.53,122.86,124.17
20160720,124.51,124.57,121.69,124.00
20160721,123.68,124.50,123.05,123.33
20160722,123.22,124.06,122.60,123.94
20160725,123.57,124.24,123.07,124.00
20160726,124.29,125.17,123.59,123.76
20160727,123.83,124.62,123.16,124.27
20160728,124.01,124.30,123.39,123.74
20160729,123.42,124.05,122.84,123.62
20160801,123.87,125.33,123.68,123.84
20160802,123.61,124.16,122.98,123.17
20160803,123.51,124.48,123.41,123.82
20160804,123.56,126.00,123.56,124.09
20160805,121.73,123.08,118.26,119.92
20160808,119.57,121.42,118.08,120.59
20160809,120.29,121.58,118.90,121.23
20160810,121.65,122.43,121.03,121.82
20160811,121.86,122.98,121.85,122.75
20160812,122.51,122.83,121.07,121.47
20160815,122.00,122.23,121.37,121.53
20160816,121.37,121.98,120.50,121.48
20160817,121.90,122.22,121.44,121.93
20160818,121.74,122.73,121.46,122.56
20160819,122.10,123.05,120.43,122.72
20160822,122.55,124.13,122.18,122.95
20160823,123.24,124.00,122.60,123.11
20160824,123.10,124.26,121.95,122.21
20160825,121.81,122.76,121.80,122.21
20160826,122.58,124.45,122.11,122.99
20160829,123.15,124.76,122.91,123.92
20160830,124.18,124.48,121.88,123.94
20160831,123.99,124.37,122.11,124.01
20160901,124.00,125.24,123.59,124.85
20160902,125.50,126.61,124.84,126.53
20160906,126.82,127.66,126.06,127.66
20160907,127.66,128.98,127.26,128.55
20160908,127.86,128.28,125.38,125.42
20160909,124.39,124.84,122.04,122.04
20160912,121.71,125.46,121.46,125.25
20160913,124.00,124.05,122.86,123.09
20160914,122.90,123.59,121.61,122.30
