Date,Open,High,Low,Close
20151127,53.99,54.24,53.70,53.92
20151130,54.03,54.17,53.75,53.77
20151201,54.05,54.57,53.60,53.92
20151202,53.55,53.84,53.38,53.51
20151203,53.52,53.67,51.63,51.84
20151204,52.01,52.70,52.01,52.66
20151207,52.46,52.67,51.80,52.10
20151208,51.85,52.63,51.70,52.53
20151209,52.30,52.63,51.65,51.89
20151210,51.97,52.40,51.74,52.02
20151211,51.63,51.84,51.17,51.34
20151214,51.49,51.88,51.08,51.83
20151215,52.10,53.42,52.10,53.34
20151216,53.70,54.24,53.16,53.93
20151217,53.91,54.10,53.27,53.28
20151218,53.00,53.09,52.39,52.73
20151221,52.98,53.26,52.49,52.81
20151222,52.99,53.40,52.52,53.20
20151223,53.41,53.74,53.29,53.66
20151224,53.47,53.62,53.20,53.43
20151228,53.40,53.97,53.34,53.91
20151229,54.02,54.44,54.02,54.35
20151230,54.33,54.48,53.92,53.98
20151231,53.83,53.97,53.35,53.37
20160104,52.60,52.61,52.00,52.45
20160105,52.42,52.70,52.23,52.65
20160106,52.17,53.32,52.12,53.30
20160107,52.58,53.05,52.42,52.67
20160108,52.69,53.15,52.23,52.35
20160111,52.35,53.04,52.25,52.86
20160112,52.97,53.32,52.66,53.20
20160113,53.19,53.35,52.00,52.26
20160114,52.44,53.01,51.94,52.78
20160115,51.92,52.11,51.05,51.52
20160119,51.99,52.73,51.84,52.62
20160120,51.96,52.37,50.36,51.92
20160121,51.90,52.58,51.63,51.98
20160122,52.53,53.14,52.29,52.98
20160125,52.92,52.92,52.09,52.24
20160126,52.19,52.57,51.98,52.29
20160127,52.13,52.49,51.46,51.89
20160128,52.00,52.38,51.64,52.07
20160129,52.31,53.07,52.18,52.95
20160201,52.69,53.47,52.39,53.26
20160202,52.70,52.96,51.75,52.12
20160203,52.47,53.27,51.79,53.08
20160204,52.92,53.55,52.73,53.19
20160205,52.93,53.19,52.29,52.57
20160208,52.23,52.88,51.68,52.70
20160209,52.23,53.58,52.20,53.28
20160210,53.49,54.20,53.37,53.52
20160211,52.57,53.15,52.23,52.96
20160212,53.24,54.23,53.05,53.98
20160216,54.72,54.87,54.03,54.79
20160217,54.87,55.25,54.58,54.90
20160218,54.80,55.58,54.34,55.31
20160219,55.25,55.72,54.86,55.50
20160222,55.76,56.25,55.64,56.18
20160223,56.18,56.80,56.14,56.30
20160224,56.04,56.26,55.11,56.09
20160225,56.25,56.50,55.97,56.17
20160226,56.48,56.50,55.97,56.04
20160229,56.11,56.17,55.50,55.85
20160301,56.19,57.18,56.06,57.05
20160302,56.85,57.09,56.52,57.08
20160303,56.72,57.31,56.38,57.27
20160304,57.25,57.49,56.91,57.15
20160307,56.97,57.09,56.64,56.95
20160308,56.75,57.61,56.40,57.32
20160309,57.44,57.96,57.44,57.66
20160310,57.78,57.97,57.18,57.67
20160311,58.00,58.42,57.93,58.40
20160314,58.39,58.54,57.97,58.22
20160315,57.82,58.85,57.70,58.67
20160316,58.59,59.06,58.21,58.83
20160317,58.90,58.97,58.55,58.78
20160318,58.86,59.01,58.44,58.60
20160321,58.42,58.90,58.39,58.73
20160322,58.51,58.76,58.28,58.46
20160323,58.45,58.99,58.25,58.91
20160324,58.75,59.12,58.58,59.11
20160328,59.11,59.49,59.09,59.38
20160329,59.14,59.99,59.14,59.71
20160330,59.74,59.82,59.42,59.63
20160331,59.52,59.82,58.95,59.00
20160401,58.84,59.27,58.75,59.17
20160404,59.06,59.13,58.52,58.68
20160405,58.25,58.42,58.13,58.25
20160406,58.22,58.44,57.46,57.71
20160407,57.50,57.72,57.37,57.59
20160408,57.84,58.08,57.58,57.67
20160411,57.84,58.00,57.27,57.29
20160412,57.37,57.50,57.08,57.21
20160413,57.35,57.47,56.46,57.01
20160414,57.01,57.24,56.85,56.96
20160415,57.08,57.13,56.83,56.90
20160418,56.90,57.26,56.82,57.17
20160419,57.26,57.53,57.09,57.13
20160420,57.28,57.45,56.73,56.74
20160421,56.60,56.89,56.34,56.35
20160422,56.32,56.62,56.18,56.39
20160425,56.20,56.43,56.05,56.35
20160426,56.45,56.95,56.38,56.53
20160427,56.59,56.76,56.07,56.40
20160428,56.40,58.96,56.40,58.31
20160429,58.40,58.94,58.01,58.79
20160502,59.00,59.98,58.93,59.98
20160503,59.74,59.98,59.47,59.84
20160504,59.84,60.46,59.44,60.41
20160505,60.68,60.95,60.22,60.30
20160506,60.29,60.71,60.13,60.69
20160509,60.70,61.27,60.52,61.20
20160510,61.22,61.49,61.03,61.35
20160511,61.30,61.55,61.07,61.31
20160512,61.30,61.86,61.13,61.78
20160513,61.66,62.05,61.26,61.46
20160516,61.25,61.63,61.00,61.45
20160517,61.27,61.69,60.56,60.73
20160518,60.76,61.22,60.41,60.80
20160519,60.63,60.84,60.47,60.76
20160520,61.07,61.24,60.56,60.73
20160523,60.73,60.79,60.42,60.49
20160524,60.96,61.28,60.88,61.04
20160525,61.05,61.19,60.55,60.64
20160526,60.69,61.23,60.64,61.11
