Date,Open,High,Low,Close
20151127,36.09,36.38,35.85,36.14
20151130,36.21,36.65,35.90,36.56
20151201,36.69,36.97,36.12,36.66
20151202,36.29,36.38,34.82,35.40
20151203,35.61,35.62,33.14,33.26
20151204,33.09,33.09,30.76,31.11
20151207,29.55,29.71,25.63,26.97
20151208,26.12,28.43,25.52,27.24
20151209,26.97,29.16,26.71,28.94
20151210,28.57,29.94,28.50,29.68
20151211,28.89,29.01,26.24,26.42
20151214,26.22,26.31,25.08,25.57
20151215,25.84,26.61,25.69,25.84
20151216,25.42,26.15,25.36,25.81
20151217,25.76,25.99,23.57,23.70
20151218,23.92,24.19,21.50,21.54
20151221,21.64,22.09,20.95,22.00
20151222,21.99,23.40,21.97,22.57
20151223,23.02,25.44,23.00,25.34
20151224,25.43,25.80,24.75,24.91
20151228,24.66,25.02,23.97,24.81
20151229,25.11,25.71,24.40,24.87
20151230,24.26,24.89,23.83,24.41
20151231,24.12,25.82,24.05,25.70
20160104,25.52,26.59,25.32,26.24
20160105,26.41,26.68,25.91,26.33
20160106,25.54,25.74,22.90,22.90
20160107,22.21,22.80,20.60,20.61
20160108,21.06,21.23,19.47,20.31
20160111,20.31,20.49,18.31,18.69
20160112,18.93,19.22,15.19,16.54
20160113,16.48,16.54,12.77,13.61
20160114,13.42,18.44,13.24,18.29
20160115,15.78,18.00,15.62,16.10
20160119,16.56,17.65,15.41,15.78
20160120,15.19,15.71,14.13,15.49
20160121,15.44,16.79,15.25,16.04
20160122,16.91,19.85,16.87,19.74
20160125,19.31,21.79,18.24,18.31
20160126,18.94,20.66,18.28,20.42
20160127,20.27,20.43,18.25,19.27
20160128,20.41,21.08,19.03,19.29
20160129,19.45,19.84,18.58,19.30
20160201,18.89,19.85,18.11,19.51
20160202,18.85,19.46,18.50,18.69
20160203,19.02,19.23,16.98,18.41
20160204,18.53,19.11,17.80,18.75
20160205,18.51,18.57,16.95,17.12
20160208,14.93,15.00,10.22,11.16
20160209,11.26,12.15,11.00,11.98
20160210,11.56,13.78,11.29,12.85
20160211,12.08,13.98,11.76,13.29
20160212,13.60,14.50,13.00,13.47
20160216,13.88,15.05,13.81,15.01
20160217,15.43,16.00,15.06,15.69
20160218,15.72,16.29,14.81,15.92
20160219,15.59,15.75,15.00,15.51
20160222,15.95,16.39,15.64,16.15
20160223,16.05,16.13,15.41,15.60
20160224,15.29,16.70,14.70,16.63
20160225,15.75,16.85,14.92,16.03
20160226,16.35,16.79,15.50,15.64
20160229,15.75,16.55,15.55,15.99
20160301,16.14,16.59,15.78,16.55
20160302,16.59,17.24,16.32,17.13
20160303,17.08,18.15,17.07,18.09
20160304,18.63,19.35,18.50,19.15
20160307,19.32,19.90,18.80,19.06
20160308,18.89,18.95,17.15,17.26
20160309,17.68,18.20,17.30,17.96
20160310,17.25,17.30,14.84,15.89
20160311,16.41,16.66,15.92,16.01
20160314,15.92,16.77,15.71,16.50
20160315,16.14,16.18,15.53,16.15
20160316,16.20,17.54,16.20,17.44
20160317,17.78,18.21,17.17,17.76
20160318,18.12,18.38,17.82,18.15
20160321,17.99,18.02,17.21,17.35
20160322,17.17,17.71,16.95,17.63
20160323,17.74,17.88,15.95,16.26
20160324,15.79,15.80,14.85,15.35
20160328,15.77,15.88,15.08,15.14
20160329,14.91,15.79,14.65,15.70
20160330,15.90,16.49,15.65,15.66
20160331,15.69,16.12,15.41,16.07
20160401,15.70,16.32,15.40,15.52
20160404,15.42,15.71,15.20,15.21
20160405,15.09,15.20,14.62,14.81
20160406,14.99,15.80,14.60,15.49
20160407,15.39,16.02,15.37,15.71
20160408,16.15,16.75,15.93,16.24
20160411,16.37,17.51,16.37,17.06
20160412,17.19,17.86,16.80,17.71
20160413,17.63,18.39,17.42,18.35
20160414,18.58,18.58,17.60,17.77
20160415,17.57,17.94,17.36,17.55
20160418,16.96,17.88,15.32,16.68
20160419,16.90,18.05,16.84,18.01
20160420,17.83,19.15,17.57,18.83
20160421,18.90,19.59,18.62,19.14
20160422,19.27,19.82,19.14,19.54
20160425,19.59,19.80,18.61,19.06
20160426,19.25,19.70,18.97,19.39
20160427,19.56,20.57,19.56,20.00
20160428,20.11,20.57,19.58,19.64
20160429,19.88,20.14,18.65,19.39
20160502,19.37,19.37,18.46,18.81
20160503,18.85,19.46,18.45,19.39
20160504,19.11,19.43,18.35,19.24
20160505,18.42,20.63,18.41,20.57
20160506,20.52,21.00,19.69,19.70
20160509,19.36,19.45,18.55,18.94
20160510,19.02,19.58,18.84,19.14
20160511,19.32,19.90,18.82,19.50
20160512,19.83,19.98,18.89,19.05
20160513,18.92,19.87,18.85,19.35
20160516,19.45,20.65,19.45,20.59
20160517,20.59,21.97,20.44,21.51
20160518,21.50,21.76,20.66,20.83
20160519,20.43,21.59,20.11,21.54
20160520,21.85,22.26,21.66,22.15
20160523,21.96,22.21,20.90,21.95
20160524,22.03,22.30,21.45,22.13
20160525,22.30,22.33,20.94,21.25
20160526,21.43,21.51,20.67,20.81
20160527,20.69,21.56,20.52,21.48
20160531,21.66,23.00,21.66,22.16
20160601,21.84,22.70,21.66,22.59
20160602,22.26,22.87,22.01,22.60
20160603,22.71,22.91,22.22,22.83
20160606,23.20,23.70,22.93,23.38
20160607,23.68,23.89,23.26,23.57
20160608,23.41,23.63,22.79,23.18
20160609,22.92,23.59,22.78,23.28
20160610,22.79,22.86,21.85,22.04
20160613,21.76,22.29,21.63,21.80
20160614,21.67,22.04,20.99,21.18
20160615,21.00,22.52,20.88,21.77
20160616,20.94,22.25,20.55,22.13
20160617,22.30,22.82,22.20,22.53
20160620,22.69,22.91,21.65,22.32
20160621,22.25,22.90,20.04,21.67
20160622,21.61,21.63,20.75,20.76
20160623,21.10,21.83,20.67,21.78
20160624,20.50,21.70,20.47,21.31
20160627,20.88,21.15,19.60,20.00
20160628,20.57,21.00,20.35,20.64
20160629,20.92,20.98,19.96,20.84
20160630,20.61,21.73,20.55,21.63
20160701,20.50,21.00,20.22,20.56
20160705,20.34,20.54,19.68,20.09
20160706,20.00,20.44,19.78,20.44
