Date,Open,High,Low,Close
20151127,45.16,45.66,45.04,45.42
20151130,46.94,46.94,45.52,45.62
20151201,45.75,46.60,45.41,45.97
20151202,44.84,46.46,44.84,45.38
20151203,46.94,46.94,45.06,45.53
20151204,45.65,45.75,44.85,45.43
20151207,44.43,45.43,44.06,44.11
20151208,44.02,44.31,43.23,43.25
20151209,43.37,43.99,42.80,43.29
20151210,42.37,43.55,41.90,42.27
20151211,41.61,42.33,41.09,41.23
20151214,41.13,41.38,39.55,39.78
20151215,40.25,41.05,39.24,39.26
20151216,39.65,40.55,38.52,40.47
20151217,40.35,40.81,40.02,40.43
20151218,40.53,40.89,39.68,39.72
20151221,39.87,40.41,39.66,40.08
20151222,40.13,40.33,39.04,39.68
20151223,40.06,41.11,39.71,41.00
20151224,41.17,41.54,40.81,41.00
20151228,40.91,41.14,40.46,41.11
20151229,41.39,41.72,41.16,41.33
20151230,41.18,41.51,41.01,41.23
20151231,40.95,41.77,40.90,41.10
20160104,40.37,41.02,40.00,41.01
20160105,41.06,41.18,40.76,40.99
20160106,40.27,40.45,39.64,39.85
20160107,39.03,40.17,38.88,39.45
20160108,39.23,39.35,37.61,37.78
20160111,37.90,38.02,35.51,35.82
20160112,36.06,36.44,34.15,34.55
20160113,34.17,36.06,34.14,34.20
20160114,34.36,35.08,33.71,34.69
20160115,33.83,34.38,33.25,33.38
20160119,33.73,33.86,32.63,32.85
20160120,32.33,33.13,31.10,32.48
20160121,32.64,33.66,32.24,32.80
20160122,33.56,34.40,33.26,34.00
20160125,30.70,30.80,28.41,28.93
20160126,29.19,29.68,28.71,28.90
20160127,28.59,30.37,28.59,29.37
20160128,29.55,30.00,28.50,28.52
20160129,28.71,31.90,28.56,31.79
20160201,31.35,31.77,30.09,31.54
20160202,30.76,30.98,30.02,30.06
20160203,30.59,30.91,29.63,30.01
20160204,29.85,31.13,29.83,31.02
20160205,30.82,31.41,30.00,30.09
20160208,29.91,30.08,28.65,29.00
20160209,28.53,29.67,28.50,29.45
20160210,28.50,29.87,28.19,28.25
20160211,27.77,28.20,26.79,26.98
20160212,27.37,28.01,27.14,27.96
20160216,28.38,28.55,27.65,28.39
20160217,28.78,29.84,28.57,29.47
20160218,29.60,29.88,28.83,29.49
20160219,28.53,29.27,27.53,28.43
20160222,29.71,29.71,28.62,29.15
20160223,28.98,29.44,28.77,29.35
20160224,28.84,29.40,28.53,29.11
20160225,29.34,29.72,28.69,29.21
20160226,29.32,30.72,29.00,30.24
20160229,29.32,31.71,29.32,30.43
20160301,30.80,31.91,30.62,31.89
20160302,31.71,33.32,31.60,33.25
20160303,33.09,34.08,33.09,33.95
