Date,Open,High,Low,Close
20151127,32.28,32.55,32.24,32.37
20151130,32.33,32.50,32.09,32.17
20151201,32.37,32.72,32.00,32.14
20151202,32.10,32.19,31.70,31.76
20151203,31.75,31.82,31.21,31.46
20151204,31.59,32.15,31.46,32.05
20151207,31.95,31.98,31.57,31.77
20151208,31.58,31.77,31.43,31.55
20151209,31.45,31.79,31.10,31.19
20151210,31.21,31.28,30.82,30.93
20151211,30.64,30.92,30.33,30.48
20151214,30.40,30.61,29.85,30.01
20151215,30.22,30.31,29.92,30.10
20151216,30.24,30.94,30.07,30.87
20151217,30.86,31.01,30.39,30.64
20151218,30.38,30.39,29.51,29.51
20151221,29.68,29.81,29.27,29.69
20151222,29.87,30.32,29.65,30.15
20151223,30.27,30.68,30.19,30.62
20151224,30.58,30.87,30.48,30.72
20151228,30.64,30.68,30.34,30.57
20151229,30.83,30.93,30.48,30.61
20151230,30.60,30.72,30.32,30.34
20151231,30.33,30.34,29.84,29.98
20160104,29.51,29.86,29.44,29.83
20160105,29.94,30.03,29.63,29.90
20160106,29.63,29.64,29.12,29.24
20160107,28.92,28.95,28.10,28.16
20160108,28.23,28.40,27.84,27.90
20160111,27.98,28.14,27.51,27.61
20160112,27.93,27.94,26.70,27.02
20160113,27.12,27.66,26.71,26.75
20160114,26.89,26.96,26.37,26.41
20160115,25.92,26.17,25.53,25.82
20160119,26.23,26.25,25.28,25.47
20160120,25.23,25.30,23.73,24.60
20160121,24.70,25.46,24.51,25.00
20160122,25.36,25.63,24.99,25.42
20160125,25.30,25.38,24.45,24.51
20160126,24.67,24.97,24.50,24.75
20160127,24.72,24.91,24.34,24.52
20160128,24.73,24.91,24.26,24.42
20160129,24.67,25.62,24.62,25.61
20160201,25.44,26.22,25.15,26.09
20160202,25.92,25.92,25.31,25.33
20160203,25.48,25.67,24.76,25.46
20160204,25.39,26.04,25.38,25.74
20160205,25.60,25.64,23.90,23.99
20160208,23.86,23.88,22.93,23.40
20160209,23.17,23.52,22.67,23.08
20160210,23.29,23.49,22.62,22.68
20160211,22.35,22.53,22.06,22.22
20160212,22.50,22.75,22.35,22.60
20160216,22.97,24.00,22.86,23.77
20160217,23.85,24.44,23.74,24.18
20160218,24.18,24.26,23.53,23.84
20160219,23.74,23.74,22.66,22.87
20160222,23.19,23.67,23.11,23.58
20160223,23.57,24.59,23.29,24.25
20160224,24.00,25.37,24.00,25.00
20160225,25.13,25.44,24.70,25.36
20160226,25.47,26.00,25.25,25.59
20160229,25.58,26.43,25.50,25.98
20160301,26.13,26.75,26.09,26.65
20160302,26.54,27.09,26.50,27.07
20160303,27.31,27.39,27.02,27.26
20160304,26.92,27.91,26.86,27.44
20160307,27.33,27.72,27.27,27.63
20160308,27.51,27.83,27.47,27.49
20160309,27.72,27.82,27.47,27.57
20160310,27.65,28.10,27.55,28.06
20160311,28.32,28.80,28.30,28.72
20160314,28.53,29.23,28.53,29.08
20160315,28.84,29.38,28.68,29.33
20160316,29.17,29.62,29.05,29.45
20160317,29.49,30.49,29.43,30.08
20160318,30.14,30.33,29.86,30.09
20160321,30.07,30.55,30.01,30.27
20160322,30.02,30.82,30.02,30.59
20160323,30.50,30.72,30.24,30.24
20160324,30.14,30.39,29.83,30.34
20160328,30.42,30.81,30.25,30.62
20160329,30.57,31.16,30.36,31.03
20160330,31.20,31.38,30.93,31.05
20160331,31.00,31.33,30.82,30.98
20160401,30.82,31.29,30.71,31.15
20160404,31.11,31.45,30.95,31.19
20160405,30.87,31.06,30.71,30.78
20160406,30.78,30.99,30.21,30.79
20160407,30.62,31.03,30.56,30.79
20160408,30.75,31.40,30.75,31.24
20160411,31.30,31.70,31.24,31.31
20160412,31.29,31.73,31.17,31.45
20160413,31.43,31.92,31.37,31.77
20160414,31.80,31.88,31.50,31.71
20160415,31.66,31.81,31.57,31.73
20160418,31.55,32.00,31.52,31.99
20160419,32.00,32.20,31.68,31.98
20160420,32.03,32.17,31.92,31.92
20160421,31.89,32.17,31.75,31.83
20160422,31.92,32.36,31.87,32.26
20160425,32.19,32.36,31.88,31.89
20160426,31.96,32.29,31.93,32.24
20160427,32.33,32.48,32.02,32.32
20160428,32.56,32.56,31.90,32.02
