Date,Open,High,Low,Close
20151127,48.94,49.30,48.94,49.23
20151130,49.11,49.88,49.11,49.69
20151201,49.87,50.47,49.65,50.24
20151202,50.00,50.72,48.98,49.00
20151203,49.27,49.53,48.16,48.47
20151204,48.56,49.15,48.39,48.97
20151207,48.92,48.94,48.32,48.54
20151208,48.09,48.58,47.89,48.35
20151209,48.37,48.45,47.49,47.87
20151210,47.85,48.24,47.75,47.96
20151211,47.41,47.79,47.30,47.35
20151214,47.55,47.68,46.81,47.31
20151215,47.48,48.13,47.35,47.95
20151216,48.24,48.39,47.27,47.97
20151217,48.05,48.20,47.09,47.10
20151218,46.73,47.01,46.40,46.52
20151221,46.99,47.34,46.74,47.30
20151222,47.47,47.79,47.05,47.43
20151223,47.64,48.01,47.49,47.88
20151224,47.90,48.18,47.78,47.85
20151228,47.68,47.81,47.27,47.80
20151229,48.04,48.53,47.93,48.18
20151230,48.01,48.25,47.81,47.84
20151231,47.77,48.03,46.97,46.97
20160104,46.12,46.13,45.36,45.80
20160105,45.81,46.77,45.61,46.48
20160106,45.77,45.98,45.17,45.63
20160107,44.74,45.32,43.74,43.83
20160108,43.67,44.12,42.84,42.93
20160111,43.36,43.75,42.76,43.12
20160112,43.53,43.53,42.76,43.36
20160113,43.52,43.70,41.85,41.91
20160114,42.13,42.56,41.52,42.41
20160115,41.05,42.96,40.44,42.81
20160119,43.42,43.51,42.10,42.79
20160120,42.58,43.59,41.69,43.08
20160121,47.10,48.30,45.96,46.78
20160122,47.51,47.79,47.19,47.72
20160125,47.32,48.31,47.32,47.50
20160126,47.58,48.40,47.37,48.35
20160127,48.35,49.14,47.87,48.14
20160128,47.97,48.40,47.71,48.00
20160129,48.42,50.30,48.35,50.27
20160201,49.91,50.26,49.43,49.90
20160202,49.12,49.68,48.24,48.50
20160203,48.88,48.88,47.17,48.55
20160204,48.69,49.49,48.43,49.36
20160205,49.01,49.15,47.84,48.07
20160208,47.85,47.85,46.56,47.38
20160209,47.00,47.89,46.86,47.22
20160210,47.37,47.80,46.83,46.87
20160211,46.06,47.61,45.85,47.25
20160212,47.53,47.75,46.27,47.65
20160216,48.04,48.38,47.56,48.08
20160217,48.44,49.03,48.08,48.82
20160218,48.82,48.96,47.89,47.94
20160219,47.86,48.57,47.86,48.43
20160222,48.82,49.25,48.56,48.89
20160223,48.57,48.93,48.30,48.46
20160224,47.35,47.87,46.33,47.58
20160225,47.73,48.26,47.22,48.25
20160226,48.51,48.72,48.26,48.39
20160229,48.26,48.47,47.22,47.22
20160301,47.80,48.32,47.24,48.21
20160302,48.19,48.24,47.33,48.16
20160303,47.95,48.29,47.43,47.86
20160304,47.84,47.84,46.84,47.00
20160307,46.65,47.23,45.91,47.12
20160308,46.64,46.81,45.94,45.95
20160309,46.09,46.72,46.00,46.43
20160310,46.58,47.07,45.91,46.38
20160311,46.88,47.03,46.58,46.72
20160314,46.93,47.58,46.53,47.00
20160315,47.18,47.22,46.81,47.06
20160316,46.70,47.68,46.70,47.65
20160317,47.36,47.50,46.81,47.04
20160318,47.17,47.68,46.91,47.47
20160321,47.19,47.51,46.99,47.49
20160322,47.46,47.91,47.22,47.57
20160323,47.60,47.65,47.16,47.33
20160324,47.08,47.22,46.90,47.02
20160328,47.18,47.50,46.98,47.04
20160329,47.00,47.33,46.91,47.25
20160330,47.55,47.95,47.25,47.87
20160331,47.84,47.98,47.40,47.43
20160401,46.99,47.70,46.63,47.62
20160404,47.64,47.64,46.91,47.14
20160405,46.90,47.14,46.81,46.91
20160406,46.79,47.32,46.42,47.25
20160407,46.96,47.06,46.03,46.14
20160408,46.48,46.75,45.98,46.30
20160411,46.41,46.75,46.19,46.21
20160412,46.11,46.32,45.41,45.87
20160413,46.11,46.75,45.92,46.65
20160414,46.51,46.55,45.69,46.55
20160415,46.49,46.50,45.93,46.01
20160418,46.05,46.31,45.86,46.26
20160419,46.50,46.50,45.70,45.90
20160420,45.79,46.73,45.69,46.46
20160421,46.31,46.35,45.95,46.03
20160422,46.03,46.47,45.75,45.87
20160425,45.76,46.09,45.47,45.79
20160426,45.93,47.08,45.93,46.95
20160427,46.83,47.36,46.35,47.35
20160428,45.00,45.75,41.53,43.23
20160429,42.99,43.90,42.71,43.08
20160502,43.21,43.87,43.09,43.74
20160503,43.30,43.49,42.96,43.48
20160504,43.34,43.71,42.84,42.98
20160505,42.97,43.38,42.74,43.09
20160506,42.77,43.22,42.61,43.20
20160509,43.35,43.58,43.01,43.07
20160510,43.15,43.55,42.93,43.24
20160511,43.13,43.43,42.88,43.06
20160512,43.26,43.30,42.37,42.92
20160513,42.84,43.54,42.67,43.24
20160516,42.98,43.82,42.98,43.51
20160517,43.43,44.15,43.30,43.53
20160518,43.36,44.22,43.24,43.93
20160519,43.79,44.06,43.46,43.84
20160520,44.12,44.79,44.02,44.75
20160523,44.89,45.08,44.81,44.89
20160524,45.05,47.89,44.90,47.45
20160525,47.46,47.55,46.47,47.12
20160526,47.14,47.31,46.73,47.11
20160527,46.48,48.00,46.48,47.36
20160531,47.45,47.45,46.86,47.39
20160601,47.15,47.45,47.01,47.37
20160602,46.79,47.38,46.54,47.12
20160603,47.53,47.97,46.92,47.41
20160606,47.41,47.47,46.85,46.87
20160607,47.07,47.26,46.82,47.17
20160608,47.10,47.35,46.90,47.18
20160609,46.97,47.12,46.80,47.03
20160610,46.53,47.05,46.49,46.73
20160613,46.64,46.90,46.27,46.32
