Date,Open,High,Low,Close
20151127,80.58,81.26,80.46,81.23
20151130,81.42,82.65,81.25,81.66
20151201,81.76,82.13,81.27,81.89
20151202,81.31,81.64,79.42,79.55
20151203,79.72,79.85,78.02,78.41
20151204,77.35,78.98,77.03,78.86
20151207,77.33,77.50,75.75,76.80
20151208,75.27,76.35,73.79,74.63
20151209,74.84,77.19,74.73,75.63
20151210,75.80,77.50,75.52,75.69
20151211,74.82,75.54,74.34,74.34
20151214,74.30,76.22,74.09,76.03
20151215,77.43,79.60,77.33,79.43
20151216,79.04,79.61,78.00,79.15
20151217,79.02,79.23,77.95,77.96
20151218,77.57,78.78,77.06,77.28
20151221,77.79,78.10,76.65,77.26
20151222,77.70,77.90,77.21,77.65
20151223,78.68,80.22,78.32,80.19
20151224,80.27,80.27,79.12,79.33
20151228,78.12,78.86,77.91,78.74
20151229,79.99,80.08,78.84,79.16
20151230,78.32,78.99,77.97,78.11
20151231,77.51,78.44,77.43,77.95
20160104,77.50,77.94,76.46,77.46
20160105,77.19,78.14,76.92,78.12
20160106,76.64,77.64,76.59,77.47
20160107,76.06,77.99,75.90,76.23
20160108,76.35,76.65,74.50,74.69
20160111,75.01,75.12,72.56,73.69
20160112,74.12,75.42,73.15,75.20
20160113,75.85,77.06,74.94,75.65
20160114,76.21,79.92,75.80,79.12
20160115,76.33,78.17,76.30,77.58
20160119,77.93,78.24,75.19,76.40
20160120,75.07,75.72,71.55,73.18
20160121,73.16,74.99,72.61,74.10
20160122,76.42,76.77,74.72,76.57
20160125,75.75,76.34,73.90,73.98
20160126,74.77,76.77,74.25,76.70
20160127,76.00,77.47,74.72,75.29
20160128,77.35,77.66,75.62,76.99
20160129,76.73,77.85,76.25,77.85
20160201,76.66,76.79,75.44,76.29
20160202,74.19,75.62,73.55,74.59
20160203,75.53,78.53,74.26,78.48
20160204,78.58,80.00,77.56,79.83
20160205,79.40,80.10,78.57,80.08
20160208,79.30,81.78,78.91,81.16
20160209,79.98,80.67,78.69,80.08
20160210,79.77,81.45,79.28,79.35
20160211,78.34,80.15,77.58,79.60
20160212,80.08,81.07,79.81,81.03
20160216,81.70,81.85,80.28,81.22
20160217,81.65,82.78,81.16,82.00
20160218,82.90,83.06,81.86,82.45
20160219,82.19,82.55,80.91,82.50
20160222,82.50,83.44,82.20,82.39
20160223,81.99,82.37,80.88,81.23
20160224,79.91,81.77,79.67,81.52
20160225,81.56,82.07,80.02,82.01
20160226,82.89,83.08,81.69,81.75
20160229,81.88,82.40,80.05,80.15
20160301,80.56,81.77,80.32,81.28
20160302,80.95,82.72,80.31,82.70
20160303,82.66,82.72,81.54,82.40
20160304,82.66,82.97,81.76,82.29
20160307,82.31,84.46,82.21,84.46
20160308,84.00,84.21,82.48,82.63
20160309,83.22,83.85,82.24,82.40
20160310,82.42,82.66,80.93,82.18
20160311,83.22,83.53,82.01,82.19
20160314,81.48,82.64,81.02,82.41
20160315,81.60,82.85,81.52,82.82
20160316,83.02,83.16,81.94,82.87
20160317,83.68,84.68,82.72,84.10
