Date,Open,High,Low,Close
20151127,61.09,61.43,60.87,61.11
20151130,61.07,61.40,60.60,60.66
20151201,60.94,62.02,60.89,61.97
20151202,61.72,62.56,61.61,62.44
20151203,62.40,62.79,62.16,62.61
20151204,62.90,63.44,62.37,63.08
20151207,63.08,63.45,62.70,62.96
20151208,62.45,62.92,61.93,62.20
20151209,61.80,62.14,60.69,60.89
20151210,60.82,61.17,60.37,60.87
20151211,60.18,60.51,59.49,59.79
20151214,60.04,60.10,59.11,59.68
20151215,60.21,60.36,59.07,59.94
20151216,60.30,60.86,59.82,60.45
20151217,60.44,60.56,59.77,60.26
20151218,60.17,60.45,59.60,59.63
20151221,60.11,60.41,59.67,60.05
20151222,60.31,60.77,59.72,60.58
20151223,60.90,61.29,60.36,61.04
20151224,60.88,61.16,60.71,60.91
20151228,60.78,61.24,60.54,61.21
20151229,61.64,62.22,61.57,61.91
20151230,61.73,61.80,61.40,61.41
20151231,61.20,61.57,60.75,60.85
20160104,59.21,59.87,58.29,58.86
20160105,59.25,60.29,58.90,60.06
20160106,59.57,60.07,58.85,59.19
20160107,58.30,58.97,58.04,58.67
20160108,58.89,59.39,56.89,56.99
20160111,57.10,57.55,55.46,55.88
20160112,56.10,56.86,55.94,56.49
20160113,56.61,56.83,55.48,55.52
20160114,55.93,56.72,55.50,56.46
20160115,55.47,56.81,55.33,56.49
20160119,57.22,57.22,56.15,56.36
20160120,55.76,57.05,55.00,56.60
20160121,56.74,56.82,55.93,56.35
20160122,56.82,57.57,56.37,57.52
20160125,57.45,57.83,57.22,57.43
20160126,57.52,59.26,57.32,59.22
20160127,59.10,59.88,58.39,58.82
20160128,59.26,59.45,57.84,58.13
20160129,58.23,59.33,57.73,58.89
20160201,58.45,60.29,58.39,60.03
20160202,59.70,59.97,58.93,59.28
20160203,59.86,60.37,58.06,58.95
20160204,59.22,59.38,58.52,59.32
20160205,59.36,59.60,57.82,58.99
20160208,58.70,59.36,56.29,57.20
20160209,56.70,57.58,56.54,56.99
20160210,57.22,58.24,57.22,57.73
20160211,56.88,57.28,56.00,56.51
20160212,56.25,57.96,53.43,54.73
20160216,54.05,57.54,54.05,55.70
20160217,56.08,56.47,55.36,55.91
20160218,56.03,56.38,55.49,55.60
20160219,55.52,56.74,55.11,56.37
20160222,56.71,57.02,56.24,56.66
20160223,56.42,57.02,55.51,56.63
20160224,56.30,58.10,55.77,57.88
20160225,59.14,60.90,58.84,60.74
20160226,61.21,61.80,60.55,60.67
20160229,60.33,61.68,59.90,60.96
20160301,61.10,61.50,58.98,60.43
20160302,59.75,60.74,59.19,60.20
20160303,60.12,60.90,59.76,60.62
20160304,60.22,61.37,59.94,60.16
20160307,59.73,61.26,59.69,61.00
20160308,60.84,62.42,60.84,61.53
20160309,61.79,62.42,61.03,62.11
20160310,62.10,62.87,61.43,62.44
20160311,62.80,63.68,62.45,63.49
20160314,62.50,62.93,60.75,61.41
20160315,60.98,61.79,60.28,60.90
20160316,61.13,61.53,60.76,61.29
20160317,61.26,61.47,60.23,60.82
20160318,60.90,61.62,60.50,60.72
20160321,60.45,60.83,59.95,60.00
20160322,59.60,61.06,59.50,60.91
20160323,60.68,61.33,60.22,60.55
20160324,58.77,59.86,58.44,59.62
20160328,59.99,60.76,59.56,60.38
20160329,60.54,62.15,60.40,61.98
20160330,62.19,62.42,61.78,62.06
20160331,62.16,62.34,61.49,61.63
20160401,61.41,61.88,61.02,61.49
20160404,61.53,62.13,61.19,61.40
20160405,61.13,61.32,60.33,60.67
20160406,60.54,61.06,60.29,61.01
20160407,60.78,61.03,59.95,60.20
20160408,60.54,60.54,59.39,59.72
20160411,59.79,60.16,59.36,59.50
20160412,59.46,60.06,59.22,59.71
20160413,59.92,60.00,59.41,59.80
20160414,59.68,60.26,59.29,60.03
20160415,60.00,60.11,59.68,60.09
20160418,59.92,61.09,59.86,60.88
20160419,61.06,61.25,60.81,61.03
20160420,61.10,61.46,60.59,61.27
20160421,61.34,61.52,60.26,60.54
20160422,60.70,61.00,60.19,60.72
20160425,60.79,61.31,60.70,61.11
20160426,61.26,61.41,60.46,60.58
20160427,60.56,61.10,59.93,60.95
20160428,60.73,61.23,60.12,60.33
20160429,59.97,60.15,59.08,59.60
20160502,59.78,60.61,59.45,60.25
20160503,59.83,60.27,59.46,59.97
20160504,59.66,60.03,59.26,59.87
20160505,59.96,61.12,59.91,60.49
20160506,61.50,62.00,60.60,61.75
20160509,61.56,61.95,60.44,60.52
20160510,60.78,61.32,60.71,61.32
20160511,61.15,62.04,61.15,61.88
20160512,62.23,62.23,61.27,61.90
20160513,61.81,61.96,61.09,61.16
20160516,61.07,62.58,60.99,62.26
20160517,62.19,62.46,60.45,60.70
20160518,60.46,61.22,60.08,61.07
20160519,60.62,61.04,59.91,60.31
20160520,60.66,61.44,60.38,60.96
20160523,60.98,61.32,60.33,60.36
20160524,60.54,61.82,60.53,61.73
20160525,61.94,62.15,61.70,61.77
20160526,61.67,61.99,61.45,61.72
20160527,63.04,63.04,61.87,62.47
20160531,62.69,62.69,61.85,62.16
20160601,62.16,62.92,61.96,62.48
20160602,62.21,63.02,62.21,63.00
20160603,62.85,62.95,62.41,62.65
20160606,62.64,62.97,62.47,62.75
20160607,62.84,63.20,62.67,62.79
20160608,62.58,64.36,62.37,64.34
20160609,64.04,64.59,63.84,64.43
20160610,64.12,64.25,63.41,63.61
20160613,64.22,65.83,64.13,64.73
20160614,64.41,64.55,63.70,64.28
20160615,64.30,64.52,63.29,63.33
20160616,63.20,63.57,62.49,63.50
20160617,63.14,63.47,62.50,63.21
20160620,63.99,64.42,63.31,63.32
20160621,63.33,63.67,63.02,63.40
20160622,63.46,63.75,63.29,63.47
