Date,Open,High,Low,Close
20151127,27.91,28.14,27.88,28.01
20151130,28.09,28.14,27.67,27.80
20151201,27.88,28.25,27.75,28.17
20151202,28.19,28.22,27.33,27.33
20151203,27.51,27.62,27.01,27.30
20151204,27.30,27.98,27.30,27.62
20151207,27.51,27.59,26.72,26.80
20151208,26.53,26.72,26.30,26.67
20151209,26.48,27.09,26.22,26.40
20151210,26.51,26.96,26.32,26.80
20151211,26.30,26.69,26.27,26.46
20151214,26.51,26.61,25.56,25.98
20151215,26.40,26.61,26.03,26.40
20151216,26.53,27.14,26.46,27.06
20151217,27.09,27.43,26.51,26.85
20151218,26.64,26.90,26.32,26.75
20151221,27.01,27.51,26.85,27.14
20151222,27.27,28.25,27.17,28.19
20151223,28.30,28.62,28.19,28.51
20151224,28.51,28.80,28.43,28.67
20151228,28.51,28.54,27.85,28.06
20151229,28.09,28.38,28.01,28.19
20151230,28.14,28.33,28.06,28.25
20151231,28.12,28.19,27.77,28.01
20160104,27.43,27.48,26.69,27.14
20160105,27.14,27.43,26.96,27.09
20160106,26.69,26.85,26.43,26.75
20160107,26.22,26.35,25.82,26.01
20160108,26.19,26.32,25.14,25.27
20160111,25.40,25.45,24.35,24.77
20160112,25.11,25.22,24.51,25.11
20160113,25.27,25.32,24.24,24.30
20160114,24.43,24.74,23.87,24.19
20160115,23.53,24.03,23.29,23.98
20160119,24.32,24.37,23.21,23.48
20160120,23.06,23.29,22.35,23.08
20160121,23.06,24.03,22.82,23.82
20160122,24.27,24.40,23.74,23.90
20160125,23.82,24.22,23.56,23.98
20160126,24.06,24.53,23.90,24.45
20160127,24.32,24.87,24.14,24.32
20160128,24.53,26.27,24.14,24.32
20160129,24.51,26.06,24.43,25.69
20160201,25.51,25.51,24.64,24.85
20160202,24.58,24.66,23.48,23.58
20160203,23.82,24.37,23.50,24.35
20160204,24.37,25.06,24.24,24.69
20160205,24.77,25.24,24.66,24.93
20160208,24.61,24.74,23.61,23.85
20160209,23.64,23.72,22.79,23.08
20160210,23.29,23.69,23.16,23.40
20160211,22.98,23.16,22.48,22.90
20160212,22.98,23.32,22.77,23.11
20160216,23.45,23.82,22.98,23.77
20160217,23.95,24.64,23.90,24.22
20160218,24.32,24.69,24.19,24.61
20160219,24.37,24.82,24.19,24.66
20160222,24.87,25.32,24.82,25.27
20160223,25.11,25.32,24.93,25.03
20160224,24.77,25.22,24.30,25.22
20160225,25.24,25.45,25.06,25.40
20160226,25.45,25.69,25.27,25.45
20160229,25.38,25.64,25.19,25.32
20160301,25.53,26.22,25.53,26.17
20160302,26.11,26.93,26.03,26.88
20160303,26.93,27.48,26.85,27.40
20160304,27.38,27.77,27.33,27.67
20160307,27.48,27.69,27.30,27.46
20160308,27.35,27.51,26.80,27.01
20160309,27.17,27.83,27.04,27.77
20160310,27.77,27.93,27.06,27.54
20160311,27.77,28.43,27.67,28.41
20160314,28.17,28.25,27.46,27.91
20160315,27.72,27.91,27.40,27.83
20160316,27.75,28.06,27.51,27.91
20160317,27.85,28.41,27.83,28.19
20160318,28.30,28.38,28.14,28.35
20160321,28.19,28.30,27.98,28.09
20160322,28.06,28.43,28.04,28.19
20160323,28.25,28.27,27.72,27.83
20160324,27.69,28.04,27.27,28.01
20160328,28.06,28.41,28.04,28.12
20160329,27.75,28.85,27.67,28.54
20160330,28.67,28.96,28.35,28.54
20160331,28.83,29.80,28.80,29.41
20160401,29.12,29.46,28.85,29.25
20160404,29.20,29.57,28.99,28.99
20160405,28.83,29.09,28.67,28.93
20160406,28.91,29.14,28.51,29.14
20160407,28.93,29.01,28.48,28.70
20160408,28.96,29.14,28.83,28.93
20160411,29.01,29.28,28.77,28.93
20160412,29.09,29.51,29.06,29.35
20160413,29.57,29.57,29.35,29.51
20160414,29.49,29.51,29.17,29.41
20160415,29.46,29.64,29.30,29.49
20160418,29.49,29.67,29.17,29.64
20160419,29.70,30.01,29.43,29.59
20160420,29.67,29.67,29.35,29.49
20160421,29.59,29.72,29.38,29.41
20160422,29.35,29.62,29.30,29.43
20160425,28.04,28.14,25.40,25.51
20160426,25.19,26.14,25.06,25.85
20160427,25.72,26.38,25.69,26.35
20160428,26.22,26.30,25.72,25.90
20160429,25.80,25.93,25.11,25.30
20160502,25.30,25.43,25.06,25.43
20160503,25.27,25.32,24.87,24.95
20160504,24.87,25.14,24.77,24.90
20160505,25.01,25.11,24.40,24.48
20160506,24.43,25.06,24.30,24.98
20160509,24.87,24.98,24.61,24.64
20160510,24.72,25.09,24.61,25.03
20160511,25.06,25.11,24.45,24.48
20160512,24.58,24.66,24.22,24.35
20160513,24.30,24.48,23.72,23.79
20160516,23.79,24.27,23.79,24.03
20160517,24.01,24.30,23.90,24.08
20160518,24.06,24.27,23.85,24.01
20160519,24.11,24.19,23.74,23.85
20160520,24.03,24.32,23.93,24.08
20160523,24.08,24.22,23.93,24.01
20160524,24.24,24.48,24.16,24.45
20160525,24.72,25.56,24.72,25.09
20160526,25.11,25.40,25.01,25.32
20160527,25.38,25.96,25.19,25.90
20160531,25.96,26.27,25.88,26.27
20160601,26.14,26.35,25.88,26.30
20160602,26.30,26.72,26.25,26.72
20160603,26.59,26.67,26.32,26.51
20160606,26.61,27.22,26.61,27.14
20160607,27.22,27.22,26.85,27.09
20160608,27.09,27.11,26.85,26.98
20160609,26.82,26.88,26.51,26.67
20160610,26.46,26.46,25.96,26.17
20160613,26.06,26.32,25.93,25.98
20160614,25.85,26.03,25.40,25.64
20160615,25.69,26.35,25.61,26.11
20160616,25.90,25.96,25.45,25.56
20160617,25.59,25.96,25.51,25.74
20160620,26.14,26.32,25.77,25.80
20160621,25.82,25.93,25.56,25.90
20160622,25.90,26.14,25.74,25.77
20160623,26.11,26.40,26.06,26.40
20160624,25.30,25.67,24.90,24.90
20160627,24.64,24.66,23.53,23.61
