Date,Open,High,Low,Close
20151127,37.53,37.62,37.28,37.58
20151130,37.58,37.71,37.25,37.32
20151201,37.37,37.76,37.32,37.64
20151202,37.45,37.58,36.87,36.95
20151203,37.04,37.19,36.43,36.74
20151204,36.78,37.69,36.78,37.65
20151207,37.42,37.56,36.78,36.91
20151208,36.47,36.65,36.20,36.28
20151209,36.10,36.80,35.93,36.26
20151210,36.14,36.97,36.14,36.70
20151211,36.20,36.77,36.13,36.22
20151214,36.27,36.67,36.19,36.64
20151215,36.89,37.07,36.65,36.70
20151216,36.93,37.63,36.80,37.46
20151217,37.42,37.63,36.45,36.46
20151218,36.26,36.31,35.81,35.84
20151221,36.13,36.31,35.88,36.14
20151222,36.31,36.53,36.03,36.50
20151223,36.73,37.28,36.66,37.13
20151224,37.08,37.26,36.96,37.07
20151228,36.97,36.99,36.67,36.94
20151229,37.20,37.46,36.98,37.10
20151230,37.10,37.22,36.85,36.87
20151231,36.67,36.84,36.45,36.50
20160104,35.92,36.19,35.60,36.08
20160105,36.06,36.20,35.51,36.07
20160106,36.43,36.61,35.22,35.62
20160107,35.17,35.27,34.49,34.70
20160108,34.87,35.03,34.28,34.37
20160111,34.51,34.57,33.69,34.08
20160112,34.35,34.55,33.86,34.27
20160113,34.39,34.51,33.32,33.38
20160114,33.50,33.77,33.11,33.57
20160115,32.73,33.10,32.61,32.98
20160119,33.47,33.53,32.61,32.96
20160120,32.44,33.10,31.67,32.80
20160121,32.97,33.57,32.65,33.23
20160122,33.79,34.12,33.47,34.03
20160125,33.91,33.99,33.51,33.74
20160126,33.99,34.67,33.79,34.55
20160127,34.54,35.86,34.38,34.89
20160128,35.23,35.36,34.74,34.95
20160129,35.14,35.95,35.05,35.95
20160201,35.64,35.93,35.11,35.62
20160202,35.08,35.14,34.57,34.86
20160203,35.30,35.85,34.71,35.67
20160204,36.06,38.08,35.47,37.08
20160205,37.06,37.46,36.25,36.66
20160208,36.22,36.49,35.77,36.22
20160209,35.97,37.05,35.78,36.71
20160210,36.84,37.07,36.39,36.43
20160211,35.90,36.48,35.44,36.21
20160212,36.66,37.20,36.48,37.04
20160216,37.38,37.49,36.69,37.00
20160217,37.33,37.85,37.06,37.66
20160218,37.74,37.89,37.26,37.53
20160219,37.29,37.29,36.42,37.03
20160222,37.46,37.87,37.37,37.64
20160223,37.51,37.74,37.23,37.32
20160224,37.00,37.50,36.83,37.47
20160225,37.57,37.63,37.31,37.56
20160226,37.73,37.85,37.54,37.72
20160229,37.77,37.86,37.41,37.41
20160301,37.71,38.04,37.45,37.94
20160302,37.79,38.04,37.59,38.03
20160303,38.04,38.17,37.86,38.17
20160304,38.07,38.33,37.99,38.22
20160307,38.09,38.55,38.09,38.55
20160308,38.34,38.53,37.84,37.91
20160309,38.08,38.21,37.88,38.15
20160310,38.01,38.28,37.58,37.92
20160311,38.20,38.48,38.00,38.45
20160314,38.21,38.45,38.06,38.07
20160315,37.71,38.24,37.58,38.14
20160316,37.96,38.80,37.69,38.63
20160317,38.74,39.21,38.66,39.01
20160318,38.99,39.66,38.97,39.47
20160321,39.06,39.46,38.95,39.42
20160322,39.16,39.58,39.10,39.40
20160323,39.21,39.53,38.93,39.37
20160324,39.04,39.82,39.01,39.82
20160328,39.82,39.98,39.66,39.90
20160329,39.92,40.66,39.86,40.64
20160330,41.00,41.21,40.72,41.04
20160331,41.01,41.06,40.62,40.90
20160401,40.64,41.33,40.47,41.25
20160404,41.11,41.16,40.61,40.78
20160405,41.21,41.46,40.68,41.01
20160406,41.04,41.20,40.54,41.19
20160407,40.99,41.00,40.60,40.89
20160408,41.29,41.52,41.00,41.22
20160411,41.12,41.49,40.76,41.23
20160412,41.37,41.93,41.31,41.65
20160413,41.75,41.90,41.54,41.84
20160414,42.02,42.24,41.73,41.99
20160415,41.99,42.30,41.70,42.28
20160418,42.25,42.65,42.03,42.61
20160419,42.75,42.96,42.56,42.71
20160420,42.71,42.81,42.16,42.17
20160421,42.17,42.22,41.72,41.84
20160422,41.96,42.49,41.83,42.46
20160425,42.29,42.51,42.02,42.21
20160426,42.47,43.04,42.42,42.86
20160427,42.84,43.02,42.55,42.90
20160428,42.58,42.73,42.02,42.17
20160429,42.16,42.16,41.65,41.78
20160502,41.85,42.48,41.82,42.25
20160503,41.92,42.27,41.11,41.88
20160504,41.76,41.76,40.95,41.25
20160505,41.60,41.77,41.25,41.53
20160506,41.43,41.94,41.25,41.89
20160509,41.83,41.83,41.51,41.60
20160510,41.71,42.54,41.67,42.53
20160511,42.56,42.99,42.53,42.88
20160512,43.00,43.28,42.67,43.24
20160513,43.23,43.41,42.89,43.15
20160516,43.25,43.69,43.22,43.43
20160517,43.33,43.87,43.22,43.48
20160518,43.29,43.66,43.02,43.26
20160519,42.90,43.13,42.71,43.07
20160520,43.35,43.77,43.19,43.51
20160523,43.35,43.58,43.07,43.50
20160524,43.62,44.50,43.51,44.46
20160525,44.75,44.86,44.48,44.72
20160526,44.82,45.00,44.57,44.74
20160527,44.74,44.85,44.48,44.57
20160531,44.70,44.80,44.40,44.66
20160601,44.32,44.82,44.21,44.82
20160602,44.72,45.21,44.68,45.21
20160603,45.21,45.54,44.97,45.48
20160606,45.57,45.79,45.38,45.69
20160607,45.70,46.08,45.64,45.98
20160608,46.10,46.59,46.05,46.46
20160609,46.15,46.45,45.15,46.30
20160610,46.04,46.12,45.81,45.92
20160613,45.71,45.88,45.51,45.67
20160614,45.50,45.71,45.40,45.65
20160615,45.81,45.97,45.55,45.59
20160616,45.45,45.50,44.97,45.37
20160617,45.46,45.80,45.36,45.53
20160620,46.10,46.67,45.95,46.10
20160621,46.13,46.31,45.93,45.99
20160622,46.12,46.23,45.89,45.91
20160623,46.39,46.48,46.14,46.35
20160624,44.55,45.31,44.13,44.14
20160627,43.69,43.81,42.52,42.72
20160628,43.21,43.34,42.82,43.06
20160629,43.56,43.72,43.41,43.65
20160630,43.82,44.69,43.81,44.65
20160701,44.66,44.89,44.57,44.87
20160705,44.79,44.94,44.59,44.84
20160706,44.75,45.58,44.44,45.58
20160707,45.71,45.85,45.28,45.63
20160708,46.00,46.50,45.93,46.41
20160711,46.72,47.14,46.72,46.99
20160712,47.29,47.83,47.10,47.12
20160713,47.14,47.65,46.90,47.02
20160714,47.42,47.53,46.83,46.83
20160715,46.99,47.07,46.85,47.05
20160718,47.07,47.27,46.85,46.99
20160719,46.96,47.26,46.82,47.18
20160720,47.07,47.37,46.92,47.20
20160721,47.18,47.31,46.56,46.74
20160722,46.71,47.07,46.62,46.96
20160725,46.89,46.98,46.61,46.85
20160726,46.94,47.80,46.86,47.78
20160727,47.77,48.02,47.54,47.78
20160728,47.71,48.06,47.60,47.89
20160729,47.72,47.96,47.47,47.81
20160801,47.92,47.94,47.51,47.81
20160802,46.88,46.88,45.73,46.41
20160803,46.40,46.40,45.98,46.23
20160804,46.26,47.30,46.26,46.92
20160805,47.04,47.35,46.97,47.35
20160808,47.31,47.67,47.05,47.49
20160809,47.60,47.97,47.38,47.93
20160810,47.94,48.02,47.75,47.89
20160811,48.00,48.81,48.00,48.54
20160812,48.48,48.69,48.22,48.45
20160815,49.20,50.51,49.20,50.32
20160816,50.30,50.48,49.87,50.20
20160817,50.00,50.47,49.56,50.34
20160818,50.38,50.51,50.22,50.44
20160819,50.35,50.88,50.12,50.80
20160822,51.35,51.79,50.89,51.05
20160823,51.13,51.36,50.87,50.90
20160824,50.80,50.95,50.60,50.66
20160825,50.59,50.63,50.41,50.58
20160826,50.81,51.23,50.45,50.67
20160829,50.89,51.18,50.69,50.98
20160830,51.06,51.12,50.89,50.97
20160831,50.95,51.07,50.64,50.86
20160901,50.77,51.08,50.05,50.41
20160902,50.76,51.22,50.53,50.92
20160906,51.09,51.48,50.55,50.97
20160907,50.77,51.05,50.65,50.94
20160908,50.95,51.23,50.83,51.05
20160909,50.57,50.57,48.65,48.65
20160912,48.29,49.86,48.00,49.81
20160913,49.37,49.98,49.21,49.48
20160914,49.46,49.89,49.17,49.49
20160915,49.54,50.47,49.46,50.26
20160916,50.09,50.09,49.64,49.96
20160919,50.26,50.76,50.16,50.53
20160920,50.85,50.99,50.60,50.74
20160921,51.00,51.85,50.97,51.81
20160922,52.19,52.68,51.96,52.62
20160923,52.61,52.61,51.49,51.55
20160926,51.22,51.66,50.94,51.49
20160927,51.33,52.13,50.87,52.10
20160928,52.31,52.59,51.93,52.21
20160929,51.93,52.36,51.64,51.82
20160930,52.00,52.71,51.91,52.45
20161003,52.11,52.80,51.82,52.47
20161004,53.25,53.25,51.99,52.26
20161005,52.54,52.80,51.93,51.95
20161006,51.87,51.93,51.22,51.83
20161007,51.83,51.83,50.57,50.76
20161010,51.12,51.20,50.30,50.38
20161011,50.35,50.37,49.43,49.70
20161012,49.84,50.31,49.67,50.11
20161013,49.63,49.89,49.15,49.66
20161014,49.99,50.15,49.46,49.47
20161017,49.58,49.72,49.15,49.20
20161018,49.73,49.85,48.83,49.15
20161019,49.33,49.58,49.10,49.47
20161020,49.17,49.42,48.87,48.92
20161021,48.52,48.88,48.34,48.84
20161024,49.09,49.22,48.55,48.64
20161025,48.58,48.64,47.97,48.03
20161026,47.86,48.59,47.69,48.39
20161027,48.57,48.57,47.83,48.03
20161028,48.04,49.28,48.04,48.61
20161031,48.74,48.85,48.29,48.33
20161101,46.83,47.36,45.60,47.19
20161102,47.57,48.08,46.90,46.96
20161103,47.12,47.55,46.81,47.24
20161104,47.27,47.89,47.06,47.40
20161107,48.15,48.60,47.75,48.56
20161108,48.49,49.50,48.45,49.30
20161109,48.73,51.01,48.71,50.66
20161110,51.10,52.86,51.08,52.74
20161111,52.56,53.13,52.20,52.75
20161114,52.97,53.28,52.30,53.24
20161115,53.06,54.79,52.65,54.75
20161116,54.50,54.89,53.82,54.35
20161117,54.73,54.99,53.99,54.01
20161118,53.89,53.96,53.09,53.29
20161121,53.53,53.70,53.06,53.46
20161122,53.49,53.64,52.92,52.92
20161123,53.00,53.02,52.68,52.86
20161125,52.95,52.97,52.59,52.92
20161128,52.37,52.69,51.60,51.64
20161129,51.49,51.84,50.78,51.34
20161130,51.87,52.05,51.20,51.58
20161201,51.90,52.05,51.49,51.81
20161202,51.90,51.99,51.45,51.80
20161205,52.11,52.22,51.62,51.72
20161206,51.77,52.18,51.60,52.17
20161207,52.20,52.40,51.46,52.06
20161208,52.13,52.29,51.40,51.89
20161209,51.85,51.85,51.12,51.48
20161212,51.41,51.53,50.91,50.99
20161213,51.06,51.23,50.50,50.99
20161214,50.94,51.48,50.41,50.57
20161215,50.40,51.02,50.09,50.14
20161216,50.16,50.79,49.92,50.10
20161219,50.09,50.81,49.88,50.76
20161220,50.87,51.06,50.55,50.92
20161221,50.85,51.14,50.66,50.83
20161222,51.00,51.23,50.81,51.13
20161223,51.08,51.18,50.84,51.01
20161227,51.00,51.22,50.67,50.86
20161228,50.98,51.15,49.91,49.94
20161229,50.03,50.22,49.68,49.77
20161230,49.98,50.00,49.36,49.52
20170103,49.95,50.25,49.21,49.65
20170104,49.71,50.45,49.71,50.39
20170105,50.18,50.50,49.68,49.93
20170106,50.01,50.13,49.56,49.58
20170109,49.55,49.60,49.16,49.37
20170110,49.31,49.51,49.07,49.14
20170111,49.25,49.50,49.01,49.40
20170112,49.26,49.37,47.97,48.30
20170113,48.17,49.15,48.07,48.76
20170117,48.70,48.70,47.92,48.20
20170118,48.27,48.66,48.11,48.43
20170119,48.67,49.22,48.67,49.05
20170120,49.20,49.38,48.87,49.06
20170123,49.02,49.11,48.28,48.50
20170124,48.65,49.27,48.59,49.07
20170125,49.40,50.55,49.39,50.15
20170126,50.11,50.51,49.83,50.09
20170127,50.29,50.66,49.94,50.05
20170130,49.87,49.99,49.09,49.50
20170131,49.21,49.37,48.50,49.31
20170201,49.05,49.66,48.45,49.15
20170202,49.15,50.16,48.52,48.80
20170203,49.37,49.55,48.82,49.25
20170206,49.05,49.05,46.67,47.18
20170207,47.27,47.84,46.78,47.22
20170208,47.16,47.22,46.86,47.00
20170209,47.00,47.75,46.86,47.62
20170210,47.81,48.28,47.48,47.88
20170213,48.15,48.47,47.76,48.28
20170214,48.02,48.22,47.32,47.65
20170215,47.52,47.94,47.37,47.67
20170216,47.70,47.93,47.46,47.75
20170217,47.55,47.81,47.17,47.80
20170221,47.82,48.47,47.55,48.33
20170222,47.59,48.31,47.59,48.25
20170223,48.63,48.85,47.19,47.52
20170224,46.95,48.13,46.95,47.90
20170227,47.81,48.96,47.81,48.95
20170228,48.76,49.08,48.10,48.12
20170301,48.70,49.70,48.65,49.55
20170302,49.50,49.55,48.76,48.89
20170303,48.91,49.12,48.55,48.73
20170306,48.29,48.89,48.26,48.53
20170307,48.45,49.01,48.32,48.78
20170308,48.71,48.91,47.50,47.55
20170309,47.48,48.10,47.37,47.67
20170310,48.13,48.47,47.75,48.26
20170313,48.27,48.72,48.26,48.52
20170314,48.30,48.43,47.73,48.05
20170315,48.32,48.90,48.27,48.56
20170316,48.72,48.87,48.19,48.75
20170317,48.88,49.30,48.64,49.16
20170320,49.25,49.27,48.80,48.83
20170321,49.03,49.21,47.95,48.06
20170322,48.16,49.37,47.92,49.28
20170323,49.30,49.39,48.70,48.89
20170324,49.14,49.61,48.97,49.22
20170327,48.48,49.26,48.13,49.10
20170328,49.00,49.95,48.77,49.67
20170329,49.55,49.79,49.29,49.39
20170330,49.43,50.11,49.18,49.90
20170331,49.79,50.50,49.77,50.22
20170403,50.22,50.33,49.17,49.45
20170404,50.01,50.86,50.00,50.37
20170405,50.73,51.33,50.36,50.43
20170406,50.53,51.40,50.37,50.92
20170407,50.88,51.25,50.68,50.83
20170410,50.80,51.25,50.40,50.74
20170411,50.65,50.78,50.28,50.67
20170412,50.57,50.70,49.28,49.38
20170413,49.27,49.56,48.81,48.88
20170417,49.11,49.49,48.86,49.46
20170418,49.15,49.57,48.97,49.13
20170419,49.41,49.49,49.05,49.33
20170420,49.66,50.37,49.57,50.22
20170421,50.28,50.77,50.00,50.65
20170424,51.64,51.69,51.09,51.47
20170425,51.73,52.03,51.30,51.81
20170426,51.76,51.98,51.45,51.45
20170427,51.54,51.77,51.35,51.62
20170428,51.66,51.79,51.25,51.41
20170501,51.46,51.46,51.00,51.32
20170502,51.78,52.44,50.28,50.41
20170503,50.34,50.51,49.71,49.96
20170504,50.04,51.60,49.81,51.52
20170505,51.73,52.37,51.62,52.30
20170508,52.17,52.77,52.11,52.20
20170509,52.15,52.43,51.60,51.85
20170510,51.79,51.99,50.87,51.04
20170511,50.82,50.97,50.12,50.88
20170512,50.86,51.20,50.56,50.98
20170515,51.76,52.79,51.76,52.29
20170516,52.33,52.80,51.37,51.77
20170517,51.77,51.81,51.11,51.55
20170518,51.47,51.75,51.03,51.48
20170519,51.75,52.34,51.54,52.01
20170522,52.16,52.56,52.06,52.27
20170523,52.15,52.94,51.87,52.80
20170524,52.69,52.97,52.29,52.61
20170525,52.70,52.87,51.89,52.13
20170526,52.03,52.19,51.35,51.41
20170530,51.40,52.00,51.29,51.79
20170531,51.85,52.40,51.64,52.14
20170601,52.44,52.95,52.16,52.44
20170602,52.22,53.17,52.20,53.00
20170605,53.00,53.50,52.89,53.20
20170606,52.94,53.24,52.54,52.69
20170607,52.83,53.63,52.71,53.46
20170608,53.46,53.60,52.86,53.58
20170609,53.65,54.02,53.61,53.97
20170612,54.00,54.09,53.61,54.02
20170613,53.96,54.10,53.40,53.79
20170614,53.73,53.89,53.33,53.66
20170615,53.43,53.96,53.23,53.96
20170616,54.01,54.29,53.63,54.05
20170619,54.25,54.39,53.81,54.17
20170620,53.99,54.24,53.69,53.88
20170621,53.95,54.09,53.28,53.54
20170622,53.55,53.99,53.30,53.85
20170623,53.83,54.53,53.78,54.33
20170626,54.39,54.84,54.16,54.68
20170627,54.68,54.82,54.34,54.50
20170628,54.75,55.03,54.35,54.97
20170629,55.02,55.45,54.54,54.90
20170630,54.97,55.68,54.90,55.43
20170703,55.77,55.88,55.16,55.45
20170705,55.41,55.59,54.52,54.94
