Date,Open,High,Low,Close
20151127,52.26,52.48,51.91,52.45
20151130,52.33,52.53,52.06,52.13
20151201,52.62,53.77,52.62,53.54
20151202,53.56,54.28,53.54,53.88
20151203,53.97,54.05,52.42,52.57
20151204,52.97,54.94,52.84,54.74
20151207,54.59,55.10,53.93,54.93
20151208,54.14,54.89,53.29,54.34
20151209,54.30,55.02,52.95,53.06
20151210,53.20,53.27,51.16,52.62
20151211,52.19,52.46,50.99,51.26
20151214,51.16,51.53,50.67,51.51
20151215,51.91,52.42,51.82,52.20
20151216,52.55,53.02,51.83,52.87
20151217,52.87,53.21,51.91,51.91
20151218,51.65,51.88,51.04,51.65
20151221,51.77,52.93,51.77,52.77
20151222,52.90,52.95,51.81,52.48
20151223,52.57,53.40,52.55,53.29
20151224,53.08,53.67,52.97,53.20
20151228,52.95,53.16,52.52,53.08
20151229,53.33,53.74,53.03,53.37
20151230,53.31,53.47,52.99,53.06
20151231,52.94,53.13,52.49,52.52
20160104,51.27,51.94,50.78,51.91
20160105,52.36,52.62,51.27,51.78
20160106,51.19,51.75,50.91,51.42
20160107,50.19,50.63,49.37,49.66
20160108,49.78,50.16,48.86,48.99
20160111,49.25,49.56,48.35,48.90
20160112,49.30,50.17,49.22,50.01
20160113,50.69,50.69,49.44,49.63
20160114,49.78,50.50,48.79,50.33
20160115,49.07,49.45,47.99,48.23
20160119,48.48,49.81,48.42,49.44
20160120,48.76,49.27,47.79,48.88
20160121,49.12,50.24,48.66,49.58
20160122,49.77,50.06,49.37,49.59
20160125,49.44,49.83,48.42,48.45
20160126,48.84,50.36,48.71,50.23
20160127,49.95,50.63,49.63,49.89
20160128,50.17,51.12,49.83,50.62
20160129,50.83,52.06,50.67,52.03
20160201,51.70,52.83,51.38,52.55
20160202,52.17,53.11,51.43,51.99
20160203,52.19,52.67,51.35,52.08
20160204,51.74,52.47,50.38,51.98
20160205,51.98,52.22,49.96,50.15
20160208,49.40,49.45,48.09,48.48
20160209,47.94,49.09,47.72,47.79
20160210,48.11,48.88,47.94,47.99
20160211,47.27,47.58,46.43,46.90
20160212,47.40,48.52,47.23,48.41
20160216,49.01,50.27,49.01,49.98
20160217,50.36,51.52,50.32,51.19
20160218,50.95,51.50,50.59,51.06
20160219,50.92,51.03,50.14,50.70
20160222,51.27,51.86,51.12,51.73
20160223,51.37,51.90,51.04,51.41
20160224,50.83,51.54,49.99,51.39
20160225,51.62,51.72,49.97,51.01
20160226,51.44,51.44,50.64,51.34
20160229,51.27,52.75,51.20,52.10
20160301,52.40,55.13,52.34,54.77
20160302,54.51,54.73,53.82,54.21
20160303,54.30,54.95,53.85,54.92
20160304,54.92,56.36,54.57,56.11
20160307,55.72,56.38,55.25,56.11
20160308,55.64,55.91,55.09,55.13
20160309,55.43,55.82,54.65,54.85
20160310,55.20,55.69,54.27,55.18
20160311,55.47,55.92,55.19,55.91
20160314,55.84,55.90,55.30,55.75
20160315,55.68,56.92,55.54,56.24
20160316,55.97,56.79,55.97,56.54
20160317,56.64,57.12,56.16,56.64
20160318,56.79,56.83,56.22,56.30
20160321,56.40,57.24,56.33,57.10
20160322,56.62,57.15,56.55,56.78
20160323,56.87,58.59,56.16,57.91
20160324,57.59,57.59,56.73,57.05
20160328,57.42,57.56,57.07,57.37
20160329,57.32,57.95,57.20,57.92
20160330,58.36,59.18,58.07,59.13
20160331,59.17,59.40,58.53,58.84
20160401,58.15,59.53,58.03,59.14
20160404,59.28,59.31,58.45,58.88
20160405,58.88,59.25,58.25,58.64
20160406,58.57,58.89,58.23,58.87
20160407,58.69,59.14,58.07,58.43
20160408,58.73,59.33,58.57,59.19
20160411,59.29,59.45,58.70,58.81
20160412,58.69,59.19,58.03,58.99
20160413,58.08,59.06,58.04,59.06
20160414,58.89,59.26,58.63,59.24
20160415,59.14,59.22,58.55,58.84
20160418,58.92,59.42,58.61,59.39
20160419,58.58,59.50,57.73,59.04
20160420,59.31,59.97,58.71,59.33
20160421,59.33,61.68,58.06,58.73
20160422,58.74,59.06,57.93,58.37
20160425,58.36,58.50,57.98,58.49
20160426,58.59,59.00,58.48,58.98
20160427,58.77,58.91,57.99,58.58
20160428,58.22,58.50,57.71,57.83
20160429,57.79,57.79,56.83,57.20
20160502,57.64,58.32,57.54,58.21
20160503,57.95,58.10,57.20,57.31
20160504,56.97,58.09,56.94,57.98
20160505,57.94,58.33,57.52,58.12
20160506,57.92,58.27,57.24,58.20
20160509,58.25,59.13,58.09,58.86
20160510,59.04,59.71,58.67,59.60
