Date,Open,High,Low,Close
20151127,101.53,101.87,100.52,101.00
20151130,101.11,101.95,100.90,101.01
20151201,102.01,102.99,101.80,102.72
20151202,102.72,103.25,102.23,102.26
20151203,102.34,102.72,99.09,99.36
20151204,99.65,101.19,99.36,100.55
20151207,100.44,100.99,99.59,100.41
20151208,99.80,100.46,99.08,99.78
20151209,99.34,101.62,98.81,100.00
20151210,100.63,100.63,99.30,99.97
20151211,98.75,99.83,98.52,98.96
20151214,99.03,99.71,98.08,99.49
20151215,100.20,101.25,99.46,101.06
20151216,101.22,102.27,100.10,101.93
20151217,101.93,102.35,100.57,100.71
20151218,100.20,100.24,98.88,98.96
20151221,99.36,100.66,98.91,100.23
20151222,100.75,102.00,99.97,101.73
20151223,102.24,103.03,101.73,102.77
20151224,102.42,103.52,102.42,102.91
20151228,102.31,102.72,101.89,102.25
20151229,100.77,103.16,100.77,102.77
20151230,102.85,103.27,102.16,102.47
20151231,101.98,103.13,101.66,102.59
20160104,101.12,103.06,100.17,101.81
20160105,102.00,104.46,101.60,103.93
20160106,102.51,105.27,102.37,104.38
20160107,102.16,103.64,101.43,101.98
20160108,102.21,103.07,101.37,101.55
20160111,101.69,102.29,98.62,99.80
20160112,100.68,103.42,99.89,102.87
20160113,103.50,105.29,100.87,101.20
20160114,101.43,103.74,100.95,102.70
20160115,100.23,102.31,99.25,101.08
20160119,101.79,101.93,98.07,99.24
20160120,97.88,99.07,94.85,98.28
20160121,98.52,98.88,97.21,98.18
20160122,99.27,99.77,98.21,99.15
20160125,98.47,99.79,98.47,99.06
20160126,99.58,102.10,99.37,101.74
20160127,101.89,103.70,100.94,101.64
20160128,103.01,103.94,97.10,97.55
20160129,98.28,99.42,97.32,99.26
20160201,98.28,99.76,97.76,99.03
20160202,98.43,99.37,97.80,98.04
20160203,98.73,98.86,95.85,97.26
20160204,97.67,98.58,96.94,97.55
20160205,96.06,96.49,94.71,95.01
20160208,94.95,95.14,90.31,92.03
20160209,91.61,92.93,90.76,91.90
20160210,92.09,94.55,92.09,92.91
20160211,91.83,92.42,90.82,91.68
20160212,88.45,92.34,88.27,91.78
20160216,91.92,93.67,91.52,93.62
20160217,94.11,95.85,93.94,95.37
20160218,95.37,95.98,94.69,95.09
20160219,94.94,95.09,94.09,94.79
20160222,95.64,96.04,94.61,95.14
20160223,94.79,95.49,92.93,93.56
20160224,93.47,94.62,92.88,94.35
20160225,95.03,96.89,94.63,96.89
20160226,96.90,98.24,96.56,97.53
20160229,97.50,98.22,96.66,96.81
20160301,97.00,97.73,95.44,97.39
20160302,97.43,98.00,96.14,97.44
20160303,97.02,99.07,97.02,98.89
20160304,98.08,99.83,97.84,99.29
20160307,98.46,100.72,98.39,100.68
20160308,100.00,101.22,99.42,100.55
20160309,100.65,101.23,100.06,100.38
20160310,101.55,101.55,100.42,100.86
20160311,101.86,104.60,101.86,104.60
20160314,104.00,105.48,103.76,105.05
20160315,104.39,105.05,104.10,104.31
20160316,104.10,105.09,103.33,104.26
20160317,104.01,104.94,102.90,103.59
20160318,103.65,104.72,103.22,104.51
20160321,104.16,104.73,103.29,104.38
20160322,103.35,104.82,103.17,104.41
20160323,104.58,105.00,103.78,104.43
20160324,103.58,104.31,103.07,103.74
20160328,105.26,105.93,103.76,104.34
20160329,104.43,105.95,103.95,105.84
20160330,106.41,107.01,105.93,106.70
20160331,106.88,107.22,106.25,106.63
20160401,106.31,107.64,105.83,107.37
20160404,107.72,108.62,106.55,106.86
20160405,106.07,107.17,105.53,105.98
20160406,105.86,108.57,105.65,108.09
20160407,107.81,108.20,107.17,108.15
20160408,108.50,109.17,108.50,108.96
20160411,109.06,109.71,108.67,109.30
20160412,109.69,111.74,109.38,111.57
20160413,111.83,114.52,111.66,114.45
20160414,114.30,115.76,114.06,115.43
20160415,115.00,115.05,112.08,114.03
20160418,113.66,113.95,112.95,113.61
20160419,114.12,114.59,113.44,113.84
20160420,113.84,115.41,113.36,114.84
20160421,114.51,115.94,113.73,114.40
20160422,114.62,115.21,114.21,114.76
20160425,114.11,115.00,113.74,114.66
20160426,115.00,115.55,114.46,115.21
20160427,115.54,117.00,115.32,115.89
20160428,116.01,117.77,114.51,115.00
20160429,115.00,116.44,114.35,115.77
20160502,115.77,116.13,114.50,115.93
20160503,115.69,115.94,114.54,114.90
20160504,114.46,114.98,113.74,114.69
20160505,114.90,115.97,114.27,115.94
20160506,115.91,116.08,114.39,115.40
20160509,115.83,117.29,115.60,116.43
20160510,116.52,117.48,116.31,117.38
20160511,117.25,118.56,116.89,116.93
20160512,117.23,117.95,116.12,117.44
20160513,117.09,118.61,116.61,117.44
20160516,117.48,119.99,117.45,119.60
20160517,119.06,119.84,117.85,118.50
20160518,118.25,119.72,117.85,118.82
20160519,118.23,118.94,116.93,118.19
20160520,118.78,119.71,118.37,119.33
20160523,119.38,119.97,118.96,119.43
20160524,119.75,120.90,119.43,120.76
20160525,121.20,122.27,120.91,121.93
20160526,121.79,122.63,121.03,122.49
20160527,122.34,123.43,122.06,123.07
20160531,122.91,123.00,121.27,122.11
20160601,122.11,122.41,121.02,122.15
20160602,122.15,122.91,121.67,122.91
20160603,122.72,122.77,121.23,121.82
20160606,121.81,122.29,121.15,121.54
20160607,121.05,121.12,116.22,119.43
20160608,119.43,120.08,118.11,119.76
20160609,119.30,120.13,118.81,119.40
20160610,118.96,119.27,118.22,119.23
20160613,118.47,119.96,118.17,118.24
20160614,115.04,116.83,115.04,116.82
20160615,117.00,117.15,116.13,116.42
20160616,116.08,116.78,114.95,116.71
20160617,116.67,116.88,115.45,116.48
20160620,117.51,119.04,117.33,117.65
20160621,118.59,119.05,117.82,118.59
20160622,118.40,119.53,118.23,118.63
20160623,119.38,120.92,119.16,120.92
20160624,117.78,118.90,116.40,116.69
20160627,116.51,116.72,114.11,115.34
20160628,116.62,117.42,115.52,117.32
20160629,118.24,119.33,117.87,119.15
20160630,119.67,120.38,118.68,120.38
20160701,120.63,121.06,120.25,120.68
20160705,120.59,120.62,119.22,119.95
20160706,119.82,121.87,119.33,121.78
20160707,121.60,122.80,121.58,122.02
20160708,122.93,124.98,121.89,124.89
20160711,124.79,125.49,124.37,125.08
20160712,125.12,126.18,124.85,125.46
20160713,125.34,125.63,124.92,125.57
20160714,126.08,126.65,125.57,126.29
20160715,126.65,126.79,125.15,125.42
20160718,125.26,126.08,124.54,124.82
20160719,124.75,125.29,123.80,124.52
20160720,125.33,126.66,125.18,126.49
20160721,125.95,127.16,125.00,125.29
20160722,124.79,124.92,122.68,124.48
20160725,124.48,124.48,123.25,123.35
20160726,123.35,123.87,122.57,123.62
20160727,123.62,123.83,121.63,122.68
20160728,126.50,129.58,126.02,127.47
20160729,127.47,131.33,127.46,131.14
20160801,130.87,131.57,130.45,131.06
20160802,130.86,131.36,129.64,130.59
20160803,130.70,130.79,129.97,130.43
20160804,130.62,131.08,129.48,130.91
20160805,131.23,131.59,130.69,131.40
20160808,131.24,131.83,130.89,131.66
20160809,131.85,133.19,131.39,133.09
20160810,129.00,129.90,127.88,128.92
20160811,129.01,129.98,129.01,129.50
20160812,129.61,129.98,128.76,129.34
20160815,129.49,129.93,129.39,129.91
20160816,129.38,129.49,128.30,128.30
20160817,128.89,129.16,127.09,127.78
20160818,127.95,128.35,127.39,128.02
20160819,127.28,127.96,126.82,127.78
20160822,127.85,128.63,126.89,128.26
20160823,128.69,129.90,128.53,129.77
20160824,129.85,130.69,127.56,127.80
20160825,127.50,128.84,127.14,128.16
20160826,128.60,129.68,127.64,129.51
20160829,129.71,130.96,129.56,130.59
20160830,131.26,131.32,128.85,129.87
20160831,129.95,130.14,128.90,129.61
20160901,129.50,129.97,128.06,128.35
20160902,128.90,129.47,128.59,129.40
20160906,129.57,130.07,129.01,129.94
20160907,130.11,131.18,129.53,129.97
20160908,129.79,130.08,129.18,130.00
20160909,128.97,129.04,125.28,125.29
20160912,124.75,126.93,124.06,126.55
20160913,125.87,126.07,122.87,123.52
20160914,123.45,124.13,122.97,123.41
20160915,123.39,125.72,122.94,124.89
20160916,124.60,124.98,123.53,124.30
20160919,124.93,125.79,124.54,124.97
20160920,125.88,125.95,124.79,124.79
20160921,124.87,127.42,124.87,127.19
20160922,127.75,129.58,127.46,128.87
20160923,128.38,128.77,127.72,128.33
20160926,127.60,127.81,126.76,126.88
20160927,127.13,128.40,126.54,128.01
20160928,127.78,128.73,125.01,128.61
20160929,128.54,128.84,127.01,127.84
20160930,128.67,130.49,128.25,130.02
20161003,129.50,129.91,128.81,129.88
20161004,129.77,130.16,128.52,129.23
20161005,129.75,131.02,129.34,130.55
20161006,130.14,130.85,129.50,130.79
20161007,130.82,131.25,130.04,131.00
20161010,131.51,133.21,131.33,132.74
20161011,132.31,132.31,125.57,126.62
20161012,126.78,127.37,125.13,127.04
20161013,126.18,127.22,125.48,126.91
20161014,127.73,128.45,127.09,127.15
20161017,127.16,127.23,126.45,126.62
20161018,127.69,129.70,127.60,129.10
20161019,129.11,129.41,127.61,128.08
20161020,128.16,128.68,127.48,128.21
20161021,127.38,127.66,126.00,127.52
20161024,128.29,128.66,127.71,127.99
20161025,127.90,127.91,125.47,125.59
20161026,124.78,125.00,120.82,121.08
20161027,121.08,121.62,119.63,120.99
20161028,120.98,124.00,120.32,122.55
20161031,106.63,108.40,103.93,105.40
20161101,106.55,107.00,103.12,103.76
20161102,103.71,104.20,101.92,102.02
20161103,102.03,103.27,101.33,102.54
20161104,103.11,105.93,103.00,103.01
20161107,104.12,105.40,103.70,104.45
20161108,102.67,103.42,99.70,101.83
20161109,104.17,104.17,97.83,101.62
20161110,102.43,103.74,99.05,100.68
20161111,100.18,100.56,97.71,98.03
20161114,98.14,98.17,95.63,97.99
20161115,98.43,102.04,98.37,101.45
20161116,100.90,101.41,100.12,100.88
20161117,100.80,101.51,100.73,100.80
20161118,101.04,101.96,100.56,100.64
20161121,100.64,102.31,100.31,102.09
20161122,100.95,100.95,98.20,100.81
20161123,100.19,101.86,100.09,101.00
20161125,102.00,102.93,101.59,102.36
20161128,102.24,103.34,101.84,101.98
20161129,103.57,104.34,102.96,103.40
20161130,103.44,103.70,101.64,101.86
20161201,101.79,102.41,99.11,99.79
20161202,100.16,101.56,99.59,100.20
20161205,101.03,101.51,100.16,101.43
20161206,101.18,104.74,100.69,104.61
20161207,104.23,105.22,103.30,104.42
20161208,104.45,104.80,103.78,104.45
20161209,105.16,105.50,104.43,105.22
20161212,105.44,106.45,105.22,105.81
20161213,105.77,106.98,105.39,106.73
20161214,106.09,106.27,104.00,104.87
20161215,102.50,103.84,100.81,102.65
