Date,Open,High,Low,Close
20151127,78.55,78.55,77.14,77.72
20151130,77.68,80.40,77.68,80.20
20151201,80.31,81.00,79.36,79.89
20151202,79.90,79.90,77.87,78.06
20151203,78.26,78.80,76.69,77.22
20151204,77.37,78.23,76.90,77.63
20151207,77.35,78.14,75.61,76.15
20151208,75.21,76.20,74.95,75.51
20151209,75.17,77.77,74.34,74.64
20151210,74.64,76.57,74.64,75.89
20151211,74.85,74.86,72.41,72.53
20151214,72.82,74.12,68.27,68.77
20151215,69.56,70.26,68.39,70.00
20151216,70.56,71.39,69.56,70.20
20151217,70.29,70.74,66.37,66.45
20151218,65.58,66.15,63.92,64.41
20151221,65.29,67.67,64.41,67.60
20151222,67.35,69.83,66.62,69.66
20151223,70.39,71.76,68.90,71.02
20151224,70.70,71.48,70.44,70.87
20151228,70.77,70.88,69.72,70.09
20151229,70.56,71.17,69.55,70.27
20151230,69.84,70.40,69.40,69.45
20151231,69.29,70.72,69.29,69.65
20160104,67.68,67.68,65.62,66.49
20160105,66.54,66.65,64.62,64.82
20160106,63.57,64.32,61.55,62.23
20160107,60.67,61.55,58.11,59.41
20160108,59.80,59.98,58.97,59.25
20160111,59.50,60.32,57.70,58.86
20160112,59.57,60.28,58.36,59.85
20160113,59.97,60.76,56.33,56.51
20160114,56.81,59.05,55.94,57.83
20160115,56.01,56.90,54.89,56.55
20160119,57.12,58.68,55.57,56.67
20160120,55.58,59.83,55.50,57.25
20160121,57.25,57.73,55.50,55.56
20160122,56.61,57.64,55.56,56.50
20160125,55.89,56.95,55.15,55.38
20160126,55.50,58.59,55.30,58.52
20160127,58.00,59.33,57.12,57.27
20160128,58.20,58.24,55.33,55.70
20160129,56.11,60.47,56.11,60.40
20160201,59.46,60.46,58.67,60.02
20160202,58.90,59.54,57.69,57.93
20160203,58.20,59.74,56.50,59.69
20160204,59.40,62.38,58.97,61.01
20160205,60.81,60.89,57.08,57.38
20160208,56.36,56.62,53.75,54.44
20160209,53.44,54.99,52.14,54.68
20160210,55.25,58.75,54.83,57.80
20160211,56.35,58.52,56.03,57.64
20160212,58.88,59.91,57.68,59.31
20160216,60.15,64.60,59.59,64.39
20160217,65.28,67.22,64.14,67.05
20160218,67.12,67.76,66.01,66.76
20160219,66.27,67.38,64.22,67.27
20160222,68.10,69.52,67.10,68.31
20160223,68.07,69.33,67.42,68.86
20160224,68.10,70.17,66.98,70.04
20160225,69.37,70.30,58.62,59.78
20160226,59.66,60.19,58.23,59.53
20160229,59.57,61.97,59.18,61.78
20160301,62.26,63.05,61.29,62.89
20160302,63.06,65.57,62.35,65.48
20160303,65.47,66.81,65.27,66.51
20160304,66.53,67.19,64.70,65.41
20160307,65.08,67.45,64.52,67.44
20160308,66.84,67.71,63.41,63.53
20160309,63.78,65.24,62.77,65.09
20160310,65.58,65.86,62.73,64.19
20160311,64.96,67.11,64.40,67.01
20160314,66.80,67.16,65.40,65.83
20160315,65.17,65.74,62.80,63.42
20160316,63.13,65.69,62.66,65.58
20160317,65.57,66.58,64.55,66.04
20160318,65.53,67.92,65.23,67.79
20160321,67.49,68.53,67.24,68.52
20160322,68.01,69.70,68.01,69.15
20160323,68.57,69.14,67.88,67.90
20160324,68.48,68.50,67.33,68.19
20160328,68.35,68.86,66.88,67.51
20160329,66.57,68.85,66.28,68.59
20160330,69.09,69.50,67.58,67.95
20160331,67.87,69.27,67.84,69.00
20160401,68.01,68.30,66.51,68.15
20160404,68.17,68.40,66.12,66.71
20160405,65.84,66.01,65.02,65.72
20160406,65.84,66.84,64.44,66.79
20160407,66.14,66.86,65.22,65.98
20160408,66.69,67.41,65.38,66.03
20160411,66.43,67.65,65.84,65.95
20160412,66.00,66.43,64.47,65.91
20160413,66.37,68.49,65.80,68.06
20160414,67.79,68.03,64.38,65.06
20160415,64.66,65.02,63.87,64.37
20160418,64.10,64.68,63.55,64.01
20160419,64.38,65.50,63.60,64.35
20160420,64.28,65.00,64.10,64.47
20160421,64.59,65.25,64.26,64.70
20160422,64.46,65.75,63.98,65.26
20160425,65.18,65.20,62.91,63.66
20160426,64.02,64.38,62.50,64.10
20160427,63.97,64.25,63.26,63.52
20160428,63.37,64.24,62.66,62.80
20160429,62.77,63.02,62.05,62.56
20160502,62.71,63.37,61.77,63.19
20160503,62.59,63.91,62.37,63.57
20160504,62.77,64.12,62.72,63.05
20160505,63.46,63.83,62.55,63.24
20160506,62.82,63.75,62.12,63.45
20160509,63.18,63.69,62.18,62.58
20160510,55.01,56.09,51.16,51.46
20160511,51.11,53.74,50.90,51.42
20160512,51.52,51.90,50.83,51.70
20160513,51.37,51.95,50.38,50.39
20160516,50.64,51.16,49.60,49.84
20160517,49.92,50.47,49.25,49.61
20160518,49.42,50.45,49.42,49.99
20160519,50.00,50.35,48.51,48.83
20160520,48.91,50.48,48.91,49.93
20160523,49.84,51.03,49.40,50.50
20160524,50.72,51.50,50.50,50.77
20160525,50.79,52.10,50.79,51.76
20160526,51.78,52.06,51.33,51.85
20160527,51.90,53.00,51.71,52.82
20160531,52.94,53.29,52.75,53.11
20160601,52.93,53.86,52.63,53.61
20160602,53.38,54.40,53.10,54.31
20160603,54.43,54.99,53.87,54.76
20160606,55.03,56.16,54.68,55.88
20160607,56.00,56.36,55.22,56.22
20160608,55.63,56.21,55.44,56.05
20160609,55.73,56.44,55.00,56.26
20160610,55.53,56.18,54.95,56.02
20160613,55.70,56.21,55.23,55.40
20160614,55.31,55.98,54.94,55.25
20160615,55.36,56.32,55.18,55.92
20160616,55.58,56.73,55.25,56.62
20160617,56.60,57.75,56.56,56.93
20160620,57.66,58.02,56.86,57.56
20160621,57.44,57.44,56.61,57.20
20160622,57.16,57.95,57.03,57.60
20160623,58.11,59.14,56.65,59.13
20160624,56.74,57.35,54.15,54.55
20160627,53.40,53.63,49.17,49.61
20160628,49.61,50.83,49.38,50.76
20160629,50.98,52.31,48.84,49.54
20160630,49.89,50.60,48.64,50.10
20160701,50.01,50.74,49.30,49.82
20160705,49.50,49.96,47.00,47.61
20160706,47.48,47.59,46.13,46.93
20160707,47.13,47.74,46.42,46.99
20160708,47.53,48.04,47.26,47.88
20160711,48.32,48.86,48.05,48.23
20160712,48.57,50.21,48.57,49.69
20160713,49.69,50.72,48.78,49.19
20160714,49.61,50.35,49.34,49.38
20160715,49.40,50.13,49.13,49.99
20160718,50.14,50.60,49.73,50.51
20160719,50.21,51.15,49.96,50.05
20160720,50.14,51.32,50.01,51.25
20160721,51.10,51.91,50.44,50.63
20160722,50.51,51.56,50.07,51.21
20160725,51.00,51.95,50.93,51.68
20160726,51.68,52.92,51.68,52.65
20160727,53.00,53.72,52.42,52.97
20160728,52.89,53.19,52.58,53.00
20160729,53.00,53.33,52.53,53.01
20160801,53.21,53.70,52.84,53.54
20160802,53.74,53.90,52.32,52.51
20160803,52.77,56.04,52.77,55.89
20160804,56.00,56.73,55.41,56.60
20160805,56.76,57.89,56.20,57.43
20160808,57.43,58.15,57.12,57.99
20160809,63.99,64.68,60.57,62.82
20160810,63.49,67.27,62.70,64.82
20160811,64.83,65.20,63.53,64.93
20160812,64.66,67.00,64.27,66.72
20160815,66.73,68.78,66.73,68.71
20160816,68.44,70.25,67.94,70.19
20160817,70.30,71.03,66.58,66.89
20160818,66.89,67.47,66.30,66.85
20160819,66.47,68.95,66.47,68.89
20160822,68.69,68.77,67.81,68.55
20160823,69.15,69.64,68.36,69.39
20160824,69.13,69.52,68.76,68.92
20160825,68.52,70.12,68.23,69.96
20160826,69.80,70.72,69.55,70.45
20160829,70.45,71.61,70.05,71.19
20160830,70.72,71.42,70.24,70.87
20160831,70.48,70.52,69.49,69.96
20160901,69.71,70.66,68.44,69.29
20160902,69.62,69.93,68.89,69.63
20160906,69.56,70.23,68.99,69.23
20160907,68.71,69.55,68.35,68.95
20160908,68.98,69.04,67.98,68.19
20160909,67.95,68.35,65.83,66.12
20160912,65.46,67.27,65.46,66.88
20160913,66.56,67.03,65.82,66.18
20160914,66.30,66.36,64.87,65.12
20160915,65.13,67.43,64.62,67.14
20160916,66.72,67.39,66.40,67.26
20160919,67.35,69.51,66.72,68.77
20160920,69.14,69.14,68.11,68.56
20160921,68.70,70.57,68.70,70.44
20160922,71.00,71.42,70.41,71.06
20160923,70.60,71.09,68.89,69.00
20160926,68.84,69.23,68.27,68.57
20160927,68.43,69.55,68.36,68.95
20160928,69.28,70.30,69.19,69.84
20160929,69.62,69.89,68.67,69.04
20160930,69.18,69.83,68.78,69.61
20161003,69.14,70.53,69.07,69.92
20161004,69.93,70.61,69.34,69.41
20161005,69.98,70.95,68.61,70.00
20161006,69.97,70.06,68.88,69.06
20161007,68.90,69.14,67.87,68.72
20161010,69.29,69.93,68.64,68.68
20161011,68.57,68.58,65.86,66.81
20161012,66.73,67.13,66.18,66.57
20161013,65.89,65.89,63.85,64.88
20161014,65.57,66.82,64.41,65.01
20161017,65.13,65.50,64.80,65.28
20161018,66.15,66.15,64.90,65.36
20161019,65.42,66.04,64.94,65.46
20161020,65.12,66.03,65.12,65.27
20161021,65.07,65.31,64.48,64.70
20161024,64.91,65.96,64.91,65.43
20161025,65.45,65.74,64.86,65.07
20161026,64.67,67.38,64.67,67.15
20161027,67.46,67.46,66.17,66.33
20161028,66.50,67.38,65.88,66.27
20161031,66.03,66.99,65.68,65.84
20161101,65.70,66.63,65.03,66.58
20161102,66.24,66.48,64.47,65.45
20161103,65.46,66.06,63.87,64.08
20161104,64.29,64.44,62.91,62.97
20161107,64.04,65.29,63.80,64.69
20161108,64.71,65.27,63.81,64.81
20161109,63.97,67.64,63.54,67.15
20161110,67.84,69.68,67.55,68.18
20161111,67.96,68.20,66.46,66.88
20161114,67.18,67.18,65.69,66.81
20161115,67.92,76.61,67.28,75.46
20161116,75.40,75.88,72.22,72.95
20161117,72.97,74.19,71.55,73.94
20161118,73.51,75.80,72.73,75.01
20161121,75.49,76.11,74.92,75.43
20161122,76.04,77.21,75.65,77.11
20161123,77.03,79.12,77.00,79.10
20161125,79.10,79.18,75.94,79.10
20161128,78.59,78.96,77.28,78.12
20161129,77.80,79.26,77.52,78.81
20161130,79.32,79.84,78.42,79.05
20161201,79.82,79.82,76.64,76.84
20161202,76.83,78.71,75.70,78.35
20161205,78.84,81.21,78.46,80.94
20161206,81.39,82.18,79.82,81.61
20161207,81.50,83.15,79.98,82.92
20161208,83.38,83.87,82.51,83.39
20161209,84.16,85.38,82.86,83.27
20161212,83.43,83.99,82.46,82.80
20161213,83.40,85.01,83.00,84.50
20161214,84.13,85.11,80.61,84.53
20161215,84.67,85.37,84.21,85.20
20161216,85.11,85.61,84.09,84.52
20161219,84.97,86.55,82.97,86.28
20161220,87.38,87.95,85.91,87.49
20161221,87.15,87.94,86.59,86.77
20161222,87.05,87.53,85.88,86.17
20161223,86.07,86.57,85.72,86.42
20161227,86.69,87.67,85.33,87.05
20161228,87.19,88.00,85.31,85.61
20161229,85.41,86.25,84.61,85.94
20161230,86.06,86.30,85.33,85.76
20170103,86.58,87.28,85.60,86.25
20170104,85.75,88.03,85.75,87.03
20170105,86.53,87.20,84.32,84.75
20170106,84.99,86.23,84.03,85.96
20170109,85.68,86.74,85.24,85.97
20170110,86.45,86.45,85.26,85.44
20170111,85.23,86.85,84.82,84.99
20170112,84.52,84.80,81.63,83.76
20170113,84.19,85.07,83.86,83.89
20170117,83.51,84.29,82.73,82.98
20170118,83.07,84.14,83.02,83.97
20170119,83.91,84.83,83.43,83.75
20170120,84.06,84.29,83.10,83.47
20170123,83.31,84.21,81.73,84.19
20170124,84.59,85.78,83.94,84.98
20170125,85.55,85.55,84.13,85.07
20170126,84.94,85.42,84.48,84.68
20170127,84.79,84.98,82.46,84.56
20170130,83.88,84.67,82.50,84.48
20170131,84.51,84.64,82.43,83.67
20170201,84.50,84.93,82.52,82.61
20170202,82.53,83.46,81.02,82.77
20170203,83.04,83.69,82.78,83.49
20170206,83.18,84.39,82.43,83.07
20170207,83.41,83.82,82.50,83.58
20170208,83.50,83.91,82.49,83.53
20170209,83.49,84.96,83.05,84.63
20170210,84.99,85.32,84.01,85.03
20170213,85.16,85.98,84.75,85.32
20170214,85.32,85.63,84.85,85.37
20170215,84.45,85.83,84.45,85.81
20170216,85.73,85.95,84.94,85.23
20170217,84.74,85.99,84.36,85.99
20170221,86.21,86.77,85.57,86.68
20170222,86.48,86.77,84.90,85.73
20170223,90.00,93.61,88.51,89.90
20170224,89.99,93.04,89.35,92.94
20170227,93.00,93.10,91.73,92.39
20170228,92.01,92.44,90.70,90.71
20170301,91.38,91.92,90.27,90.71
20170302,90.59,90.59,88.23,88.98
20170303,89.01,90.02,88.61,89.35
20170306,89.19,89.19,88.14,88.45
20170307,88.27,89.22,87.98,88.02
20170308,88.00,88.86,86.46,88.31
20170309,87.96,89.11,87.78,88.58
20170310,88.89,89.45,88.39,89.28
20170313,89.60,89.96,88.58,89.27
20170314,88.89,89.41,87.99,88.93
20170315,89.55,91.43,87.91,90.89
20170316,90.46,92.07,90.02,91.31
20170317,91.64,92.00,90.23,90.75
20170320,90.76,91.23,89.92,90.07
20170321,90.37,90.97,85.88,86.15
20170322,85.97,87.05,85.00,86.86
20170323,86.66,87.86,86.30,86.88
20170324,87.22,87.79,86.07,86.73
20170327,85.92,87.06,84.32,86.50
20170328,86.92,88.86,86.31,88.58
20170329,88.63,88.98,87.57,88.83
20170330,88.80,90.47,88.80,89.56
20170331,89.69,91.53,89.11,91.25
20170403,91.16,92.11,90.83,91.43
20170404,91.25,92.40,90.93,91.68
20170405,92.07,92.79,90.31,90.61
20170406,90.50,93.27,90.17,92.73
20170407,92.16,92.96,91.85,92.13
20170410,92.09,93.29,91.59,92.13
20170411,91.79,92.18,90.72,91.93
20170412,91.76,92.61,88.65,88.71
20170413,88.56,89.13,86.82,87.33
20170417,88.00,88.95,87.27,88.88
20170418,88.82,90.00,88.41,89.89
20170419,90.14,90.54,89.77,90.41
20170420,90.76,91.37,90.56,90.82
20170421,90.84,91.14,89.75,90.97
20170424,91.91,93.22,91.12,93.02
20170425,93.30,96.00,93.30,95.04
20170426,95.38,96.54,93.65,93.84
20170427,94.26,95.27,93.38,94.16
20170428,94.13,94.54,93.11,94.27
20170501,94.57,96.26,93.86,94.85
20170502,95.34,95.43,92.82,93.86
20170503,93.22,94.03,92.66,93.94
20170504,94.17,94.36,92.78,94.29
20170505,94.61,96.65,94.34,96.56
20170508,96.70,96.94,94.63,96.69
20170509,99.00,99.00,96.52,98.45
20170510,97.46,100.19,97.15,98.87
20170511,98.28,99.43,97.20,99.10
20170512,98.94,99.73,98.35,99.64
20170515,99.73,100.99,99.68,100.69
20170516,101.00,101.00,99.77,100.50
20170517,99.28,99.36,96.77,98.11
20170518,97.57,99.00,96.52,98.11
20170519,98.78,99.28,98.13,98.48
20170522,99.07,103.78,98.95,103.68
