Date,Open,High,Low,Close
20151127,30.00,30.10,29.50,30.09
20151130,30.21,30.28,29.83,29.96
20151201,30.11,30.45,30.02,30.41
20151202,30.50,30.55,29.87,29.94
20151203,30.14,30.21,29.36,29.47
20151204,29.59,30.28,29.43,30.19
20151207,30.05,30.12,28.81,28.92
20151208,28.57,28.76,27.89,28.00
20151209,27.89,28.43,27.51,27.79
20151210,27.79,28.66,27.61,28.20
20151211,27.68,27.96,27.20,27.36
20151214,27.48,27.68,26.53,26.95
20151215,27.41,28.14,27.26,27.91
20151216,28.15,28.40,27.41,28.21
20151217,28.31,28.43,27.75,27.76
20151218,27.42,27.60,26.52,26.71
20151221,27.00,27.06,26.43,26.77
20151222,27.01,27.27,26.52,27.16
20151223,27.40,27.72,27.08,27.67
20151224,27.63,28.01,27.59,27.78
20151228,27.63,27.69,27.20,27.64
20151229,27.88,28.05,27.59,27.81
20151230,27.68,27.77,27.42,27.47
20151231,27.26,27.64,27.14,27.30
20160104,26.56,26.91,26.23,26.71
20160105,26.77,26.85,26.24,26.42
20160106,25.91,26.00,25.47,25.65
20160107,24.97,25.46,24.81,24.88
20160108,25.18,25.21,24.55,24.60
20160111,24.79,24.81,24.00,24.11
20160112,24.42,24.51,23.26,24.01
20160113,24.16,24.16,22.61,22.89
20160114,23.10,23.29,22.34,22.99
20160115,22.07,22.42,21.84,22.34
20160119,22.70,22.70,21.71,21.94
20160120,21.44,21.71,20.69,21.47
20160121,21.47,21.78,21.01,21.09
20160122,21.53,21.75,21.22,21.51
20160125,21.36,21.43,20.33,20.39
20160126,20.74,21.76,20.73,21.25
20160127,21.16,22.56,21.03,21.78
20160128,22.13,22.92,22.03,22.15
20160129,22.23,22.70,22.09,22.68
20160201,22.55,22.65,22.27,22.50
20160202,22.30,22.37,21.32,21.54
20160203,21.76,21.84,20.78,21.78
20160204,21.74,22.57,21.64,22.05
20160205,22.15,22.38,21.56,21.63
20160208,21.25,21.63,20.41,20.72
20160209,20.33,20.98,20.16,20.77
20160210,20.94,21.44,20.73,20.74
20160211,20.10,20.23,19.65,19.90
20160212,20.41,21.25,20.20,20.99
20160216,21.34,21.91,20.99,21.68
20160217,22.02,22.29,21.50,21.59
20160218,21.68,22.15,21.03,21.17
20160219,21.06,21.53,20.95,21.41
20160222,21.65,22.25,21.63,22.21
20160223,22.06,22.11,21.10,21.21
20160224,20.68,20.99,20.08,20.68
20160225,20.79,21.25,20.41,21.23
20160226,21.55,22.09,21.35,21.77
20160229,21.72,21.83,21.31,21.32
20160301,21.46,22.64,21.40,22.31
20160302,22.36,22.88,22.30,22.83
20160303,22.80,23.57,22.74,23.56
20160304,23.78,24.63,23.55,24.34
20160307,24.10,24.60,23.70,24.44
20160308,24.12,24.37,23.54,23.68
20160309,23.95,24.04,23.42,23.58
20160310,23.84,24.22,23.43,24.14
20160311,24.42,24.97,24.41,24.93
20160314,24.65,25.02,24.42,24.83
20160315,24.50,24.86,24.16,24.83
20160316,24.73,25.21,24.32,24.80
20160317,24.79,25.09,24.38,25.01
20160318,25.18,25.58,23.93,25.21
20160321,25.22,25.60,25.01,25.39
20160322,24.91,25.56,24.91,25.35
20160323,25.24,25.32,24.85,24.94
20160324,24.67,25.08,24.19,25.02
20160328,25.07,25.27,24.61,24.75
20160329,24.50,24.50,23.62,24.33
20160330,24.68,25.01,24.20,24.63
20160331,24.44,24.76,24.04,24.21
20160401,24.00,24.19,23.57,24.17
20160404,24.20,24.58,24.00,24.14
20160405,23.79,24.02,23.54,23.66
20160406,23.67,24.03,23.47,23.97
20160407,23.63,23.73,23.14,23.30
20160408,23.65,24.01,23.30,23.47
20160411,23.67,24.11,23.57,23.72
20160412,23.85,24.65,23.73,24.49
20160413,24.51,25.41,24.49,25.33
20160414,25.23,26.11,25.17,25.58
20160415,25.65,25.70,25.34,25.54
