Date,Open,High,Low,Close
20151127,47.14,47.23,46.91,47.08
20151130,47.08,47.25,46.46,46.70
20151201,46.81,47.13,46.21,47.01
20151202,47.07,47.18,46.07,46.37
20151203,46.48,46.54,44.94,45.20
20151204,45.36,46.50,45.17,46.46
20151207,46.47,46.83,45.35,45.91
20151208,45.45,46.20,45.40,45.94
20151209,45.61,46.18,44.97,45.21
20151210,45.16,46.49,45.15,46.10
20151211,45.39,46.00,45.33,45.83
20151214,45.85,46.64,45.55,46.59
20151215,47.05,47.65,46.87,46.97
20151216,47.42,47.55,46.16,47.09
20151217,47.27,47.57,46.49,46.73
20151218,46.60,47.62,46.49,46.60
20151221,46.83,47.37,46.56,47.34
20151222,47.50,48.46,47.39,47.72
20151223,47.84,48.10,47.61,47.98
20151224,47.86,48.45,47.63,48.13
20151228,47.96,48.20,47.59,47.90
20151229,48.37,48.62,47.96,48.33
20151230,48.33,48.65,48.01,48.26
20151231,47.93,48.40,47.81,47.92
20160104,46.94,47.72,46.75,47.27
20160105,47.51,48.10,47.28,48.01
20160106,47.27,48.35,47.26,48.02
20160107,46.99,48.00,46.29,46.56
20160108,46.94,47.57,45.65,45.88
20160111,46.10,46.34,43.83,44.58
20160112,43.87,45.05,43.25,44.97
20160113,45.25,45.33,43.03,43.25
20160114,43.34,44.40,42.66,44.13
20160115,43.00,43.85,42.77,43.38
20160119,44.11,44.72,42.73,43.19
20160120,42.57,44.28,42.41,43.79
20160121,43.79,43.92,42.98,43.08
20160122,43.59,43.82,43.10,43.40
20160125,43.25,43.77,43.06,43.20
20160126,43.30,44.06,43.15,43.87
20160127,43.67,44.36,42.80,43.15
20160128,43.40,43.58,42.71,42.84
20160129,43.20,43.36,42.61,43.05
20160201,43.00,43.39,42.51,42.96
20160202,42.43,42.53,41.37,41.72
20160203,41.84,42.00,40.45,41.31
20160204,41.15,41.95,40.93,41.54
20160205,41.32,41.51,40.61,40.91
20160208,40.40,40.71,39.59,40.19
20160209,39.58,40.96,39.39,39.86
20160210,40.17,40.48,39.25,39.33
20160211,38.98,39.53,38.26,39.36
20160212,39.81,40.48,39.21,40.43
20160216,41.66,41.87,39.73,40.43
20160217,40.78,42.00,40.47,41.80
20160218,41.56,42.37,41.53,42.02
20160219,42.07,42.23,41.40,41.83
20160222,42.12,42.83,41.79,42.77
20160223,42.58,43.20,42.29,42.37
20160224,41.94,42.42,41.25,42.37
20160225,42.37,42.92,41.79,42.90
20160226,42.99,43.34,42.22,42.36
20160229,42.10,42.17,41.05,41.06
20160301,41.49,42.14,40.88,42.10
20160302,41.91,42.18,41.51,41.72
20160303,41.72,41.85,40.70,41.08
